CommonName,Family,Genus,Cultivar,Description,GrowingAdvice,WeatherTolerance,OptimalZones,GrowingDays,TransplantAge,USDAZoneList,BestHarvest,BestPlantingDates,GreenhouseInstructions,SoilInfo,Pests,Amendments,SoilConditions,Approved CommonName
Blackjack (Bean),Fabaceae,Phaseolus,Blackjack,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Blizzard (Bean),Fabaceae,Phaseolus,Blizzard,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Canario 707 (Bean),Fabaceae,Phaseolus,Canario 707,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Capri (Bean),Fabaceae,Phaseolus,Capri,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Cayenne (Bean),Fabaceae,Phaseolus,Cayenne,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Centennial (Bean),Fabaceae,Phaseolus,Centennial,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Chaparral (Bean),Fabaceae,Phaseolus,Chaparral,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Charro (Bean),Fabaceae,Phaseolus,Charro,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Cisco (Bean),Fabaceae,Phaseolus,Cisco,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Clouseau (Bean),Fabaceae,Phaseolus,Clouseau,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Coho (Bean),Fabaceae,Phaseolus,Coho,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Condor (Bean),Fabaceae,Phaseolus,Condor,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Cowboy (Bean),Fabaceae,Phaseolus,Cowboy,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Coyne (Bean),Fabaceae,Phaseolus,Coyne,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Cran 09 (Bean),Fabaceae,Phaseolus,Cran 09,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Croissant (Bean),Fabaceae,Phaseolus,Croissant,Dry shell bean for storage and soups.,Direct sow after soil 60°F; 3–4 in spacing; keep evenly moist until emergence.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow recommended.,Loam; pH 6.2–7.2; avoid waterlogging.,"Bean beetles, aphids.",Inoculate with rhizobia; light compost; avoid excess N.,Drain Water,
Blue Lake (Bean),Fabaceae,Phaseolus,Blue Lake,Snap bean for fresh pods.,Succession sow every 2–3 weeks after frost for steady harvest.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow.,Loam; pH 6.2–7.2; consistent moisture during flowering.,"Mexican bean beetle, aphids.",Rhizobia inoculant; compost at planting.,Drain Water,
Cherokee Trail (Bean),Fabaceae,Phaseolus,Cherokee Trail,Snap bean for fresh pods.,Succession sow every 2–3 weeks after frost for steady harvest.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow.,Loam; pH 6.2–7.2; consistent moisture during flowering.,"Mexican bean beetle, aphids.",Rhizobia inoculant; compost at planting.,Drain Water,
Provider (Bean),Fabaceae,Phaseolus,Provider,Snap bean for fresh pods.,Succession sow every 2–3 weeks after frost for steady harvest.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow.,Loam; pH 6.2–7.2; consistent moisture during flowering.,"Mexican bean beetle, aphids.",Rhizobia inoculant; compost at planting.,Drain Water,
Top Crop (Bean),Fabaceae,Phaseolus,Top Crop,Snap bean for fresh pods.,Succession sow every 2–3 weeks after frost for steady harvest.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Not typically transplanted; direct sow.,Loam; pH 6.2–7.2; consistent moisture during flowering.,"Mexican bean beetle, aphids.",Rhizobia inoculant; compost at planting.,Drain Water,
Fordhook 242 (Bean),Fabaceae,Phaseolus,Fordhook 242,Butterbean/lima for fresh or dry use.,Warm soils 70–85°F; provide support for pole types.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Direct sow preferred; transplant only in cells to avoid root disturbance.,Fertile loam; pH 6.0–7.2.,"Aphids, beetles.",Compost; inoculate.,Drain Water,
Henderson Bush (Bean),Fabaceae,Phaseolus,Henderson Bush,Butterbean/lima for fresh or dry use.,Warm soils 70–85°F; provide support for pole types.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Direct sow preferred; transplant only in cells to avoid root disturbance.,Fertile loam; pH 6.0–7.2.,"Aphids, beetles.",Compost; inoculate.,Drain Water,
King of the Garden (Bean),Fabaceae,Phaseolus,King of the Garden,Butterbean/lima for fresh or dry use.,Warm soils 70–85°F; provide support for pole types.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Direct sow preferred; transplant only in cells to avoid root disturbance.,Fertile loam; pH 6.0–7.2.,"Aphids, beetles.",Compost; inoculate.,Drain Water,
Berken (Cowpea/Mung bean),Fabaceae,Vigna,Berken,Sprout/seed mung bean.,Direct sow after frost; 2–3 in spacing; harvest pods when filled.,"Hot,Drought,Dry,Tropical","5,6,7,8,9,10",112-140,,"[5, 6, 7, 8, 9, 10]","{""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34], ""10"": [25, 26, 27, 28, 29, 30, 31, 32]}","{""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Direct sow preferred.,Well‑drained loam; pH 6.0–7.5.,"Aphids, beetles.",Compost; inoculate.,Drain Water,
Oklahoma 1 (Cowpea/Mung bean),Fabaceae,Vigna,Oklahoma 1,Sprout/seed mung bean.,Direct sow after frost; 2–3 in spacing; harvest pods when filled.,"Hot,Drought,Dry,Tropical","5,6,7,8,9,10",112-140,,"[5, 6, 7, 8, 9, 10]","{""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34], ""10"": [25, 26, 27, 28, 29, 30, 31, 32]}","{""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Direct sow preferred.,Well‑drained loam; pH 6.0–7.5.,"Aphids, beetles.",Compost; inoculate.,Drain Water,
