Amendments,Approved CommonName,BestHarvest,BestPlantingDates,ColorRGB,CommonName,Cultivar,Description,Emoji,Family,FruitName,Genus,GreenhouseInstructions,GrowingAdvice,GrowingDays,Harvest,OptimalZones,Pests,Ripeness,SoilConditions,SoilInfo,TransplantAge,USDAZoneList,WeatherTolerance,ioscolor
Incorporate compost; side‑dress as needed.,Avalanche (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Avalanche Bean,Avalanche,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Baja (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Baja Bean,Baja,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Bandit (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Bandit Bean,Bandit,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Bella (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Bella Bean,Bella,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Bellagio (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Bellagio Bean,Bellagio,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Beryl R (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Beryl R Bean,Beryl R,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Big Red (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","200,30,30",Big Red Bean,Big Red,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",AmaranthRedAllredleaf2003030
Incorporate compost; side‑dress as needed.,BigHorn (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",BigHorn Bean,BigHorn,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Black Bear (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","35,35,35",Black Bear Bean,Black Bear,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",BeanBlackBlackbear353535
Incorporate compost; side‑dress as needed.,Black Cat (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","35,35,35",Black Cat Bean,Black Cat,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",BeanBlackBlackbear353535
Incorporate compost; side‑dress as needed.,Black Tails (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","35,35,35",Black Tails Bean,Black Tails,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",BeanBlackBlackbear353535
Incorporate compost; side‑dress as needed.,Blackhawk (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Blackhawk Bean,Blackhawk,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Blackjack (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Blackjack Bean,Blackjack,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Blizzard (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Blizzard Bean,Blizzard,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Canario 707 (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Canario 707 Bean,Canario 707,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Capri (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Capri Bean,Capri,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Cayenne (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Cayenne Bean,Cayenne,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Centennial (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Centennial Bean,Centennial,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Chaparral (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Chaparral Bean,Chaparral,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Charro (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Charro Bean,Charro,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
Incorporate compost; side‑dress as needed.,Cisco (Bean),"{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","140,70,50",Cisco Bean,Cisco,Bean (dry) crop.,🫘,Fabaceae,Bean,Phaseolus,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Snap beans: pick when pods are slender and snap cleanly; Dry beans: harvest when pods dry on plant.,"3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Snap: pods slender, smooth, and snap cleanly; no seed bulge. For dried beans: pods fully tan/brown and rattle; seeds hard before threshing.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",Bean0863per1407050
