vendorName,taxCategory,referenceNumber,reconciled,notes,ledgerDescription,id,entryType,debitAmount,date,creditAmount,checkNumber,balance,amount,accountName,accountCode,iosSymbol,emoji
Johnny's Seeds,Sales Tax,REF-9076,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,86301,Tax,0.0,2023-10-03 03:52:00,233.32,,4123.69,233.32,Fuel,5300,tray,💼
Johnny's Seeds,Sales Tax,REF-6903,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,15654,Payment,824.59,2023-10-07 16:25:00,0.0,CHK-5938,2174.61,824.59,Cost of Goods Sold,5000,externaldrive,📦
Muffin Utility Inc.,Use Tax,REF-5381,True,Billy the Mountain requested cash.,Tractor repair service,57569,Payment,1192.41,2023-10-02 07:17:00,0.0,,3616.68,1192.41,Owner's Equity,3000,tray,🏡
Zappa Solar,No Tax,REF-9979,False,Paid in kale chips and weird looks.,Utility payment: irrigation pump,65830,Invoice,0.0,2023-10-05 02:20:00,400.07,CHK-4212,1036.11,400.07,Taxes Payable,2200,hammer,🐝
Zappa Solar,Sales Tax,REF-4966,True,Billy the Mountain requested cash.,Utility payment: irrigation pump,99886,Equity Contribution,1060.28,2023-10-04 00:49:00,0.0,,2627.18,1060.28,Wages Payable,2100,externaldrive,🌱
Muffin Utility Inc.,Sales Tax,REF-7914,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,26443,Expense,1109.44,2023-10-01 12:47:00,0.0,,1901.91,1109.44,Owner's Equity,3000,tray,🏡
Tractor Depot,Sales Tax,REF-4601,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,29203,Tax,0.0,2023-10-01 11:11:00,711.58,,1969.02,711.58,Insurance,5900,wrench,🧾
Muffin Utility Inc.,No Tax,REF-4176,False,Beware of the Central Scrutinizer.,Weekly payroll distribution,76047,Invoice,0.0,2023-10-06 15:24:00,546.91,,2774.59,546.91,Depreciation,6000,calendar,🛠
Zappa Solar,No Tax,REF-5221,True,Billy the Mountain requested cash.,Weekly payroll distribution,11788,Expense,668.0,2023-10-04 10:11:00,0.0,CHK-1927,1368.75,668.0,Sales - Value-Added Goods,4100,folder,🐔
Muffin Utility Inc.,No Tax,REF-6590,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,69417,Invoice,0.0,2023-10-02 22:06:00,824.0,CHK-5300,2362.32,824.0,Fuel,5300,tray,💼
Compost Collective,No Tax,REF-4671,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,76908,Payroll,351.56,2023-10-02 10:26:00,0.0,CHK-2074,1945.29,351.56,Owner's Equity,3000,tray,🏡
Johnny's Seeds,Use Tax,REF-7083,True,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,84270,Tax,0.0,2023-10-02 12:11:00,619.91,,3214.32,619.91,Wages Payable,2100,externaldrive,🌱
Muffin Utility Inc.,Sales Tax,REF-6445,False,Paid in kale chips and weird looks.,Tractor repair service,84404,Invoice,0.0,2023-10-06 12:08:00,279.21,CHK-3302,2229.32,279.21,Owner's Equity,3000,tray,🏡
Compost Collective,No Tax,REF-4466,True,Billy the Mountain requested cash.,Weekly payroll distribution,57672,Invoice,0.0,2023-10-06 01:35:00,187.86,,2164.47,187.86,Wages Payable,2100,externaldrive,🌱
USDA,Sales Tax,REF-4921,False,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,77480,Equity Contribution,1206.49,2023-10-04 08:14:00,0.0,,2154.85,1206.49,Wages Payable,2100,externaldrive,🌱
Muffin Utility Inc.,Sales Tax,REF-9937,True,Beware of the Central Scrutinizer.,Weekly payroll distribution,61272,Payroll,1267.15,2023-10-07 01:28:00,0.0,CHK-2985,1932.09,1267.15,Fuel,5300,tray,💼
USDA,Use Tax,REF-5589,False,Beware of the Central Scrutinizer.,Tractor repair service,28518,Expense,1491.88,2023-10-03 04:26:00,0.0,CHK-5995,1152.4,1491.88,Insurance,5900,wrench,🧾
Johnny's Seeds,Use Tax,REF-5067,False,Paid in kale chips and weird looks.,Weekly payroll distribution,90623,Payment,149.81,2023-10-07 11:43:00,0.0,CHK-1192,3320.44,149.81,Owner's Equity,3000,tray,🏡
Muffin Utility Inc.,Use Tax,REF-3417,True,Someone painted the barn plaid again.,Tractor repair service,18341,Invoice,0.0,2023-10-05 19:48:00,1498.56,,4023.68,1498.56,Insurance,5900,wrench,🧾
Johnny's Seeds,Use Tax,REF-9596,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,55675,Invoice,0.0,2023-10-04 21:10:00,548.32,CHK-3780,2120.24,548.32,Wages Payable,2100,externaldrive,🌱
Compost Collective,Use Tax,REF-6588,True,Beware of the Central Scrutinizer.,Tractor repair service,76512,Expense,751.59,2023-10-07 00:21:00,0.0,,3372.91,751.59,Fuel,5300,tray,💼
Farm Co-op,Use Tax,REF-7529,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,53377,Tax,0.0,2023-10-04 19:31:00,803.93,,4383.77,803.93,Depreciation,6000,calendar,🛠
Johnny's Seeds,No Tax,REF-4092,True,Paid in kale chips and weird looks.,Utility payment: irrigation pump,34494,Payment,1087.23,2023-10-06 10:13:00,0.0,,2604.8,1087.23,Sales - Value-Added Goods,4100,folder,🐔
Compost Collective,No Tax,REF-2045,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,92196,Payment,1012.43,2023-10-05 11:40:00,0.0,CHK-6014,2401.47,1012.43,Sales - Value-Added Goods,4100,folder,🐔
Zappa Solar,Use Tax,REF-8480,True,Someone painted the barn plaid again.,Tractor repair service,95641,Payment,121.2,2023-10-05 20:03:00,0.0,CHK-8308,1817.95,121.2,Insurance,5900,wrench,🧾
Tractor Depot,Sales Tax,REF-8730,False,Billy the Mountain requested cash.,Weekly payroll distribution,75026,Expense,400.54,2023-10-07 04:59:00,0.0,CHK-2659,1454.66,400.54,Fuel,5300,tray,💼
Farm Co-op,Sales Tax,REF-4364,False,Beware of the Central Scrutinizer.,Weekly payroll distribution,10583,Equity Contribution,414.76,2023-10-01 03:50:00,0.0,,2272.69,414.76,Insurance,5900,wrench,🧾
Muffin Utility Inc.,Sales Tax,REF-4828,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,66336,Payroll,1047.49,2023-10-07 09:06:00,0.0,,2224.09,1047.49,Insurance,5900,wrench,🧾
USDA,Use Tax,REF-6061,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,22466,Tax,0.0,2023-10-07 12:37:00,710.33,,2950.54,710.33,Cost of Goods Sold,5000,externaldrive,📦
USDA,No Tax,REF-4022,True,Billy the Mountain requested cash.,Sale at Saturday farmer's market,56636,Payment,1488.67,2023-10-03 13:13:00,0.0,CHK-5430,2882.38,1488.67,Cost of Goods Sold,5000,externaldrive,📦
Zappa Solar,Sales Tax,REF-6294,True,Beware of the Central Scrutinizer.,Tractor repair service,54500,Invoice,0.0,2023-10-04 15:53:00,242.86,CHK-4191,3219.46,242.86,Sales - Value-Added Goods,4100,folder,🐔
Johnny's Seeds,Sales Tax,REF-3608,True,Billy the Mountain requested cash.,Weekly payroll distribution,48507,Payment,1202.42,2023-10-05 16:37:00,0.0,CHK-4059,2308.03,1202.42,Wages Payable,2100,externaldrive,🌱
Tractor Depot,Sales Tax,REF-3145,True,Billy the Mountain requested cash.,Weekly payroll distribution,21284,Payment,1404.25,2023-10-06 09:26:00,0.0,CHK-8882,3086.29,1404.25,Fuel,5300,tray,💼
Muffin Utility Inc.,Sales Tax,REF-4474,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,50749,Equity Contribution,1345.02,2023-10-05 01:36:00,0.0,CHK-5135,2999.86,1345.02,Owner's Equity,3000,tray,🏡
Compost Collective,Sales Tax,REF-3620,True,Billy the Mountain requested cash.,Tractor repair service,71870,Payroll,377.49,2023-10-05 10:45:00,0.0,CHK-8086,4407.76,377.49,Cost of Goods Sold,5000,externaldrive,📦
Tractor Depot,Use Tax,REF-8016,True,Beware of the Central Scrutinizer.,Weekly payroll distribution,97145,Equity Contribution,1096.45,2023-10-03 15:58:00,0.0,CHK-4434,4825.4,1096.45,Taxes Payable,2200,hammer,🐝
Muffin Utility Inc.,Use Tax,REF-7832,True,Billy the Mountain requested cash.,Sale at Saturday farmer's market,69014,Invoice,0.0,2023-10-04 17:11:00,924.23,,2404.81,924.23,Depreciation,6000,calendar,🛠
Tractor Depot,No Tax,REF-8151,False,Paid in kale chips and weird looks.,Utility payment: irrigation pump,50780,Payment,136.72,2023-10-07 05:17:00,0.0,,1315.0,136.72,Depreciation,6000,calendar,🛠
Johnny's Seeds,Use Tax,REF-4702,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,15229,Payroll,431.9,2023-10-06 02:37:00,0.0,,1699.58,431.9,Cost of Goods Sold,5000,externaldrive,📦
Muffin Utility Inc.,Use Tax,REF-9451,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,58221,Payment,467.32,2023-10-05 08:47:00,0.0,CHK-8213,4201.15,467.32,Taxes Payable,2200,hammer,🐝
Farm Co-op,Sales Tax,REF-2608,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,88599,Tax,0.0,2023-10-05 20:02:00,1450.51,CHK-3835,3813.74,1450.51,Taxes Payable,2200,hammer,🐝
Muffin Utility Inc.,No Tax,REF-2930,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,43908,Payment,132.8,2023-10-06 13:05:00,0.0,,4732.31,132.8,Taxes Payable,2200,hammer,🐝
Tractor Depot,Sales Tax,REF-2678,True,Billy the Mountain requested cash.,Utility payment: irrigation pump,23813,Tax,0.0,2023-10-05 18:47:00,647.65,,2870.87,647.65,Fuel,5300,tray,💼
USDA,Sales Tax,REF-7463,False,Paid in kale chips and weird looks.,Utility payment: irrigation pump,98812,Payment,1064.99,2023-10-03 21:13:00,0.0,,2921.09,1064.99,Fuel,5300,tray,💼
USDA,No Tax,REF-6024,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,66200,Equity Contribution,799.14,2023-10-02 05:58:00,0.0,,4430.0,799.14,Taxes Payable,2200,hammer,🐝
Muffin Utility Inc.,Use Tax,REF-4791,True,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,64907,Invoice,0.0,2023-10-04 12:30:00,461.29,CHK-9557,1335.75,461.29,Depreciation,6000,calendar,🛠
USDA,Use Tax,REF-9257,True,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,96012,Expense,1269.83,2023-10-05 21:44:00,0.0,,2048.92,1269.83,Wages Payable,2100,externaldrive,🌱
Muffin Utility Inc.,No Tax,REF-1835,False,Paid in kale chips and weird looks.,Utility payment: irrigation pump,24832,Tax,0.0,2023-10-03 08:40:00,320.07,,4504.39,320.07,Cost of Goods Sold,5000,externaldrive,📦
Johnny's Seeds,No Tax,REF-9399,False,Beware of the Central Scrutinizer.,Weekly payroll distribution,57299,Invoice,0.0,2023-10-02 12:05:00,1173.31,,4418.49,1173.31,Taxes Payable,2200,hammer,🐝
USDA,Use Tax,REF-5625,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,64502,Expense,218.08,2023-10-06 13:18:00,0.0,,2456.98,218.08,Wages Payable,2100,externaldrive,🌱
Muffin Utility Inc.,No Tax,REF-2448,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,32830,Payment,2.46,2023-10-07 10:10:00,0.0,,3526.6,2.46,Taxes Payable,2200,hammer,🐝
Johnny's Seeds,Use Tax,REF-7061,True,Beware of the Central Scrutinizer.,Weekly payroll distribution,92531,Payment,17.74,2023-10-03 11:48:00,0.0,CHK-7922,1742.06,17.74,Sales - Value-Added Goods,4100,folder,🐔
Farm Co-op,No Tax,REF-4959,False,Someone painted the barn plaid again.,Utility payment: irrigation pump,57257,Invoice,0.0,2023-10-01 19:19:00,809.97,CHK-8435,3870.6,809.97,Sales - Value-Added Goods,4100,folder,🐔
Tractor Depot,No Tax,REF-7177,True,Someone painted the barn plaid again.,Weekly payroll distribution,17968,Expense,1225.4,2023-10-05 20:53:00,0.0,CHK-1261,1170.88,1225.4,Taxes Payable,2200,hammer,🐝
Compost Collective,No Tax,REF-3447,False,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,32288,Tax,0.0,2023-10-07 17:32:00,1434.96,,1732.92,1434.96,Depreciation,6000,calendar,🛠
Compost Collective,Use Tax,REF-7030,False,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,71216,Invoice,0.0,2023-10-07 13:28:00,1001.71,,2311.12,1001.71,Cost of Goods Sold,5000,externaldrive,📦
Zappa Solar,Use Tax,REF-8170,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,80204,Equity Contribution,1365.78,2023-10-03 11:41:00,0.0,,3857.85,1365.78,Owner's Equity,3000,tray,🏡
Compost Collective,Use Tax,REF-4171,True,Beware of the Central Scrutinizer.,Weekly payroll distribution,54522,Expense,810.49,2023-10-01 15:09:00,0.0,,2101.19,810.49,Cost of Goods Sold,5000,externaldrive,📦
Muffin Utility Inc.,Sales Tax,REF-2285,True,Billy the Mountain requested cash.,Sale at Saturday farmer's market,88253,Expense,246.89,2023-10-06 10:36:00,0.0,CHK-3614,2826.23,246.89,Fuel,5300,tray,💼
Zappa Solar,No Tax,REF-2338,False,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,72909,Equity Contribution,265.81,2023-10-03 17:54:00,0.0,,2536.89,265.81,Insurance,5900,wrench,🧾
Muffin Utility Inc.,Sales Tax,REF-2833,False,Someone painted the barn plaid again.,Tractor repair service,34697,Equity Contribution,197.98,2023-10-06 02:25:00,0.0,CHK-1887,4053.85,197.98,Fuel,5300,tray,💼
USDA,Sales Tax,REF-9965,False,Someone painted the barn plaid again.,Utility payment: irrigation pump,83049,Tax,0.0,2023-10-05 02:47:00,1343.79,,3349.02,1343.79,Wages Payable,2100,externaldrive,🌱
USDA,Sales Tax,REF-6242,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,38455,Payment,533.33,2023-10-07 15:29:00,0.0,,3737.2,533.33,Fuel,5300,tray,💼
USDA,Use Tax,REF-5611,True,Billy the Mountain requested cash.,Tractor repair service,38724,Tax,0.0,2023-10-06 13:15:00,736.19,,2665.62,736.19,Cost of Goods Sold,5000,externaldrive,📦
Johnny's Seeds,Sales Tax,REF-1962,True,Paid in kale chips and weird looks.,Weekly payroll distribution,11681,Payment,484.48,2023-10-02 13:52:00,0.0,,4117.04,484.48,Wages Payable,2100,externaldrive,🌱
Compost Collective,Sales Tax,REF-6590,True,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,40369,Tax,0.0,2023-10-02 10:53:00,835.79,CHK-4233,3658.48,835.79,Sales - Value-Added Goods,4100,folder,🐔
Farm Co-op,Sales Tax,REF-6901,True,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,33527,Equity Contribution,191.65,2023-10-04 14:21:00,0.0,,3606.62,191.65,Wages Payable,2100,externaldrive,🌱
Compost Collective,Use Tax,REF-4275,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,60119,Expense,1429.15,2023-10-03 23:49:00,0.0,,3623.0,1429.15,Taxes Payable,2200,hammer,🐝
Tractor Depot,Use Tax,REF-5400,True,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,36093,Payment,965.5,2023-10-06 02:50:00,0.0,,1015.92,965.5,Wages Payable,2100,externaldrive,🌱
Tractor Depot,No Tax,REF-3514,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,11962,Equity Contribution,42.09,2023-10-04 00:52:00,0.0,CHK-1398,1204.34,42.09,Wages Payable,2100,externaldrive,🌱
Tractor Depot,Sales Tax,REF-1870,False,Paid in kale chips and weird looks.,Weekly payroll distribution,81727,Payroll,1346.22,2023-10-06 14:00:00,0.0,,2578.09,1346.22,Sales - Value-Added Goods,4100,folder,🐔
USDA,No Tax,REF-2361,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,48081,Expense,895.58,2023-10-02 19:57:00,0.0,,4214.16,895.58,Owner's Equity,3000,tray,🏡
USDA,Sales Tax,REF-6227,True,Billy the Mountain requested cash.,Sale at Saturday farmer's market,69989,Invoice,0.0,2023-10-07 07:18:00,1199.81,CHK-6977,4630.68,1199.81,Sales - Value-Added Goods,4100,folder,🐔
Zappa Solar,No Tax,REF-2070,False,Paid in kale chips and weird looks.,Utility payment: irrigation pump,33463,Payroll,186.47,2023-10-03 04:54:00,0.0,CHK-1250,2674.2,186.47,Sales - Value-Added Goods,4100,folder,🐔
Tractor Depot,Sales Tax,REF-2946,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,65926,Tax,0.0,2023-10-02 02:15:00,945.41,,3746.47,945.41,Fuel,5300,tray,💼
Muffin Utility Inc.,Use Tax,REF-1282,False,Someone painted the barn plaid again.,Tractor repair service,78162,Tax,0.0,2023-10-03 02:34:00,1337.24,,3598.65,1337.24,Taxes Payable,2200,hammer,🐝
USDA,No Tax,REF-8209,True,Paid in kale chips and weird looks.,Tractor repair service,66939,Expense,1405.87,2023-10-07 10:21:00,0.0,,2260.76,1405.87,Insurance,5900,wrench,🧾
Zappa Solar,Sales Tax,REF-6775,True,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,50464,Payroll,70.48,2023-10-04 16:34:00,0.0,CHK-7995,3860.95,70.48,Depreciation,6000,calendar,🛠
USDA,No Tax,REF-4075,False,Paid in kale chips and weird looks.,Tractor repair service,12489,Invoice,0.0,2023-10-04 08:34:00,517.55,CHK-8315,1415.85,517.55,Insurance,5900,wrench,🧾
Farm Co-op,Use Tax,REF-2520,True,Paid in kale chips and weird looks.,Weekly payroll distribution,74972,Equity Contribution,235.27,2023-10-03 23:01:00,0.0,,2019.87,235.27,Wages Payable,2100,externaldrive,🌱
Johnny's Seeds,Use Tax,REF-8508,False,Someone painted the barn plaid again.,Tractor repair service,49362,Payroll,879.18,2023-10-04 15:53:00,0.0,CHK-1599,1035.84,879.18,Insurance,5900,wrench,🧾
Zappa Solar,Sales Tax,REF-3663,False,Someone painted the barn plaid again.,Utility payment: irrigation pump,86994,Invoice,0.0,2023-10-03 20:39:00,360.54,CHK-2667,1121.69,360.54,Sales - Value-Added Goods,4100,folder,🐔
Zappa Solar,Sales Tax,REF-2451,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,96117,Invoice,0.0,2023-10-04 15:50:00,390.98,,3994.85,390.98,Cost of Goods Sold,5000,externaldrive,📦
Muffin Utility Inc.,No Tax,REF-2039,True,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,95065,Expense,11.28,2023-10-05 09:47:00,0.0,CHK-2253,1785.54,11.28,Cost of Goods Sold,5000,externaldrive,📦
Farm Co-op,No Tax,REF-1350,False,Paid in kale chips and weird looks.,Tractor repair service,91755,Tax,0.0,2023-10-03 03:29:00,542.4,,1150.27,542.4,Owner's Equity,3000,tray,🏡
Zappa Solar,Sales Tax,REF-3773,False,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,95052,Equity Contribution,1335.97,2023-10-05 17:28:00,0.0,CHK-8654,4050.69,1335.97,Depreciation,6000,calendar,🛠
USDA,Sales Tax,REF-6148,False,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,77308,Invoice,0.0,2023-10-11 18:36:00,1268.2,,4081.73,1268.2,Cost of Goods Sold,5000,externaldrive,📦
USDA,No Tax,REF-9280,True,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,98903,Invoice,0.0,2023-10-14 18:56:00,1110.2,,4845.2,1110.2,Owner's Equity,3000,tray,🏡
Muffin Utility Inc.,Sales Tax,REF-9834,True,Someone painted the barn plaid again.,Tractor repair service,85164,Payment,1226.96,2023-10-13 10:08:00,0.0,,4046.42,1226.96,Wages Payable,2100,externaldrive,🌱
Tractor Depot,Use Tax,REF-2642,False,Billy the Mountain requested cash.,Tractor repair service,63579,Tax,0.0,2023-10-09 11:49:00,1317.02,,2258.91,1317.02,Sales - Value-Added Goods,4100,folder,🐔
Zappa Solar,Use Tax,REF-7252,True,Billy the Mountain requested cash.,Weekly payroll distribution,33861,Invoice,0.0,2023-10-11 20:09:00,572.83,,3764.92,572.83,Wages Payable,2100,externaldrive,🌱
Johnny's Seeds,No Tax,REF-7137,True,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,65696,Payment,1358.39,2023-10-10 07:20:00,0.0,,3797.55,1358.39,Cost of Goods Sold,5000,externaldrive,📦
