"Symbol","Scientific Name with Author","GSAT Common Name"
"AGGI","Agrostemma githago L.","common corncockle"
"AGGI2","Agrostis gigantea Roth","REDTOP"
"AGHE4","Agalinis heterophylla (Nutt.) Small ex Britton","prairie false foxglove"
"AGHO4","Agalinis homalantha Pennell","San Antonio false foxglove"
"AGHY","Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","winter bentgrass"
"AGNE2","Agastache nepetoides (L.) Kuntze","yellow giant hyssop"
"AGPA6","Agrimonia parviflora Aiton","harvestlice"
"AGPE","Agrostis perennans (Walter) Tuck.","upland bentgrass"
"AGPU","Agrimonia pubescens Wallr.","soft agrimony"
"AGRO3","Agrimonia rostellata Wallr.","beaked agrimony"
"AGROP2","Agropyron Gaertn.","wheatgrass"
"AGROS","Agrostemma L.","CORNCOCKLE"
"AGROS2","Agrostis L.","bentgrass"
"AGSK","Agalinis skinneriana (Alph. Wood) Britton","Skinner's false foxglove"
"AGTE3","Agalinis tenuifolia (Vahl) Raf.","slenderleaf false foxglove"
"AGVI5","Agalinis viridis (Small) Pennell","green false foxglove"
"AIAL","Ailanthus altissima (Mill.) Swingle","tree of heaven"
"AICA","Aira caryophyllea L.","silver hairgrass"
"AIEL4","Aira elegans Willd. ex Kunth","annual silver hairgrass"
"AIRA","Aira L.","hairgrass"
"ALAM","Allium ampeloprasum L.","broadleaf wild leek"
"ALAU","Aletris aurea Walter","golden colicroot"
"ALCA3","Allium canadense L.","meadow garlic"
"ALCA4","Alopecurus carolinianus Walter","CAROLINA FOXTAIL"
"ALCA5","Alternanthera caracasana Kunth","washerwoman"
"ALCAF","Allium canadense L. var. fraseri Ownbey","Fraser meadow garlic"
"ALCAH","Allium canadense L. var. hyacinthoides (Bush) Ownbey & Aase","hyacinth meadow garlic"
"ALDR","Allium drummondii Regel","Drummond's onion"
"ALDR2","Alophia drummondii (Graham) R.C. Foster","propeller flower"
"ALETR","Aletris L.","colicroot"
"ALFA2","Aletris farinosa L.","white colicroot"
"ALGE2","Alopecurus geniculatus L.","water foxtail"
"ALIN","Allionia incarnata L.","trailing windmills"
"ALISM","Alisma L.","water plantain"
"ALJU","Albizia julibrissin Durazz.","SILKTREE"
"ALLIO","Allionia L.","windmills"
"ALLIU","Allium L.","onion"
"ALMA7","Alnus maritima (Marshall) Muhl. ex Nutt.","SEASIDE ALDER"
"ALNUS","Alnus Mill.","alder"
"ALOPE","Alopecurus L.","foxtail"
"ALPE2","Allium perdulce S.V. Fraser","plains onion"
"ALPE4","Alliaria petiolata (M. Bieb.) Cavara & Grande","garlic mustard"
"ALSA2","Allium sativum L.","cultivated garlic"
"ALSE2","Alnus serrulata (Aiton) Willd.","hazel alder"
"ALST","Allium stellatum Fraser ex Ker Gawl.","autumn onion"
"ALSU","Alisma subcordatum Raf.","American water plantain"
"ALTER2","Alternanthera Forssk.","joyweed"
"ALTR3","Allium tricoccum Aiton","wild leek"
"ALTR7","Alisma triviale Pursh","northern water plantain"
"ALVI","Allium vineale L.","WILD GARLIC"
"ALVIC3","Allium vineale L. ssp. compactum (Thuill.) Coss. & Germ.","compact onion"
"AMAL","Amaranthus albus L.","prostrate pigweed"
"AMAR2","Ambrosia artemisiifolia L.","annual ragweed"
"AMAR3","Amelanchier arborea (Michx. f.) Fernald","COMMON SERVICEBERRY"
"AMARA","Amaranthus L.","pigweed"
"AMARA3","Amelanchier arborea (Michx. f.) Fernald var. alabamensis (Britton) G.N. Jones","Alabama serviceberry"
"AMAU2","Ammannia auriculata Willd.","eared redstem"
"AMBI2","Ambrosia bidentata Michx.","lanceleaf ragweed"
"AMBL","Amaranthus blitoides S. Watson","mat amaranth"
"AMBR2","Amphicarpaea bracteata (L.) Fernald","American hogpeanut"
"AMBRO","Ambrosia L.","ragweed"
"AMBU","Ammoselinum butleri (Engelm. ex S. Watson) J.M. Coult. & Rose","Butler's sandparsley"
"AMCA6","Amorpha canescens Pursh","LEADPLANT"
"AMCI","Amsonia ciliata Walter","fringed bluestar"
"AMCIT2","Amsonia ciliata Walter var. texana (A. Gray) J.M. Coult.","Texas bluestar"
"AMCO","Ammannia coccinea Rottb.","valley redstem"
"AMCO2","Ampelopsis cordata Michx.","heartleaf peppervine"
"AMDR","Amphiachyris dracunculoides (DC.) Nutt.","prairie broomweed"
"AMDR","Amphiachyris dracunculoides (DC.) Nutt.","COMMON BROOMWEED"
"AMELA","Amelanchier Medik.","serviceberry"
"AMFR","Amorpha fruticosa L.","Indigobush amorpha"
"AMFR","Amorpha fruticosa L.","desert false indigo"
"AMHU","Amsonia hubrichtii Woodson","Hubricht's bluestar"
"AMIL","Amsonia illustris Woodson","Ozark bluestar"
"AMLA2","Amorpha laevigata Nutt.","smooth false indigo"
"AMLY","Amsinckia lycopsoides Lehm.","tarweed fiddleneck"
"AMMAN","Ammannia L.","redstem"
"AMMOS","Ammoselinum Torr. & A. Gray","sandparsley"
"AMMU","Amianthium muscitoxicum (Walter) A. Gray","flypoison"
"AMNA","Amorpha nana Nutt.","dwarf false indigo"
"AMNI","Amorpha nitens Boynt.","shining false indigo"
"AMORP","Amorpha L.","FALSE INDIGO"
"AMOU","Amorpha ouachitensis Wilbur","Ouachita false indigo"
"AMPA","Amaranthus palmeri S. Watson","CARELESSWEED"
"AMPA4","Amorpha paniculata Torr. & A. Gray","panicled false indigo"
"AMPHI4","Amphicarpaea Elliott ex Nutt.","hogpeanut"
"AMPHI8","Amphiachyris (A. DC.) Nutt.","broomweed"
"AMPO4","Ammoselinum popei Torr. & A. Gray","plains sandparsley"
"AMPS","Ambrosia psilostachya DC.","WESTERN RAGWEED"
"AMRE","Amaranthus retroflexus L.","REDROOT PIGWEED"
"AMRO3","Ammannia robusta Heer & Regel","grand redstem"
"AMSIN","Amsinckia Lehm.","fiddleneck"
"AMSON","Amsonia Walter","bluestar"
"AMSP","Amaranthus spinosus L.","SPINY AMARANTH"
"AMTA2","Amsonia tabernaemontana Walter","eastern bluestar"
"AMTR","Ambrosia trifida L.","GIANT RAGWEED"
"ANAGA","Anagallis L.","pimpernel"
"ANAR","Anagallis arvensis L.","SCARLET PIMPERNEL"
"ANAR7","Anthoxanthum aristatum Boiss.","annual vernalgrass"
"ANBE","Anemone berlandieri Pritz.","tenpetal thimbleweed"
"ANCA10","Anemopsis californica (Nutt.) Hook. & Arn.","yerba mansa"
"ANCA14","Anthriscus caucalis M. Bieb.","burr chervil"
"ANCA9","Anemone caroliniana Walter","CAROLINA ANEMONE"
"ANCO2","Anthemis cotula L.","stinking chamomile"
"ANCO9","Androstephium coeruleum (Scheele) Greene","blue funnel lily"
"ANDRO2","Andropogon L.","bluestem"
"ANDRO3","Androsace L.","rockjasmine"
"ANDRO4","Androstephium Torr.","funnel lily"
"ANGE","Andropogon gerardii Vitman","BIG BLUESTEM"
"ANGL2","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.","BUSHY BLUESTEM"
"ANGY2","Andropogon gyrans Ashe","Elliott's bluestem"
"ANHA","Andropogon hallii Hack.","SAND BLUESTEM"
"ANMI4","Anagallis minima (L.) Krause","CHAFFWEED"
"ANOC2","Androsace occidentalis Pursh","WESTERN ROCKJASMINE"
"ANPA9","Antennaria parlinii Fernald","pussytoes"
"ANTE2","Andropogon ternarius Michx.","SPLITBEARD BLUESTEM"
"ANTHE","Anthemis L.","chamomile"
"ANTHO","Anthoxanthum L.","vernalgrass"
"ANTHR","Anthriscus Pers.","CHERVIL"
"ANVE","Angelica venenosa (Greenway) Fernald","hairy angelica"
"ANVI2","Andropogon virginicus L.","BROOMSEDGE BLUESTEM"
"ANVI3","Anemone virginiana L.","TALL THIMBLEWEED"
"APAM","Apios americana Medik.","groundnut"
"APAN2","Apocynum androsaemifolium L.","SPREADING DOGBANE"
"APCA","Apocynum cannabinum L.","Indianhemp"
"APGR2","Apium graveolens L.","WILD CELERY"
"APHAN3","Aphanostephus DC.","dozedaisy"
"APHAN4","Aphanes L.","parsley piert"
"APHY","Aplectrum hyemale (Muhl. ex Willd.) Torr.","Adam and Eve"
"APIUM","Apium L.","celery"
"APMI","Aphanes microcarpa (Boiss. & Reut.) Rothm.","slender parsley piert"
"APOCY","Apocynum L.","Dogbane"
"APPI","Aphanostephus pilosus Buckley","HAIRY DOZEDAISY"
"APRA","Aphanostephus ramosissimus DC.","PLAINS DOZEDAISY"
"APSK","Aphanostephus skirrhobasis (DC.) Trel.","ARKANSAS DOZEDAISY"
"AQCA","Aquilegia canadensis L.","red columbine"
"AQUIL","Aquilegia L.","columbine"
"ARABI","Arabidopsis Heynh.","rockcress"
"ARABI2","Arabis L.","rockcress"
"ARAD","Aristida adscensionis L.","SIXWEEKS THREEAWN"
"ARALI","Aralia L.","spikenard"
"ARAR7","Aronia arbutifolia (L.) Pers.","red chokeberry"
"ARAT","Arnoglossum atriplicifolium (L.) H. Rob.","pale Indian plaintain"
"ARBE","Arenaria benthamii Fenzl ex Torr. & A. Gray","HILLY SANDWORT"
"ARCA","Arabis canadensis L.","SICKLEPOD"
"ARCA12","Artemisia campestris L.","field sagewort"
"ARCA14","Artemisia carruthii Alph. Wood ex Carruth.","Carruth's sagewort"
"ARCH3","Arnica chamissonis Less.","Chamisso arnica"
"ARCTI","Arctium L.","burrdock"
"ARDE5","Argyrochosma dealbata (Pursh) Windham","powdery false cloak fern"
"ARDI8","Aruncus dioicus (Walter) Fernald","bride's feathers"
"ARDO4","Arundo donax L.","giant reed"
"ARDR3","Arisaema dracontium (L.) Schott","green dragon"
"ARDR4","Artemisia dracunculus L.","tarragon"
"ARENA","Arenaria L.","sandwort"
"ARFE","Arabis fendleri (S. Watson) Greene","Fendler's rockcress"
"ARFI","Ariocarpus fissuratus (Engelm.) K. Schum.","SAND SAGEBRUSH"
"ARGEM","Argemone L.","pricklypoppy"
"ARGI","Arundinaria gigantea (Walter) Muhl.","GIANT CANE"
"ARGYR5","Argyrochosma (Sm.) Windham","false cloak fern"
"ARGYT","Argythamnia P. Br.","silverbush"
"ARHI3","Arthraxon hispidus (Thunb.) Makino","small carpgrass"
"ARHO4","Arenaria hookeri Nutt.","Hooker's sandwort"
"ARHU5","Argythamnia humilis (Engelm. & A. Gray) Müll. Arg.","low silverbush"
"ARIST","Aristida L.","threeawn"
"ARIST2","Aristolochia L.","dutchman's pipe"
"ARLA","Arabis laevigata (Muhl. ex Willd.) Poir.","SMOOTH ROCKCRESS"
"ARLO16","Aristida longespica Poir.","slimspike threeawn"
"ARLU","Artemisia ludoviciana Nutt.","white sagebrush"
"ARLUL2","Artemisia ludoviciana Nutt. ssp. ludoviciana","white sagebrush"
"ARME5","Argythamnia mercurialina (Nutt.) Müll. Arg.","tall silverbush"
"ARMI2","Arctium minus Bernh.","lesser burrdock"
"ARMI5","Arabis missouriensis Greene","green rockcress"
"ARNOG","Arnoglossum Raf.","Indian plaintain"
"AROL","Aristida oligantha Michx.","prairie threeawn"
"ARPL4","Arnoglossum plantagineum Raf.","groovestem Indian plaintain"
"ARPO2","Argemone polyanthemos (Fedde) G.B. Ownbey","crested pricklypoppy"
"ARPU8","Aristida purpurascens Poir.","ARROWFEATHER THREEAWN"
"ARPU9","Aristida purpurea Nutt.","purple threeawn"
"ARRE3","Aristolochia reticulata Jacq.","Texas dutchman's pipe"
"ARRE6","Arnoglossum reniforme (Hook.) H. Rob.","great Indian plaintain"
"ARSE2","Arenaria serpyllifolia L.","THYMELEAF SANDWORT"
"ARSE3","Aristolochia serpentaria L.","Virginia snakeroot"
"ARSH2","Arabis shortii (Fernald) Gleason","Short's rockcress"
"ARSP2","Aralia spinosa L.","devil's walkingstick"
"ARSQ","Argemone squarrosa Greene","hedgehog pricklypoppy"
"ARTE4","Arundinaria tecta (Walter) Muhl.","switchcane"
"ARTEM","Artemisia L.","sagebrush"
"ARTH","Arabidopsis thaliana (L.) Heynh.","mouseear cress"
"ARTHR","Arthraxon P. Beauv.","carpgrass"
"ARTO3","Aristolochia tomentosa Sims","woolly dutchman's pipe"
"ARTR","Arisaema triphyllum (L.) Schott","Jack in the pulpit"
"ARUND2","Arundinaria Michx.","cane"
"ASAM","Asclepias amplexicaulis Sm.","clasping milkweed"
"ASARU","Asarum L.","wildginger"
"ASAS","Asclepias asperula (Decne.) Woodson","spider milkweed"
"ASASC","Asclepias asperula (Decne.) Woodson ssp. capricornu (Woodson) Woodson","ANTELOPEHORNS"
"ASBI2","Astragalus bisulcatus (Hook.) A. Gray","twogrooved milkvetch"
"ASBR2","Asplenium bradleyi D.C. Eaton","Bradley's spleewort"
"ASCA","Asarum canadense L.","Canadian wildginger"
"ASCA11","Astragalus canadensis L.","Canadian milkvetch"
"ASCE","Astragalus ceramicus Sheldon","Painted milkvetch"
"ASCLE","Asclepias L.","MILKWEED"
"ASCR2","Astragalus crassicarpus Nutt.","groundplum"
"ASCRC3","Astragalus crassicarpus Nutt. var. crassicarpus","GROUNDPLUM MILKVETCH"
"ASDI4","Astragalus distortus Torr. & A. Gray","Ozark milkvetch"
"ASEN","Asclepias engelmanniana Woodson","Engelmann's milkweed"
"ASGI5","Astragalus gilviflorus Sheldon","plains milkvetch"
"ASGR3","Astragalus gracilis Nutt.","Slender milkvetch"
"ASHI","Asclepias hirtella (Pennell) Woodson","GREEN MILKWEED"
"ASIMI","Asimina Adans.","PAWPAW"
"ASIN14","Asclepias involucrata Engelm. ex Torr.","dwarf milkweed"
"ASIN19","Astrolepis integerrima (Hook.) Benham & Windham","hybrid cloakfern"
"ASIN9","Astranthium integrifolium (Michx.) Nutt.","entireleaf western daisy"
"ASLA4","Asclepias latifolia (Torr.) Raf.","BROADLEAF MILKWEED"
"ASLE10","Astragalus leptocarpus Torr. & A. Gray","rare loco milkvetch"
"ASLI4","Astragalus lindheimeri Engelm. ex A. Gray","Lindheimer's milkvetch"
"ASLO4","Astragalus lotiflorus Hook.","lotus milkvetch"
"ASMA","Asclepias macrotis Torr.","longhood milkweed"
"ASMI10","Astragalus missouriensis Nutt.","MISSOURI MILKVETCH"
"ASMO7","Astragalus mollissimus Torr.","woolly loco"
"ASMOM5","Astragalus mollissimus Torr. var. mollissimus","woolly locoweed"
"ASNU4","Astragalus nuttallianus DC.","smallflower milkvetch"
"ASPL2","Astragalus plattensis Nutt.","Platte River milkvetch"
"ASPU","Asclepias pumila (A. Gray) Vail","PLAINS MILKWEED"
"ASPU2","Asclepias purpurascens L.","PURPLE MILKWEED"
"ASPU8","Astragalus puniceus Osterh.","Trinidad milkvetch"
"ASQU","Asclepias quadrifolia Jacq.","FOURLEAF MILKWEED"
"ASRA2","Astragalus racemosus Pursh","cream milkvetch"
"ASSP","Asclepias speciosa Torr.","SHOWY MILKWEED"
"ASST","Asclepias stenophylla A. Gray","slimleaf milkweed"
"ASSU2","Asclepias subverticillata (A. Gray) Vail","horsetail milkweed"
"ASSU3","Asclepias sullivantii Engelm. ex A. Gray","PRAIRIE MILKWEED"
"ASSY","Asclepias syriaca L.","Common milkweed"
"ASTRA","Astragalus L.","milkvetch"
"ASTRA2","Astranthium Nutt.","western daisy"
"ASTU","Asclepias tuberosa L.","Butterfly milkweed"
"ASVE","Asclepias verticillata L.","WHORLED MILKWEED"
"ASVI2","Asclepias viridis Walter","green antelopehorn"
"ATAR2","Atriplex argentea Nutt.","SILVERSCALE SALTBUSH"
"ATCA2","Atriplex canescens (Pursh) Nutt.","FOURWING SALTBUSH"
"ATFI","Athyrium filix-femina (L.) Roth","common ladyfern"
"ATFIA2","Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén","asplenium ladyfern"
"ATHYR","Athyrium Roth","ladyfern"
"ATRIP","Atriplex L.","saltbush"
"ATSU2","Atriplex subspicata (Nutt.) Rydb.","saline saltbush"
"AUGR","Aureolaria grandiflora (Benth.) Pennell","largeflower yellow false foxglove"
"AUPE","Aureolaria pectinata (Nutt.) Pennell","combleaf yellow false foxglove"
"AUREO","Aureolaria Raf.","false foxglove"
"AVENA","Avena L.","oat"
"AVFA","Avena fatua L.","WILD OAT"
"AVSA","Avena sativa L.","common oat"
"AXFI","Axonopus fissifolius (Raddi) Kuhlm.","COMMON CARPETGRASS"
"AXFU","Axonopus furcatus (Flueggé) Hitchc.","big carpetgrass"
"AXONO","Axonopus P. Beauv.","carpetgrass"
"AZCA","Azolla caroliniana Willd.","Carolina mosquitofern"
"AZMI","Azolla microphylla Kaulf.","Mexican mosquitofern"
"AZOLL","Azolla Lam.","mosquitofern"
"BAAL","Baptisia alba (L.) Vent.","white wild indigo"
"BAALM","Baptisia alba (L.) Vent. var. macrophylla (Larisey) Isely","largeleaf wild indigo"
"BAAN","Baccharis angustifolia Michx.","Willow baccharis"
"BAAU","Baptisia australis (L.) R. Br.","blue wild indigo"
"BABR2","Baptisia bracteata Muhl. ex Elliott","plains wild indigo"
"BACCH","Baccharis L.","Baccharis"
"BAHA","Baccharis halimifolia L.","EASTERN BACCHARIS"
"BANU2","Baptisia nuttalliana Small","Nuttall's wild indigo"
"BAPTI","Baptisia Vent.","wild indigo"
"BARBA","Barbarea W.T. Aiton","yellowrocket"
"BARO","Bacopa rotundifolia (Michx.) Wettst.","DISK WATERHYSSOP"
"BARTO","Bartonia Muhl. ex Willd.","screwstem"
"BASA","Baccharis salicina Torr. & A. Gray","Great Plains false willow"
"BASC5","Bassia scoparia (L.) A.J. Scott","burningbush"
"BASP","Baptisia sphaerocarpa Nutt.","yellow wild indigo"
"BASSI","Bassia All.","KOCHIA"
"BATE","Baccharis texana (Torr. & A. Gray) A. Gray","prairie false willow"
"BAVU","Barbarea vulgaris W.T. Aiton","garden yellowrocket"
"BAWR","Baccharis wrightii A. Gray","Wright's baccharis"
"BEBE4","Berlandiera betonicifolia (Hook.) Small","TEXAS GREENEYES"
"BECH","Belamcanda chinensis (L.) DC.","blackberry lily"
"BEER","Berula erecta (Huds.) Coville","cutleaf waterparsnip"
"BEIN2","Berteroa incana (L.) DC.","hoary false madwort"
"BELY","Berlandiera lyrata Benth.","lyreleaf greeneyes"
"BENI","Betula nigra L.","RIVER BIRCH"
"BEPU2","Berlandiera pumila (Michx.) Nutt.","soft greeneyes"
"BERCH","Berchemia Neck. ex DC.","supplejack"
"BERLA","Berlandiera DC.","greeneyes"
"BERTE","Berteroa DC.","false madwort"
"BERUL","Berula Besser ex W.D.J. Koch","waterparsnip"
"BESC","Berchemia scandens (Hill) K. Koch","ALABAMA SUPPLEJACK"
"BETE","Bergia texana (Hook.) Seub. ex Walp.","TEXAS BERGIA"
"BETUL","Betula L.","birch"
"BIAM2","Bifora americana Benth. & Hook. f. ex S. Watson","PRAIRIE BISHOP"
"BIBI7","Bidens bipinnata L.","Spanish needles"
"BICA","Bignonia capreolata L.","crossvine"
"BIDEN","Bidens L.","beggarticks"
"BIFOR","Bifora Hoffm.","bishop"
"BLCI","Blephilia ciliata (L.) Benth.","downy pagoda-plant"
"BLEPH5","Blephilia Raf.","pagoda-plant"
"BOAS","Boltonia asteroides (L.) L'Hér.","white doll's daisy"
"BOBA2","Bouteloua barbata Lag.","SIXWEEKS GRAMA"
"BOBA3","Bothriochloa barbinodis (Lag.) Herter","CANE BLUESTEM"
"BOBI","Botrychium biternatum (Sav.) Underw.","sparselobe grapefern"
"BOBL","Bothriochloa bladhii (Retz.) S.T. Blake","Caucasian bluestem"
"BOCU","Bouteloua curtipendula (Michx.) Torr.","SIDEOATS GRAMA"
"BOCY","Boehmeria cylindrica (L.) Sw.","smallspike false nettle"
"BODA2","Bouteloua dactyloides (Nutt.) J.T. Columbus","BUFFALOGRASS"
"BODI","Boltonia diffusa Elliott","smallhead doll's daisy"
"BODI2","Botrychium dissectum Spreng.","cutleaf grapefern"
"BOEHM","Boehmeria Jacq.","false nettle"
"BOER","Boerhavia erecta L.","ERECT SPIDERLING"
"BOER4","Bouteloua eriopoda (Torr.) Torr.","black grama"
"BOERH2","Boerhavia L.","spiderling"
"BOFL3","Bolboschoenus fluviatilis (Torr.) Soják","RIVER BULRUSH"
"BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","BLUE GRAMA"
"BOHI2","Bouteloua hirsuta Lag.","HAIRY GRAMA"
"BOHIP","Bouteloua hirsuta Lag. var. pectinata (Featherly) Cory","tall grama"
"BOIN3","Bowlesia incana Ruiz & Pav.","hoary bowlesia"
"BOIS","Bothriochloa ischaemum (L.) Keng","old world bluestem"
"BOISS","Bothriochloa ischaemum (L.) Keng var. songarica (Rupr. ex Fisch. & C.A. Mey.) Celarier & Harlan","yellow bluestem"
"BOLA2","Bothriochloa laguroides (DC.) Herter","silver beardgrass"
"BOLTO","Boltonia L'Hér.","doll's daisy"
"BOLU2","Botrychium lunarioides (Michx.) Sw.","winter grapefern"
"BOMA7","Bolboschoenus maritimus (L.) Palla","cosmopolitan bulrush"
"BORI","Bouteloua rigidiseta (Steud.) Hitchc.","Texas grama"
"BOTHR","Bothriochloa Kuntze","beardgrass"
"BOTRY","Botrychium Sw.","grapefern"
"BOUTE","Bouteloua Lag.","grama"
"BOVI","Botrychium virginianum (L.) Sw.","RATTLESNAKE FERN"
"BRACH2","Brachyelytrum P. Beauv.","shorthusk"
"BRAR5","Bromus arvensis L.","field brome"
"BRAR5","Bromus arvensis L.","JAPANESE BROME"
"BRASS2","Brassica L.","mustard"
"BRBR2","Brickellia brachyphylla (A. Gray) A. Gray","plumed brickellbush"
"BRCA3","Brickellia californica (Torr. & A. Gray) A. Gray","CALIFORNIA BRICKELLBUSH"
"BRCA6","Bromus catharticus Vahl","RESCUEGRASS"
"BRDI3","Bromus diandrus Roth","RIPGUT BROME"
"BRER2","Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.","BEARDED SHORTHUSK"
"BREU","Brickellia eupatorioides (L.) Shinners","FALSE BONESET"
"BRHO2","Bromus hordeaceus L.","SOFT BROME"
"BRICK","Brickellia Elliott","brickellbush"
"BRIN2","Bromus inermis Leyss.","SMOOTH BROME"
"BRIZA","Briza L.","quakinggrass"
"BRJU","Brassica juncea (L.) Czern.","India mustard"
"BRLA6","Bromus lanatipes (Shear) Rydb.","woolly brome"
"BRMI2","Briza minor L.","LITTLE QUAKINGGRASS"
"BRNA","Brassica napus L.","RAPE"
"BRNI","Brassica nigra (L.) W.D.J. Koch","BLACK MUSTARD"
"BRNO","Bromus nottowayanus Fernald","Nottoway Valley brome"
"BROMU","Bromus L.","brome"
"BROV4","Brunnichia ovata (Walter) Shinners","American buckwheat vine"
"BRPA4","Broussonetia papyrifera (L.) L'Hér. ex Vent.","PAPER MULBERRY"
"BRPU6","Bromus pubescens Muhl. ex Willd.","HAIRY WOODLAND BROME"
"BRRA","Brassica rapa L.","field mustard"
"BRRA2","Bromus racemosus L.","BALD BROME"
"BRRA2","Bromus racemosus L.","meadow brome"
"BRSC","Brasenia schreberi J.F. Gmel.","watershield"
"BRSE","Bromus secalinus L.","rye brome"
"BRST2","Bromus sterilis L.","poverty brome"
"BRTE","Bromus tectorum L.","cheatgrass"
"BRUNN","Brunnichia Banks ex Gaertn.","BUCKWHEAT VINE"
"BUAM","Buchnera americana L.","American bluehearts"
"BUAR3","Buglossoides arvensis (L.) I.M. Johnst.","corn gromwell"
"BUCA2","Bulbostylis capillaris (L.) Kunth ex C.B. Clarke","densetuft hairsedge"
"BUCA3","Burmannia capitata (J.F. Gmel.) Mart.","southern bluethread"
"BUCHN","Buchnera L.","bluehearts"
"BUCI","Bulbostylis ciliatifolia (Elliott) Fernald","capillary hairsedge"
"BULBO","Bulbostylis Kunth","hairsedge"
"BURMA","Burmannia L.","bluethread"
"CAAL","Callirhoe alcaeoides (Michx.) A. Gray","light poppymallow"
"CAAM18","Campanulastrum americanum (L.) Small","AMERICAN BELLFLOWER"
"CAAM2","Callicarpa americana L.","AMERICAN BEAUTYBERRY"
"CAAN11","Cardamine angustata O.E. Schulz","slender toothwort"
"CAAN2","Camassia angusta (Engelm. & A. Gray) Blank.","prairie camas"
"CAAQ2","Carya aquatica (Michx. f.) Nutt.","WATER HICKORY"
"CAAR12","Calamovilfa arcuata K.E. Rogers","Cumberland sandreed"
"CABI8","Catalpa bignonioides Walter","SOUTHERN CATALPA"
"CABOM","Cabomba Aubl.","fanwort"
"CABU2","Capsella bursa-pastoris (L.) Medik.","shepherd's purse"
"CABU3","Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb.","bulbous bittercress"
"CABU8","Callirhoe bushii Fernald","Bush's poppymallow"
"CACA","Cabomba caroliniana A. Gray","Carolina fanwort"
"CACA18","Carpinus caroliniana Walter","AMERICAN HORNBEAM"
