"Symbol","Scientific Name with Author","GSAT Common Name"
"LOMA3","Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose","largefruit biscuitroot"
"LOMA6","Lonicera maackii (Rupr.) Herder","Amur honeysuckle"
"LOMAT","Lomatium Raf.","BISCUITROOT"
"LOMI","Lotus micranthus Benth.","desert deervetch"
"LOMO","Lomatium mohavense (J.M. Coult. & Rose) J.M. Coult. & Rose","Mojave biscuitroot"
"LONE","Lomatium nevadense (S. Watson) J.M. Coult. & Rose","Nevada biscuitroot"
"LONE4","Lotus nevadensis (S. Watson) Greene","Nevada trefoil"
"LONEN","Lomatium nevadense (S. Watson) J.M. Coult. & Rose var. nevadense","Nevada biscuitroot"
"LONEN2","Lotus nevadensis (S. Watson) Greene var. nevadensis","Nevada trefoil"
"LONEP","Lomatium nevadense (S. Watson) J.M. Coult. & Rose var. parishii (J.M. Coult. & Rose) Jeps.","Parish's biscuitroot"
"LONEP","Lomatium nevadense (S. Watson) J.M. Coult. & Rose var. parishii (J.M. Coult. & Rose) Jeps.","Nevada biscuitroot"
"LONIC","Lonicera L.","honeysuckle"
"LONU2","Lomatium nudicaule (Pursh) J.M. Coult. & Rose","barestem biscuitroot"
"LONU3","Lomatium nuttallii (A. Gray) J.F. Macbr.","Nuttall's biscuitroot"
"LOOB2","Lotus oblongifolius (Benth.) Greene","narrowleaf trefoil"
"LOOBO2","Lotus oblongifolius (Benth.) Greene var. oblongifolius","streambank trefoil"
"LOPA","Lomatium parryi (S. Watson) J.F. Macbr.","Parry's biscuitroot"
"LOPE","Lolium perenne L.","PERENNIAL RYEGRASS"
"LOPEM2","Lolium perenne L. ssp. multiflorum (Lam.) Husnot","ITALIAN RYEGRASS"
"LOPEP","Lolium perenne L. ssp. perenne","PERENNIAL RYEGRASS"
"LOPL2","Lotus plebeius (Brandegee) Barneby","longbrack trefoil"
"LORA","Lomatium ravenii Mathias & Constance","Raven's biscuitroot"
"LORI3","Lotus rigidus (Benth.) Greene","shrubby deervetch"
"LOSA","Lotus salsuginosus Greene","humble trefoil"
"LOSAB","Lotus salsuginosus Greene var. brevivexillus Ottley","coastal trefoil"
"LOSC3","Lomatium scabrum (J.M. Coult. & Rose) Mathias","rough biscuitroot"
"LOSC6","Loeseliastrum schottii (Torr.) Timbrook","Schott's langloisia"
"LOSC6","Loeseliastrum schottii (Torr.) Timbrook","Schott's calico"
"LOSCS","Lomatium scabrum (J.M. Coult. & Rose) Mathias var. scabrum","rough biscuitroot"
"LOSI2","Lomatium simplex (Nutt.) J.F. Macbr.","Great Basin biscuitroot"
"LOSIS","Lomatium simplex (Nutt.) J.F. Macbr. var. simplex","Great Basin biscuitroot"
"LOSQ","Loeflingia squarrosa Nutt.","California loeflingia"
"LOSQS","Loeflingia squarrosa Nutt. ssp. squarrosa","spreading pygmyleaf"
"LOST4","Lotus strigosus (Nutt.) Greene","Bishop's lotus"
"LOSTS2","Lotus strigosus (Nutt.) Greene var. strigosus","strigose deervetch"
"LOSTT","Lotus strigosus (Nutt.) Greene var. tomentellus (Greene) Isely","desert bird'sfoot trefoil"
"LOSTT","Lotus strigosus (Nutt.) Greene var. tomentellus (Greene) Isely","arid bird'sfoot trefoil"
"LOSTT","Lotus strigosus (Nutt.) Greene var. tomentellus (Greene) Isely","Green's desert deervetch"
"LOTA","Lonicera tatarica L.","TATARIAN HONEYSUCKLE"
"LOTE4","Lotus tenuis Waldst. & Kit. ex Willd.","narrowleaf bird'sfoot trefoil"
"LOTE4","Lotus tenuis Waldst. & Kit. ex Willd.","narrowleaf bird'sfoot trefoil"
"LOTR2","Lomatium triternatum (Pursh) J.M. Coult. & Rose","nineleaf biscuitroot"
"LOTRM","Lomatium triternatum (Pursh) J.M. Coult. & Rose var. macrocarpum (J.M. Coult. & Rose) Mathias","nineleaf biscuitroot"
"LOTRT","Lomatium triternatum (Pursh) J.M. Coult. & Rose var. triternatum","nineleaf biscuitroot"
"LOTUS","Lotus L.","deervetch"
"LOUN","Lotus unifoliolatus (Hook.) Benth.","American bird'sfoot trefoil"
"LOUNU","Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus","Spanish clover"
"LOUT3","Lotus utahensis Ottley","Utah bird'sfoot trefoil"
"LOVA","Lomatium vaginatum J.M. Coult. & Rose","sheathed biscuitroot"
"LOWR","Lotus wrightii (A. Gray) Greene","Wright's deervetch"
"LUAL5","Lupinus ×alpestris A. Nelson (pro sp.) [argenteus × caudatus]","mountain lupine"
"LUAN2","Lupinus andersonii S. Watson","Anderson's lupine"
"LUAR3","Lupinus argenteus Pursh","Silvery lupine"
"LUAR4","Lupinus arizonicus (S. Watson) S. Watson","Arizona lupine"
"LUAR6","Lupinus arbustus Douglas ex Lindl.","spurred lupine"
"LUAR7","Lupinus aridus Douglas","arid lupine"
"LUARA11","Lupinus argenteus Pursh ssp. argenteus var. argenteus","Silvery lupine"
"LUARA3","Lupinus arbustus Douglas ex Lindl. ssp. arbustus","longspur lupine"
"LUARA5","Lupinus argenteus Pursh ssp. argenteus","Silvery lupine"
"LUARA6","Lupinus aridus Douglas ssp. aridus","arid lupine"
"LUARC","Lupinus arbustus Douglas ex Lindl. ssp. calcaratus (Kellogg) D. Dunn","quakerbonnet lupine"
"LUARL5","Lupinus argenteus Pursh ssp. argenteus var. laxiflorus (Douglas ex Lindl.) Dorn","spur lupine"
"LUARM4","Lupinus arbustus Douglas ex Lindl. ssp. arbustus var. montanus (Howell) D. Dunn","longspur lupine"
"LUARP","Lupinus arbustus Douglas ex Lindl. ssp. pseudoparviflorus (Rydb.) D. Dunn","false lupine"
"LUARR","Lupinus argenteus Pursh ssp. rubricaulis (Greene) Hess & D. Dunn","Silvery lupine"
"LUARS","Lupinus arbustus Douglas ex Lindl. ssp. silvicola (A. Heller) D. Dunn","longspur lupine"
"LUBR2","Lupinus brevicaulis S. Watson","shortstem lupine"
"LUBR3","Lupinus breweri A. Gray","Brewer's lupine"
"LUBRB2","Lupinus breweri A. Gray var. breweri","Brewer's lupine"
"LUBRG","Lupinus breweri A. Gray var. grandiflorus C.P. Sm.","matted lupine"
"LUBU2","Lupinus burkei S. Watson","largeleaf lupine"
"LUBUB","Lupinus burkei S. Watson ssp. burkei","Burke's lupine"
"LUCA","Lupinus caudatus Kellogg","tailcup lupine"
"LUCA3","Lupinus caespitosus Nutt.","dwarf lupine"
"LUCAC3","Lupinus caudatus Kellogg ssp. caudatus","tailcup lupine"
"LUCAM","Lupinus caudatus Kellogg ssp. montigenus (A. Heller) Hess & D. Dunn","Kellogg's spurred lupine"
"LUCAU","Lupinus caespitosus Nutt. var. utahensis (S. Watson) Cox","Utah lupine"
"LUCO","Lupinus concinnus J. Agardh","elegant lupine"
"LUCO2","Lupinus confertus Kellogg","prairie lupine"
"LUCO6","Luzula comosa E. Mey.","common woodrush"
"LUCO8","Luzula congesta (Thuill.) Lej.","heath woodrush"
"LUCOO2","Lupinus concinnus J. Agardh ssp. orcuttii (S. Watson) D. Dunn","Orcutt's lupine"
"LUDI","Luzula divaricata S. Watson","forked woodrush"
"LUDWI","Ludwigia L.","seedbox"
"LUEX","Lupinus excubitus M.E. Jones","bush lupine"
"LUEXE","Lupinus excubitus M.E. Jones var. excubitus","interior bush lupine"
"LUFL","Lupinus flavoculatus A. Heller","yelloweye lupine"
"LUFU","Lupinus fulcratus Greene","greenstipule lupine"
"LUGR2","Lupinus grayi (S. Watson) S. Watson","Gray's lupine"
"LUHO","Lupinus holmgrenianus C.P. Sm.","Holmgren's lupine"
"LUHO2","Lupinus holosericeus Nutt.","Nuttall's lupine"
"LUIN","Lupinus ×inyoensis A. Heller (pro sp.) [caudatus × palmeri]","Inyo lupine"
"LUKI","Lupinus kingii S. Watson","King's lupine"
"LUKIK","Lupinus kingii S. Watson var. kingii","King's lupine"
"LULA4","Lupinus latifolius Lindl. ex J. Agardh","broadleaf lupine"
"LULAL2","Lupinus latifolius Lindl. ex J. Agardh ssp. longipes (Greene) Kenney & D. Dunn","broadleaf lupine"
"LULE3","Lupinus leucophyllus Douglas ex Lindl.","whiteleaf lupine"
"LULEE","Lupinus leucophyllus Douglas ex Lindl. ssp. erectus (L.F. Hend.) Harmon","velvet lupine"
"LULEL4","Lupinus leucophyllus Douglas ex Lindl. ssp. leucophyllus","velvet lupine"
"LULY","Lupinus lyallii A. Gray","Lyall's lupine"
"LULYD2","Lupinus lyallii A. Gray ssp. lyallii var. danaus (A. Gray) S. Watson","Lyall's lupine"
"LULYL","Lupinus lyallii A. Gray ssp. lyallii","Lyall's lupine"
"LULYL2","Lupinus lyallii A. Gray ssp. lyallii var. lyallii","Lyall's lupine"
"LULYS","Lupinus lyallii A. Gray ssp. subpandens C.P. Sm. ex D. Dunn","dwarf mountain lupine"
"LULYW","Lupinus lyallii A. Gray ssp. washoensis (A. Heller) Cox","Washoe lupine"
"LUMA2","Lupinus malacophyllus Greene","softleaf lupine"
"LUME","Lupinus meionanthus A. Gray","Tahoe lupine"
"LUMU2","Luzula multiflora (Ehrh.) Lej.","common woodrush"
"LUMUF","Luzula multiflora (Ehrh.) Lej. ssp. frigida (Buchenau) Krecz.","common woodrush"
"LUNA3","Lupinus nanus Douglas ex Benth.","annual lupine"
"LUNAM","Lupinus nanus Douglas ex Benth. ssp. menkerae (C.P. Sm.) D. Dunn","Menker's lupine"
"LUNE","Lupinus nevadensis A. Heller","Nevada lupine"
"LUOB","Lupinus obtusilobus A. Heller","ornate lupine"
"LUOD","Lupinus odoratus A. Heller","Mojave royal lupine"
"LUODO","Lupinus odoratus A. Heller var. odoratus","Mojave royal lupine"
"LUPA3","Lupinus palmeri S. Watson","Palmer's lupine"
"LUPA4","Luzula parviflora (Ehrh.) Desv.","smallflower woodrush"
"LUPI2","Luzula piperi (Coville) M.E. Jones","Piper's woodrush"
"LUPIN","Lupinus L.","lupine"
"LUPO2","Lupinus polyphyllus Lindl.","marsh lupine"
"LUPOS","Lupinus polyphyllus Lindl. ssp. superbus (A. Heller) Munz","bigleaf lupine"
"LUPR2","Lupinus prunophilus M.E. Jones","Robinson's lupine"
"LUPU","Lupinus pusillus Pursh","rusty lupine"
"LUPUI2","Lupinus pusillus Pursh ssp. intermontanus (A. Heller) D. Dunn","Intermountain lupine"
"LUPUR","Lupinus pusillus Pursh ssp. rubens (Rydb.) D. Dunn","rusty lupine"
"LURE2","Ludwigia repens J.R. Forst.","creeping waterpurslane"
"LUSA2","Lupinus saxosus Howell","stone lupine"
"LUSAS","Lupinus saxosus Howell var. saxosus","stonyground lupine"
"LUSE2","Lupinus sellulus Kellogg","Sierra lupine"
"LUSE4","Lupinus sericeus Pursh","silky lupine"
"LUSEA2","Lupinus sellulus Kellogg ssp. sellulus var. artulus (Jeps.) Eastw.","Donner Lake lupine"
"LUSEL2","Lupinus sellulus Kellogg ssp. sellulus var. lobbii (A. Gray ex S. Watson) Cox","Lobb's lupine"
"LUSES","Lupinus sellulus Kellogg ssp. sellulus","Donner Lake lupine"
"LUSES2","Lupinus sericeus Pursh ssp. sericeus","silky lupine"
"LUSES3","Lupinus sellulus Kellogg ssp. sellulus var. sellulus","Donner Lake lupine"
"LUSES4","Lupinus sericeus Pursh ssp. sericeus var. sericeus","silky lupine"
"LUSEU","Lupinus sellulus Kellogg ssp. ursinus (Eastw.) Munz","Donner Lake lupine"
"LUSH","Lupinus shockleyi S. Watson","desert lupine"
"LUSP2","Lupinus sparsiflorus Benth.","Mojave lupine"
"LUSP4","Luzula spicata (L.) DC.","spiked woodrush"
"LUSPM","Lupinus sparsiflorus Benth. ssp. mohavensis Dziekanowski & D. Dunn","Mojave lupine"
"LUSU7","Luzula subcongesta (S. Watson) Jeps.","Donner woodrush"
"LUUN","Lupinus uncialis S. Watson","Lilliput lupine"
"LUVA2","Lupinus vallicola A. Heller","Douglas' annual lupine"
"LUVAV","Lupinus vallicola A. Heller ssp. vallicola","open lupine"
"LUVO2","Lupinus volutans Greene","pinyon lupine"
"LUZUL","Luzula DC.","woodrush"
"LYAM","Lycopus americanus Muhl. ex W.P.C. Barton","AMERICAN BUGLEWEED"
"LYAM3","Lysichiton americanus Hultén & H. St. John","yellow skunkcabbage"
"LYAN","Lycium andersonii A. Gray","Anderson's wolfberry"
"LYANA4","Lycium andersonii A. Gray var. andersonii","Anderson's wolfberry"
"LYAS","Lycopus asper Greene","rough bugleweed"
"LYBA4","Lycium barbarum L.","common matrimonyvine"
"LYBR","Lycium brevipes Benth.","Baja wolfberry"
"LYCA4","Lythrum californicum Torr. & A. Gray","California loosestrife"
"LYCIU","Lycium L.","wolfberry"
"LYCO2","Lycium cooperi A. Gray","Cooper's wolfberry"
"LYCOP2","Lycopodium L.","clubmoss"
"LYCOP4","Lycopus L.","waterhorehound"
"LYDI4","Lygodesmia dianthopsis (Eaton ex King) S. Tomb","Antelope Island skeletonweed"
"LYGOD","Lygodesmia D. Don","skeletonweed"
"LYGR","Lygodesmia grandiflora (Nutt.) Torr. & A. Gray","largeflower skeletonweed"
"LYJU","Lygodesmia juncea (Pursh) D. Don ex Hook.","rush skeletonweed"
"LYPA","Lycium pallidum Miers","PALE WOLFBERRY"
"LYPA2","Lycium parishii A. Gray","Parish's wolfberry"
"LYPAO","Lycium pallidum Miers var. oligospermum C.L. Hitchc.","rabbitthorn"
"LYPAP","Lycium pallidum Miers var. pallidum","PALE WOLFBERRY"
"LYPH","Lycurus phleoides Kunth","WOLFTAIL"
"LYSA2","Lythrum salicaria L.","PURPLE LOOSESTRIFE"
"LYSH","Lycium shockleyi A. Gray","Shockley's wolfberry"
"LYTH2","Lysimachia thyrsiflora L.","water loosestrife"
"LYTHR","Lythrum L.","lythrum"
"LYTO","Lycium torreyi A. Gray","Torrey's wolfberry"
"MAAF","Malcolmia africana (L.) W.T. Aiton","African malcomia"
"MAAN9","Maurandella antirrhiniflora (Humb. & Bonpl. ex Willd.) Rothm.","roving sailor"
"MAAQ2","Mahonia aquifolium (Pursh) Nutt.","tall Oregon grape"
"MAAR5","Machaeranthera arida B.L. Turner & Horne","arid machaeranthera"
"MABA","Malus baccata (L.) Borkh.","Siberian crabapple"
"MABI","Machaeranthera bigelovii (A. Gray) Greene","Bigelow's machaeranthera"
"MABIB","Machaeranthera bigelovii (A. Gray) Greene var. bigelovii","Bigelow's tansyaster"
"MACA17","Machaeranthera carnosa (A. Gray) G.L. Nesom","shrubby alkali aster"
"MACA2","Machaeranthera canescens (Pursh) A. Gray","hoary machaeranthera"
"MACA6","Malacothrix californica DC.","California desert dandelion"
"MACAC","Machaeranthera canescens (Pursh) A. Gray ssp. canescens","hoary tansyaster"
"MACAC3","Machaeranthera canescens (Pursh) A. Gray ssp. canescens var. canescens","cutleaf goldenweed"
"MACAI2","Machaeranthera canescens (Pursh) A. Gray ssp. canescens var. incana (Lindl.) A. Gray","cutleaf machaeranthera"
"MACAI3","Machaeranthera carnosa (A. Gray) G.L. Nesom var. intricata","shrubby alkali aster"
"MACAL","Machaeranthera canescens (Pursh) A. Gray ssp. canescens var. leucanthemifolia (Greene) S.L. Welsh","whiteflower machaeranthera"
"MACAS3","Machaeranthera canescens (Pursh) A. Gray ssp. canescens var. shastensis (A. Gray) B.L. Turner","Shasta machaeranthera"
"MACHA","Machaeranthera Nees","Machaeranthera"
"MACI2","Madia citriodora Greene","lemonscent madia"
"MACO13","Machaeranthera coloradoensis (A. Gray) Osterh.","Colorado aster"
"MACO3","Malacothrix coulteri Harv. & A. Gray","snakehead desert dandelion"
"MACOC","Machaeranthera coloradoensis (A. Gray) Osterh. var. coloradoensis","Colorado aster"
"MADI6","Matricaria discoidea DC.","PINEAPPLEWEED"
"MADIA","Madia Molina","tarweed"
"MAEL","Madia elegans D. Don ex Lindl.","common madia"
"MAELE","Madia elegans D. Don ex Lindl. ssp. elegans","common madia"
"MAEX","Madia exigua (Sm.) A. Gray","small tarweed"
"MAFA3","Marah fabaceus (Naud.) Naud. ex Greene","valley manroot"
"MAFAA","Marah fabaceus (Naud.) Naud. ex Greene var. agrestis (Greene) Stocking","California manroot"
"MAFL","Malacothrix floccifera (DC.) S.F. Blake","wooly desert dandelion"
"MAFR3","Mahonia fremontii (Torr.) Fedde","Fremont's barberry"
"MAGL2","Madia glomerata Hook.","mountain tarweed"
"MAGL3","Malacothrix glabrata (A. Gray ex D.C. Eaton) A. Gray","smooth desert dandelion"
"MAGR10","Machaeranthera gracilis (Nutt.) Shinners","slender goldenweed"
"MAGR2","Machaeranthera grindelioides (Nutt.) Shinners","rayless aster"
"MAGR3","Madia gracilis (Sm.) D.D. Keck","slender tarweed"
"MAGR9","Mammillaria grahamii Engelm.","Graham's nipple cactus"
"MAGR9","Mammillaria grahamii Engelm.","smallfruit fishhook cactus"
"MAGRD","Machaeranthera grindelioides (Nutt.) Shinners var. depressa (Maguire) Cronquist & D.D. Keck","rayless aster"
"MAGRG","Machaeranthera grindelioides (Nutt.) Shinners var. grindelioides","rayless aster"
"MAHA4","Mahonia haematocarpa (Wooton) Fedde","red barberry"
"MAHON","Mahonia Nutt.","Oregon grape"
"MAIAN","Maianthemum F.H. Wigg.","Solomon's-seal"
"MALAC3","Malacothrix DC.","desert dandelion"
"MALCO2","Malcolmia W.T. Aiton","malcolmia"
"MALE2","Malvella lepidota (A. Gray) Fryxell","scurfymallow"
"MALE3","Malvella leprosa (Ortega) Krapov.","alkali mallow"
"MALUS","Malus Mill.","apple"
"MALVA","Malva L.","mallow"
"MALVA2","Malvastrum A. Gray","false-mallow"
"MALVE","Malvella Jaubert & Spach","malvella"
"MAMMI","Mammillaria Haw.","fishhook cactus"
"MANE","Malva neglecta Wallr.","COMMON MALLOW"
"MAOL3","Marsilea oligospora Goodding","Pacific waterclover"
"MAPA5","Malva parviflora L.","cheeseweed"
"MAPA7","Marina parryi (Torr. & A. Gray) Barneby","Parry's indigobush"
"MAPI","Machaeranthera pinnatifida (Hook.) Shinners","pinnate machaeranthera"
"MAPIG","Machaeranthera pinnatifida (Hook.) Shinners ssp. gooddingii (A. Nelson) B.L. Turner & R.L. Hartm.","Goodding's aster"
"MAPIG2","Machaeranthera pinnatifida (Hook.) Shinners ssp. gooddingii (A. Nelson) B.L. Turner & R.L. Hartm. var. gooddingii","Goodding's aster"
"MAPIG2","Machaeranthera pinnatifida (Hook.) Shinners ssp. gooddingii (A. Nelson) B.L. Turner & R.L. Hartm. var. gooddingii","Gooding's goldenweed"
"MAPO","Maclura pomifera (Raf.) C.K. Schneid.","Osage orange"
"MAPU","Malus pumila Mill.","flowering crabapple"
"MARA7","Maianthemum racemosum (L.) Link","false Solomon's-seal"
"MARAA","Maianthemum racemosum (L.) Link ssp. amplexicaule (Nutt.) LaFrankie","western Solomon's-seal"
"MARAH","Marah Kellogg","marah"
"MARAR","Maianthemum racemosum (L.) Link ssp. racemosum","feathery false-Solomon's-seal"
"MARAR","Maianthemum racemosum (L.) Link ssp. racemosum","feathery Solomon's-seal"
"MARE11","Mahonia repens (Lindl.) G. Don","CREEPING BARBERRY"
"MARIN","Marina Liebm.","marina"
"MARRU","Marrubium L.","Marrubium"
"MARSI","Marsilea L.","pepperwort"
"MASO","Malacothrix sonchoides (Nutt.) Torr. & A. Gray","sowthistle desert dandelion"
"MAST2","Malacothrix stebbinsii W.S. Davis & P.H. Raven","Stebbins' desert dandelion"
"MAST4","Maianthemum stellatum (L.) Link","starry false-Solomon's-seal"
"MAST4","Maianthemum stellatum (L.) Link","starry Solomon's-seal"
"MATA2","Machaeranthera tanacetifolia (Kunth) Nees","TANSEYLEAF ASTER"
"MATE4","Mammillaria tetrancistra Engelm.","common fishhook cactus"
"MATO2","Malacothrix torreyi A. Gray","Torrey's desert dandelion"
"MATRI","Matricaria L.","MAYWEED"
"MAURA2","Maurandella (A. Gray) Rothm.","maurandella"
"MAVE2","Marsilea vestita Hook. & Grev.","water clover"
"MAVE2","Marsilea vestita Hook. & Grev.","hairy waterclover"
"MAVU","Marrubium vulgare L.","HOREHOUND"
"MEAF2","Mentzelia affinis Greene","hydra blazingstar"
"MEAL6","Mentzelia albicaulis (Hook.) Torr. & A. Gray","white blazingstar"
"MEAR3","Melica aristata Thurb. ex Bol.","bearded oniongrass"
"MEAR4","Mentha arvensis L.","wild mint"
"MEAR6","Mertensia arizonica Greene","aspen bluebell"
"MEBR","Mertensia brevistyla S. Watson","shortstyle bluebell"
"MEBU","Melica bulbosa Geyer ex Porter & J.M. Coult.","bulbous oniongrass"
"MECA8","Mentzelia candelariae H.J. Thomp. & Prigge","Candelaria blazingstar"
"MECI3","Mertensia ciliata (James ex Torr.) G. Don","shortstyle bluebells"
"MECIC2","Mertensia ciliata (James ex Torr.) G. Don var. ciliata","tall fringe bluebells"
"MECIS","Mertensia ciliata (James ex Torr.) G. Don var. stomatechoides (Kellogg) Jeps.","tall fringe bluebells"
"MECO2","Mentzelia congesta Nutt. ex Torr. & A. Gray","Ventana blazingstar"
"MEDE2","Mentzelia decapetala (Pursh ex Sims) Urb. & Gilg ex Gilg","tenpetal blazingstar"
"MEDI","Mentzelia dispersa S. Watson","bushy blazingstar"
"MEDIC","Medicago L.","ALFALFA"
"MEDIC2","Mentzelia dispersa S. Watson var. compacta (A. Nelson) J.F. Macbr.","Nevada blazingstar"
"MEDID","Mentzelia dispersa S. Watson var. dispersa","bushy blazingstar"
"MEDIL","Mentzelia dispersa S. Watson var. latifolia (Rydb.) J.F. Macbr.","bushy blazingstar"
"MEDIO","Mentzelia dispersa S. Watson var. obtusa Jeps.","Nevada blazingstar"
"MEFR2","Mertensia franciscana A. Heller","Franciscan bluebell"
"MEFU","Melica fugax Bol.","little oniongrass"
"MEGE","Melica geyeri Munro ex Bol.","Geyer's oniongrass"
"MEGEG","Melica geyeri Munro ex Bol. var. geyeri","Geyer's oniongrass"
"MEGR","Mentzelia gracilenta Torr. & A. Gray","grass blazingstar"
"MEIN2","Melilotus indicus (L.) All.","annual yellow sweetclover"
"MEIN2","Melilotus indicus (L.) All.","Indian sweetclover"
"MEIN5","Mentzelia involucrata S. Watson","whitebract blazingstar"
"MEINI","Mentzelia involucrata S. Watson var. involucrata","whitebract blazingstar"
"MEJO","Mentzelia jonesii (Urb. & Gilg) H.J. Thomp. & Roberts","Jones' blazingstar"
"MELA2","Mentzelia laevicaulis (Hook.) Torr. & A. Gray","blazingstar mentzelia"
"MELAL3","Mentzelia laevicaulis (Hook.) Torr. & A. Gray var. laevicaulis","smoothstem blazingstar"
"MELE3","Mentzelia leucophylla Brandegee","Ash Meadows blazingstar"
"MELIC","Melica L.","oniongrass"
"MELIL","Melilotus Mill.","sweetclover"
"MELO2","Menodora longiflora A. Gray","showy menodora"
"MELO4","Mertensia longiflora Greene","longflower bluebell"
"MELU","Medicago lupulina L.","BLACK MEDIC"
"MEMO2","Mentzelia mollis M. Peck","smooth blazingstar"
"MEMO4","Mentzelia montana (Davidson) Davidson","mountain blazingstar"
"MENI2","Mentzelia nitens Greene","shining blazingstar"
"MENIN","Mentzelia nitens Greene var. nitens","California blazingstar"
"MENOD","Menodora Bonpl.","Menodora"
"MENTH","Mentha L.","mint"
"MENTZ","Mentzelia L.","blazingstar"
"MENYA","Menyanthes L.","bogbean"
"MEOB","Mertensia oblongifolia (Nutt.) G. Don","Toiyabe bluebell"
"MEOB","Mertensia oblongifolia (Nutt.) G. Don","oblongleaf bluebells"
"MEOB3","Mentzelia obscura H.J. Thomp. & Roberts","Pacific blazingstar"
"MEOF","Melilotus officinalis (L.) Lam.","white sweetclover"
"MEOF","Melilotus officinalis (L.) Lam.","YELLOW SWEETCLOVER"
"MEOR3","Mentzelia oreophila J. Darl.","Darlington's blazingstar"
"MEOR3","Mentzelia oreophila J. Darl.","Argus blazingstar"
"MEPA5","Mentzelia packardiae Glad.","Packard's blazingstar"
"MEPI","Mentha ×piperita L. (pro sp.) [aquatica × spicata]","PEPPERMINT"
"MEPO2","Mentzelia polita A. Nelson","polished blazingstar"
"MEPO3","Medicago polymorpha L.","bur clover"
"MEPT","Mentzelia pterosperma Eastw.","wingseed blazingstar"
"MEPU3","Mentzelia pumila Nutt. ex Torr. & A. Gray","golden blazingstar"
"MEPUL","Mentzelia pumila Nutt. ex Torr. & A. Gray var. lagarosa Thorne","dwarf mentzelia"
"MEPUP","Mentzelia pumila Nutt. ex Torr. & A. Gray var. pumila","dwarf mentzelia"
"MERE","Mentzelia reflexa Coville","Panamint blazingstar"
"MERTE","Mertensia Roth","bluebells"
"MESA","Medicago sativa L.","ALFALFA"
"MESAF","Medicago sativa L. ssp. falcata (L.) Arcang.","yellow alfalfa"
"MESAS","Medicago sativa L. ssp. sativa","ALFALFA"
"MESC","Menodora scabra A. Gray","broom menodora"
"MESC","Menodora scabra A. Gray","rough menodora"
"MESP","Melica spectabilis Scribn.","purple oniongrass"
"MESP2","Menodora spinescens A. Gray","spiny menodora"
"MESP3","Mentha spicata L.","SPEARMINT"
"MEST","Melica stricta Bol.","rock oniongrass"
"MESU","Melica subulata (Griseb.) Scribn.","Alaska oniongrass"
"METO2","Mentzelia torreyi A. Gray","Torrey's blazingstar"
"METOT","Mentzelia torreyi A. Gray var. torreyi","Torrey's blazingstar"
"METR2","Mentzelia tricuspis A. Gray","desert blazingstar"
"METR3","Menyanthes trifoliata L.","buckbean"
"MEVE5","Mentzelia veatchiana Kellogg","whitestem blazingstar"
"MIACB","Mimosa aculeaticarpa Ortega var. biuncifera (Benth.) Barneby","catclaw mimosa"
"MIAL4","Mirabilis albida (Walter) Heimerl","mountain four-o'clock"
"MIAL5","Mirabilis alipes (S. Watson) Pilz","winged four-o'clock"
"MIAN4","Mimulus angustifolius (Greene) A.L. Grant","Mount Rose monkeyflower"
"MIBI6","Mimulus bigelovii (A. Gray) A. Gray","Bigelow's monkeyflower"
"MIBIB2","Mimulus bigelovii (A. Gray) A. Gray var. bigelovii","Bigelow's monkeyflower"
"MIBR5","Mimulus breweri (Greene) Coville","Brewer's monkeyflower"
"MIBR6","Mitella breweri A. Gray","Brewer's miterwort"
"MICA3","Mimulus cardinalis Douglas ex Benth.","crimson monkeyflower"
"MICO","Mimulus coccineus Congd.","Sierra monkeyflower"
"MICO7","Mirabilis coccinea (Torr.) Benth. & Hook. f.","red four-o'clock"
"MICRO6","Microseris D. Don","microseris"
"MICU2","Mimulus cusickii (Greene) Rattan","Cusick's monkeyflower"
"MIDE2","Mimulus densus A.L. Grant","yellow&purple monkeyflower"
"MIEA","Mimulus eastwoodiae Rydb.","crimson monkeyflower"
"MIFI2","Minuartia filiorum (Maguire) McNeill","threadbranch sandwort"
"MIFL2","Mimulus floribundus Lindl.","manyflowered monkeyflower"
"MIGL","Mimulus glabratus Kunth","smooth monkeyflower"
"MIGLG","Mimulus glabratus Kunth var. glabratus","roundleaf monkeyflower"
"MIGLJ","Mimulus glabratus Kunth var. jamesii (Torr. & A. Gray ex Benth.) A. Gray","James' monkeyflower"
"MIGRG4","Microsteris gracilis (Hook.) Greene var. gracilis","slender phlox"
"MIGRG4","Microsteris gracilis (Hook.) Greene var. gracilis","slender phlox"
"MIGRH","Microsteris gracilis (Hook.) Greene var. humilior (Hook.) Cronquist","dwarf phlox"
"MIGU","Mimulus guttatus DC.","seep monkeyflower"
"MIJA","Mirabilis jalapa L.","common four-o'clock"
"MILA","Microseris laciniata (Hook.) Sch. Bip.","cutleaf silverpuffs"
"MILAL","Microseris laciniata (Hook.) Sch. Bip. ssp. laciniata","cutleaf silverpuffs"
"MILAL3","Mirabilis laevis (Benth.) Curran var. laevis","California four-o'clock"
"MILAR","Mirabilis laevis (Benth.) Curran var. retrorsa (A. Heller) Jeps.","Bigelow's four o'clock"
"MILAV","Mirabilis laevis (Benth.) Curran var. villosa (Kellogg) Spellenb.","Bigelow's four-o'clock"
