"Symbol","Scientific Name with Author","GSAT Common Name"
"ADENO","Adenocaulon Hook.","trailplant"
"ADIAN","Adiantum L.","maidenhair fern"
"ADMO","Adoxa moschatellina L.","muskroot"
"ADOXA","Adoxa L.","adoxa"
"AECY","Aegilops cylindrica Host","JOINTED GOATGRASS"
"AEGIL","Aegilops L.","goatgrass"
"AEGL","Aesculus glabra Willd.","Ohio buckeye"
"AEGOP","Aegopodium L.","goutweed"
"AEPO","Aegopodium podagraria L.","bishop's goutweed"
"AESCU","Aesculus L.","buckeye"
"AGALI","Agalinis Raf.","false foxglove"
"AGAST","Agastache Clayton ex Gronov.","giant hyssop"
"AGAU2","Agoseris aurantiaca (Hook.) Greene","orange agoseris"
"AGCA5","Agrostis capillaris L.","colonial bentgrass"
"AGCR","Agropyron cristatum (L.) Gaertn.","CRESTED WHEATGRASS"
"AGDE2","Agropyron desertorum (Fisch. ex Link) Schult.","desert wheatgrass"
"AGEU","Agrimonia eupatoria L.","churchsteeples"
"AGEX","Agrostis exarata Trin.","SPIKE BENTGRASS"
"AGFO","Agastache foeniculum (Pursh) Kuntze","blue giant hyssop"
"AGFR","Agropyron fragile (Roth) P. Candargy","Siberian wheatgrass"
"AGGI","Agrostemma githago L.","common corncockle"
"AGGI2","Agrostis gigantea Roth","REDTOP"
"AGGL","Agoseris glauca (Pursh) Raf.","pale agoseris"
"AGGR2","Agrimonia gryposepala Wallr.","tall hairy agrimony"
"AGHU","Agrostis humilis Vasey","alpine bentgrass"
"AGID","Agrostis idahoensis Nash","Idaho bentgrass"
"AGLA9","Agoseris lackschewitzii Douglass M. Hend. & R. Moseley","Mill Creek agoseris"
"AGME3","Agrostis mertensii Trin.","northern bentgrass"
"AGOR","Agrostis oregonensis Vasey","Oregon bentgrass"
"AGOSE","Agoseris Raf.","agoseris"
"AGRIM","Agrimonia L.","agrimony"
"AGRO4","Agrostis rossiae Vasey","Ross' bentgrass"
"AGROP2","Agropyron Gaertn.","wheatgrass"
"AGROS","Agrostemma L.","CORNCOCKLE"
"AGROS2","Agrostis L.","bentgrass"
"AGSC5","Agrostis scabra Willd.","rough bentgrass"
"AGST","Agrimonia striata Michx.","roadside agrimony"
"AGST2","Agrostis stolonifera L.","creeping bentgrass"
"AGTE3","Agalinis tenuifolia (Vahl) Raf.","slenderleaf false foxglove"
"AGUR","Agastache urticifolia (Benth.) Kuntze","nettleleaf giant hyssop"
"AGVA","Agrostis variabilis Rydb.","mountain bentgrass"
"AICA","Aira caryophyllea L.","silver hairgrass"
"AIRA","Aira L.","hairgrass"
"ALAC4","Allium acuminatum Hook.","tapertip onion"
"ALAE","Alopecurus aequalis Sobol.","SHORTAWN FOXTAIL"
"ALAL3","Alyssum alyssoides (L.) L.","pale madwort"
"ALAR","Alopecurus arundinaceus Poir.","creeping meadow foxtail"
"ALBR","Allium brandegeei S. Watson","Brandegee's onion"
"ALBR2","Allium brevistylum S. Watson","shortstyle onion"
"ALCA4","Alopecurus carolinianus Walter","CAROLINA FOXTAIL"
"ALCE2","Allium cernuum Roth","nodding onion"
"ALCEA","Alcea L.","hollyhock"
"ALDE","Alyssum desertorum Stapf","desert madwort"
"ALETE","Aletes J.M. Coult. & Rose","Indian parsley"
"ALGE","Allium geyeri S. Watson","Geyer's onion"
"ALGE2","Alopecurus geniculatus L.","water foxtail"
"ALGR","Alisma gramineum Lej.","narrowleaf water plantain"
"ALHU","Aletes humilis J.M. Coult. & Rose","Colorado aletes"
"ALIN2","Alnus incana (L.) Moench","gray alder"
"ALISM","Alisma L.","water plantain"
"ALLE7","Aliciella leptomeria (A. Gray) J.M. Porter","sand gilia"
"ALLIU","Allium L.","onion"
"ALMA8","Alopecurus magellanicus Lam.","boreal alopecurus"
"ALMC","Aliciella mcvickerae (M.E. Jones) J.M. Porter","Mcvicker's gilia"
"ALMUT2","Almutaster Á. Löve & D. Löve","alkalai marsh aster"
"ALNUS","Alnus Mill.","alder"
"ALOPE","Alopecurus L.","foxtail"
"ALPA14","Almutaster pauciflorus (Nutt.) Á. Löve & D. Löve","alkalai marsh aster"
"ALPI2","Aliciella pinnatifida (Nutt. ex A. Gray) J.M. Porter","sticky gilia"
"ALPR3","Alopecurus pratensis L.","MEADOW FOXTAIL"
"ALRO3","Alcea rosea L.","hollyhock"
"ALSC","Allium schoenoprasum L.","wild chives"
"ALSI8","Alyssum simplex Rudolphi","alyssum"
"ALST","Allium stellatum Fraser ex Ker Gawl.","autumn onion"
"ALSU10","Aliciella subacaulis (Rydb.) J.M. Porter & L.A. Johnson","pinyon gilia"
"ALTE","Allium textile A. Nelson & J.F. Macbr.","textile onion"
"ALTR7","Alisma triviale Pursh","northern water plantain"
"ALVI5","Alnus viridis (Chaix) DC.","green alder"
"ALYSS","Alyssum L.","madwort"
"AMAC2","Ambrosia acanthicarpa Hook.","flatspine burr ragweed"
"AMAL","Amaranthus albus L.","prostrate pigweed"
"AMAL2","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.","Saskatoon serviceberry"
"AMAR","Amaranthus arenicola I.M. Johnst.","sandhill amaranth"
"AMAR2","Ambrosia artemisiifolia L.","annual ragweed"
"AMARA","Amaranthus L.","pigweed"
"AMBL","Amaranthus blitoides S. Watson","mat amaranth"
"AMBRO","Ambrosia L.","ragweed"
"AMCA","Amaranthus californicus (Moq.) S. Watson","California amaranth"
"AMCA6","Amorpha canescens Pursh","LEADPLANT"
"AMELA","Amelanchier Medik.","serviceberry"
"AMERO","Amerorchis Hultén","amerorchis"
"AMFR","Amorpha fruticosa L.","desert false indigo"
"AMLY","Amsinckia lycopsoides Lehm.","tarweed fiddleneck"
"AMMAN","Ammannia L.","redstem"
"AMME","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.","Menzies' fiddleneck"
"AMORP","Amorpha L.","FALSE INDIGO"
"AMPO2","Amaranthus powellii S. Watson","Powell's amaranth"
"AMPS","Ambrosia psilostachya DC.","Cuman ragweed"
"AMPU5","Amelanchier pumila (Torr. & A. Gray) Nutt. ex M. Roem.","dwarf serviceberry"
"AMRE","Amaranthus retroflexus L.","redroot amaranth"
"AMRO","Amerorchis rotundifolia (Banks ex Pursh) Hultén","roundleaf orchid"
"AMRO3","Ammannia robusta Heer & Regel","grand redstem"
"AMSIN","Amsinckia Lehm.","fiddleneck"
"AMTO3","Ambrosia tomentosa Nutt.","skeletonleaf burr ragweed"
"AMTR","Ambrosia trifida L.","great ragweed"
"AMUT","Amelanchier utahensis Koehne","Utah serviceberry"
"ANAGA","Anagallis L.","pimpernel"
"ANAM","Angelica ampla A. Nelson","giant angelica"
"ANAN2","Antennaria anaphaloides Rydb.","pearly pussytoes"
"ANAPH","Anaphalis DC.","pearly everlasting"
"ANAR10","Antennaria aromatica Evert","scented pussytoes"
"ANAR16","Anchusa arvensis (L.) M. Bieb.","small bugloss"
"ANAR3","Angelica arguta Nutt.","Lyall's angelica"
"ANAR4","Antennaria arcuata Cronquist","box pussytoes"
"ANAR6","Anthemis arvensis L.","corn chamomile"
"ANBR4","Androstephium breviflorum S. Watson","pink funnel lily"
"ANCA14","Anthriscus caucalis M. Bieb.","burr chervil"
"ANCA8","Anemone canadensis L.","Canadian anemone"
"ANCH","Androsace chamaejasme Wulfen","sweetflower rockjasmine"
"ANCHU","Anchusa L.","bugloss"
"ANCO","Antennaria corymbosa E.E. Nelson","flat-top pussytoes"
"ANCO2","Anthemis cotula L.","stinking chamomile"
"ANCY","Anemone cylindrica A. Gray","CANDLE ANEMONE"
"ANDI2","Antennaria dimorpha (Nutt.) Torr. & A. Gray","low pussytoes"
"ANDRO2","Andropogon L.","bluestem"
"ANDRO3","Androsace L.","rockjasmine"
"ANDRO4","Androstephium Torr.","funnel lily"
"ANEMO","Anemone L.","Anemone"
"ANFI","Androsace filiformis Retz.","filiform rockjasmine"
"ANGE","Andropogon gerardii Vitman","BIG BLUESTEM"
"ANGEL","Angelica L.","Angelica"
"ANGR3","Angelica grayi (J.M. Coult. & Rose) J.M. Coult. & Rose","Gray's angelica"
"ANHA","Andropogon hallii Hack.","SAND BLUESTEM"
"ANHO","Antennaria howellii Greene","Howell's pussytoes"
"ANLA3","Antennaria lanata (Hook.) Greene","woolly pussytoes"
"ANLI4","Anemone lithophila Rydb.","Little Belt Mountain thimbleweed"
"ANLU2","Antennaria luzuloides Torr. & A. Gray","rush pussytoes"
"ANMA","Anaphalis margaritacea (L.) Benth.","western pearly everlasting"
"ANME2","Antennaria media Greene","ROCKY MOUNTAIN PUSSYTOES"
"ANMI3","Antennaria microphylla Rydb.","littleleaf pussytoes"
"ANMI4","Anagallis minima (L.) Krause","CHAFFWEED"
"ANMO9","Antennaria monocephala DC.","pygmy pussytoes"
"ANMU","Anemone multifida Poir.","Pacific anemone"
"ANMUS","Anemone multifida Poir. var. saxicola B. Boivin","red windflower"
"ANMUT","Anemone multifida Poir. var. tetonensis (Porter ex Britton) C.L. Hitchc.","Teton anemone"
"ANNA","Anemone narcissiflora L.","narcissus anemone"
"ANNE","Antennaria neglecta Greene","FIELD PUSSYTOES"
"ANOC2","Androsace occidentalis Pursh","WESTERN ROCKJASMINE"
"ANPA","Anemone parviflora Michx.","smallflowered anemone"
"ANPA4","Antennaria parvifolia Nutt.","small-leaf pussytoes"
"ANPI2","Angelica pinnata S. Watson","small-leaf angelica"
"ANPU","Antennaria pulcherrima (Hook.) Greene","showy pussytoes"
"ANRA","Antennaria racemosa Hook.","raceme pussytoes"
"ANRO","Angelica roseana L.F. Hend.","rose angelica"
"ANRO2","Antennaria rosea Greene","rosy pussytoes"
"ANSE4","Androsace septentrionalis L.","pygmyflower rockjasmine"
"ANTEN","Antennaria Gaertn.","pussytoes"
"ANTHE","Anthemis L.","chamomile"
"ANTHE4","Antheropeas Rydb.","easterbonnets"
"ANTHR","Anthriscus Pers.","CHERVIL"
"ANTI","Anthemis tinctoria L.","golden chamomile"
"ANUM","Antennaria umbrinella Rydb.","umber pussytoes"
"ANVI3","Anemone virginiana L.","TALL THIMBLEWEED"
"ANWA","Antheropeas wallacei (A. Gray) Rydb.","woolly easterbonnets"
"APAN2","Apocynum androsaemifolium L.","SPREADING DOGBANE"
"APCA","Apocynum cannabinum L.","Indianhemp"
"APERA","Apera Adans.","silkybent"
"APIN","Apera interrupta (L.) P. Beauv.","dense silkybent"
"APOCY","Apocynum L.","Dogbane"
"AQBR","Aquilegia brevistyla Hook.","smallflower columbine"
"AQCO","Aquilegia coerulea James","Colorado blue columbine"
"AQFL","Aquilegia flavescens S. Watson","yellow columbine"
"AQFO","Aquilegia formosa Fisch. ex DC.","western columbine"
"AQJO","Aquilegia jonesii Parry","Jones' columbine"
"AQLA","Aquilegia laramiensis A. Nelson","Laramie columbine"
"AQUIL","Aquilegia L.","columbine"
"ARAB2","Artemisia abrotanum L.","southernwood"
"ARAB3","Artemisia absinthium L.","absinthium"
"ARABI","Arabidopsis Heynh.","rockcress"
"ARABI2","Arabis L.","rockcress"
"ARAC2","Arenaria aculeata S. Watson","prickly sandwort"
"ARALI","Aralia L.","spikenard"
"ARAM","Arceuthobium americanum Nutt. ex Engelm.","American dwarf mistletoe"
"ARAM2","Arnica amplexicaulis Nutt.","clasping arnica"
"ARAN3","Artemisia annua L.","SWEET SAGEWORT"
"ARAN5","Arnica angustifolia Vahl","narrowleaf arnica"
"ARAN7","Argentina anserina (L.) Rydb.","silverweed cinquefoil"
"ARAR8","Artemisia arbuscula Nutt.","little sagebrush"
"ARAR9","Artemisia arctica Less.","boreal sagebrush"
"ARARA","Artemisia arbuscula Nutt. ssp. arbuscula","little sagebrush"
"ARARA2","Artemisia arctica Less. ssp. arctica","boreal sagebrush"
"ARARL","Artemisia arbuscula Nutt. ssp. longiloba (Osterh.) L.M. Shultz","little sagebrush"
"ARART","Artemisia arbuscula Nutt. ssp. thermopola Beetle","little sagebrush"
"ARBI2","Artemisia biennis Willd.","biennial wormwood"
"ARBIB","Artemisia biennis Willd. var. biennis","biennial wormwood"
"ARBID","Artemisia biennis Willd. var. diffusa Dorn","biennial wormwood"
"ARCA12","Artemisia campestris L.","field sagewort"
"ARCA13","Artemisia cana Pursh","silver sagebrush"
"ARCEU","Arceuthobium M. Bieb.","dwarf mistletoe"
"ARCH3","Arnica chamissonis Less.","Chamisso arnica"
"ARCO","Arabis cobrensis M.E. Jones","sagebrush rockcress"
"ARCO5","Arenaria congesta Nutt.","ballhead sandwort"
"ARCO9","Arnica cordifolia Hook.","heartleaf arnica"
"ARCOL","Arenaria congesta Nutt. var. lithophila (Rydb.) Maguire","loosehead sandwort"
"ARCR5","Arabis crandallii B.L. Rob.","Crandall's rockcress"
"ARCTI","Arctium L.","burrdock"
"ARCTO3","Arctostaphylos Adans.","manzanita"
"ARCY2","Arceuthobium cyanocarpum (A. Nelson ex Rydb.) A. Nelson","limber pine dwarf mistletoe"
"ARDE","Arabis demissa Greene","nodding rockcress"
"ARDI2","Arabis ×divaricarpa A. Nelson (pro sp.) [drummondii × holboellii]","spreadingpod rockcress"
"ARDI4","Aristida dichotoma Michx.","CHURCHMOUSE THREEAWN"
"ARDIC","Aristida dichotoma Michx. var. curtissii A. Gray","Curtis' threeawn"
"ARDO","Arceuthobium douglasii Engelm.","Douglas fir dwarf mistletoe"
"ARDR","Arabis drummondii A. Gray","Drummond's rockcress"
"ARDR4","Artemisia dracunculus L.","tarragon"
"AREA","Arenaria eastwoodiae Rydb.","Eastwood's sandwort"
"AREL3","Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl","TALL OATGRASS"
"ARENA","Arenaria L.","sandwort"
"ARFE","Arabis fendleri (S. Watson) Greene","Fendler's rockcress"
"ARFE3","Arenaria fendleri A. Gray","Fendler's sandwort"
"ARFE5","Argyrochosma fendleri (Kunze) Windham","Fendler's false cloak fern"
"ARFES","Arabis fendleri (S. Watson) Greene var. spatifolia (Rydb.) Rollins","spoonleaf rockcress"
"ARFI2","Artemisia filifolia Torr.","SAND SAGEBRUSH"
"ARFR4","Artemisia frigida Willd.","prairie sagewort"
"ARFR5","Arabis fructicosa A. Nelson","fruit rockcress"
"ARFU3","Arnica fulgens Pursh","foothill arnica"
"ARGEM","Argemone L.","pricklypoppy"
"ARGEN","Argentina Hill","silverweed"
"ARGL","Arabis glabra (L.) Bernh.","tower rockcress"
"ARGR14","Arnica gracilis Rydb.","smallhead arnica"
"ARGYR5","Argyrochosma (Sm.) Windham","false cloak fern"
"ARHI","Arabis hirsuta (L.) Scop.","HAIRY ROCKCRESS"
"ARHI4","Argemone hispida A. Gray","rough pricklypoppy"
"ARHIG","Arabis hirsuta (L.) Scop. var. glabrata Torr. & A. Gray","mountain rockcress"
"ARHIP","Arabis hirsuta (L.) Scop. var. pycnocarpa (M. Hopkins) Rollins","creamflower rockcress"
"ARHO2","Arabis holboellii Hornem.","Holboell's rockcress"
"ARHO4","Arenaria hookeri Nutt.","Hooker's sandwort"
"ARHOC","Arabis holboellii Hornem. var. collinsii (Fernald) Rollins","Collins' rockcress"
"ARHOD","Arenaria hookeri Nutt. ssp. desertorum (Maguire) W.A. Weber","Hooker's desert sandwort"
"ARHOP2","Arabis holboellii Hornem. var. pendulocarpa (A. Nelson) Rollins","dropseed rockcress"
"ARHOR","Arabis holboellii Hornem. var. retrofracta (Graham) Rydb.","second rockcress"
"ARIST","Aristida L.","threeawn"
"ARKI","Arenaria kingii (S. Watson) M.E. Jones","King's sandwort"
"ARKIU2","Arenaria kingii (S. Watson) M.E. Jones ssp. uintahensis (A. Nelson) Maguire","Uinta sandwort"
"ARLA3","Arctium lappa L.","greater burrdock"
"ARLA8","Arnica latifolia Bong.","broadleaf arnica"
"ARLE","Arabis lemmonii S. Watson","Lemmon's rockcress"
"ARLED2","Arabis lemmonii S. Watson var. drepanoloba (Greene) Rollins","soldier rockcress"
"ARLEL","Arabis lemmonii S. Watson var. lemmonii","Lemmon's rockcress"
"ARLI","Arabis lignifera A. Nelson","desert rockcress"
"ARLO5","Arnica lonchophylla Greene","longleaf arnica"
"ARLO6","Arnica longifolia D.C. Eaton","spearleaf arnica"
"ARLO7","Artemisia longifolia Nutt.","longleaf wormwood"
"ARLOA","Arnica lonchophylla Greene ssp. arnoglossa (Greene) Maguire","seep arnica"
"ARLU","Artemisia ludoviciana Nutt.","white sagebrush"
"ARLY","Arabis lyallii S. Watson","Lyall's rockcress"
"ARMI","Arabis microphylla Nutt.","littleleaf rockcress"
"ARMI2","Arctium minus Bernh.","lesser burrdock"
"ARMI4","Artemisia michauxiana Besser","Michaux's wormwood"
"ARMO4","Arnica mollis Hook.","hairy arnica"
"ARMOR","Armoracia G. Gaertn., B. Mey. & Scherb.","armoracia"
"ARNIC","Arnica L.","Arnica"
"ARNO4","Artemisia nova A. Nelson","black sagebrush"
"ARNU","Arabis nuttallii B.L. Rob.","Nuttall's rockcress"
"ARNU2","Aralia nudicaulis L.","wild sarsaparilla"
"AROL","Aristida oligantha Michx.","PRAIRIE THREEAWN"
"ARPA13","Arnica parryi A. Gray","Parry's arnica"
"ARPA18","Artemisia pattersonii A. Gray","Patterson's wormwood"
"ARPE","Arabis pendulina Greene","rabbitear rockcress"
"ARPE2","Arabis perennans S. Watson","perennial rockcress"
"ARPE6","Artemisia pedatifida Nutt.","birdfoot sagebrush"
"ARPER","Arabis pendulina Greene var. russeola (Rollins) Rollins","russeola rockcress"
"ARPO2","Argemone polyanthemos (Fedde) G.B. Ownbey","crested pricklypoppy"
"ARPO5","Artemisia porteri Cronquist","Porter's wormwood"
"ARPU18","Arabis pusilla Rollins","Fremont County rockcress"
"ARPU2","Arabis pulchra M.E. Jones ex S. Watson","beautiful rockcress"
"ARPU9","Aristida purpurea Nutt.","PURPLE THREEAWN"
"ARPUF","Aristida purpurea Nutt. var. fendleriana (Steud.) Vasey","Fendler's threeawn"
"ARPUL","Aristida purpurea Nutt. var. longiseta (Steud.) Vasey","Fendler threeawn"
"ARRHE","Arrhenatherum P. Beauv.","oatgrass"
"ARRU","Arctostaphylos rubra (Rehder & Wilson) Fernald","red fruit bearberry"
"ARRU4","Armoracia rusticana G. Gaertn., B. Mey. & Scherb.","horseradish"
"ARRY","Arnica rydbergii Greene","Rydberg's arnica"
"ARSC","Artemisia scopulorum A. Gray","alpine sagebrush"
"ARSE","Arabis selbyi Rydb.","Selby's rockcress"
"ARSE2","Arenaria serpyllifolia L.","THYMELEAF SANDWORT"
"ARSO2","Arnica sororia Greene","twin arnica"
"ARSP","Arabis sparsiflora Nutt.","sicklepod rockcress"
"ARSPS","Arabis sparsiflora Nutt. var. subvillosa (S. Watson) Rollins","hairystem rockcress"
"ARTEM","Artemisia L.","sagebrush"
"ARTR2","Artemisia tridentata Nutt.","big sagebrush"
"ARTR4","Artemisia tripartita Rydb.","threetip sagebrush"
"ARTRR2","Artemisia tripartita Rydb. ssp. rupicola Beetle","Wyoming threetip sagebrush"
"ARTRS2","Artemisia tridentata Nutt. ssp. spiciformis (Osterh.) Kartesz & Gandhi","big sagebrush"
"ARTRT","Artemisia tridentata Nutt. ssp. tridentata","basin big sagebrush"
"ARTRT2","Artemisia tripartita Rydb. ssp. tripartita","threetip sagebrush"
"ARTRV","Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle","mountain big sagebrush"
"ARTRW8","Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young","Wyoming big sagebrush"
"ARUV","Arctostaphylos uva-ursi (L.) Spreng.","kinnikinnick"
"ARWI","Arabis williamsii Rollins","Wind River rockcress"
"ARWIS","Arabis williamsii Rollins var. saximontana (Rollins) Rollins","Cross Mountain rockcress"
"ASAG2","Astragalus agrestis Douglas ex G. Don","purple milkvetch"
"ASAL7","Astragalus alpinus L.","alpine milkvetch"
"ASAM3","Astragalus americanus (Hook.) M.E. Jones","American milkvetch"
"ASAR","Asclepias arenaria Torr.","SAND MILKWEED"
"ASAR3","Astragalus aretioides (M.E. Jones) Barneby","cushion milkvetch"
"ASAR4","Astragalus argophyllus Nutt.","silverleaf milkvetch"
"ASAU4","Astragalus australis (L.) Lam.","Indian milkvetch"
"ASBA","Astragalus barrii Barneby","Barr's milkvetch"
"ASBI2","Astragalus bisulcatus (Hook.) A. Gray","twogrooved milkvetch"
"ASBIH","Astragalus bisulcatus (Hook.) A. Gray var. haydenianus (A. Gray) Barneby","Hayden's milkvetch"
"ASBO","Astragalus bodinii Sheldon","Bodin's milkvetch"
"ASCA11","Astragalus canadensis L.","Canadian milkvetch"
"ASCA9","Astragalus calycosus Torr. ex S. Watson","Torrey's milkvetch"
"ASCAB","Astragalus canadensis L. var. brevidens (Gandog.) Barneby","shorttooth Canadian milkvetch"
"ASCE","Astragalus ceramicus Sheldon","Painted milkvetch"
"ASCH4","Astragalus chamaeleuce A. Gray","cicada milkvetch"
"ASCI2","Astragalus cibarius Sheldon","browse milkvetch"
"ASCI4","Astragalus cicer L.","cicer milkvetch"
"ASCLE","Asclepias L.","MILKWEED"
"ASCO11","Astragalus conjunctus S. Watson","Idaho milkvetch"
"ASCO12","Astragalus convallarius Greene","lesser rushy milkvetch"
"ASCO8","Astragalus coltonii M.E. Jones","Colton's milkvetch"
"ASCOM2","Astragalus coltonii M.E. Jones var. moabensis","Moab milkvetch"
"ASCR","Asclepias cryptoceras S. Watson","pallid milkweed"
"ASCR2","Astragalus crassicarpus Nutt.","GROUNDPLUM MILKVETCH"
"ASCRD2","Asclepias cryptoceras S. Watson ssp. davisii (Woodson) Woodson","Davis' milkweed"
"ASCRP","Astragalus crassicarpus Nutt. var. paysonii (E.H. Kelso) Barneby","GROUNDPLUM MILKVETCH"
"ASDE6","Aspidotis densa (Brack.) Lellinger","Indian's dream"
"ASDI5","Astragalus diversifolius A. Gray","meadow milkvetch"
"ASDR2","Astragalus drabelliformis Barneby","bastard draba milkvetch"
"ASDR3","Astragalus drummondii Douglas ex Hook.","Drummond's milkvetch"
"ASEU2","Astragalus eucosmus B.L. Rob.","elegant milkvetch"
"ASFL","Astragalus flavus Nutt.","yellow milkvetch"
"ASFL2","Astragalus flexuosus Douglas ex G. Don","flexile milkvetch"
"ASGE","Astragalus geyeri A. Gray","Geyer's milkvetch"
"ASGI5","Astragalus gilviflorus Sheldon","plains milkvetch"
"ASGR3","Astragalus gracilis Nutt.","Slender milkvetch"
"ASGR4","Astragalus grayi Parry ex S. Watson","Gray's milkvetch"
"ASHA6","Asclepias hallii A. Gray","Hall's milkweed"
"ASHY2","Astragalus hyalinus M.E. Jones","summer milkvetch"
"ASIN","Asclepias incarnata L.","SWAMP MILKWEED"
"ASJE2","Astragalus jejunus S. Watson","starveling milkvetch"
"ASKE","Astragalus kentrophyta A. Gray","spiny milkvetch"
"ASKEE","Astragalus kentrophyta A. Gray var. elatus S. Watson","tall spiny milkvetch"
"ASKET","Astragalus kentrophyta A. Gray var. tegetarius (S. Watson) Dorn","mat milkvetch"
"ASLA27","Astragalus laxmannii Jacq.","Laxmann's milkvetch"
"ASLA3","Asclepias lanuginosa Nutt.","sidecluster milkweed"
"ASLAR","Astragalus laxmannii Jacq. var. robustior (Hook.) Barneby & S.L. Welsh","prairie milkvetch"
"ASLE8","Astragalus lentiginosus Douglas ex Hook.","freckled milkvetch"
"ASLE9","Astragalus leptaleus A. Gray","park milkvetch"
"ASLEC","Astragalus lentiginosus Douglas ex Hook. var. chartaceus M.E. Jones","broadleaf milkvetch"
"ASLES","Astragalus lentiginosus Douglas ex Hook. var. salinus (Howell) Barneby","salty loco milkvetch"
"ASLO4","Astragalus lotiflorus Hook.","lotus milkvetch"
"ASME2","Astragalus megacarpus (Nutt.) A. Gray","great bladdery milkvetch"
"ASMI10","Astragalus missouriensis Nutt.","MISSOURI MILKVETCH"
"ASMI4","Astragalus microcystis A. Gray","dwarf milkvetch"
"ASMI9","Astragalus miser Douglas ex Hook.","timber milkvetch"
"ASMID","Astragalus miser Douglas ex Hook. var. decumbens (Nutt. ex Torr. & A. Gray) Cronquist","prostrate milkvetch"
"ASMIH","Astragalus miser Douglas ex Hook. var. hylophilus (Rydb.) Barneby","woody milkvetch"
"ASMIO","Astragalus miser Douglas ex Hook. var. oblongifolius (Rydb.) Cronquist","timber milkvetch"
"ASMIP2","Astragalus miser Douglas ex Hook. var. praeteritus Barneby","Yellowstone milkvetch"
"ASMO7","Astragalus mollissimus Torr.","woolly locoweed"
"ASMO8","Astragalus molybdenus Barneby","Leadville milkvetch"
"ASNE3","Astragalus nelsonianus Barneby","Nelson's milkvetch"
"ASOF","Asparagus officinalis L.","garden asparagus"
"ASOR2","Astragalus oreganus Nutt.","Oregon milkvetch"
"ASOV","Asclepias ovalifolia Decne.","oval-leaf milkweed"
"ASPA13","Astragalus parryi A. Gray","Parry's milkvetch"
"ASPA16","Astragalus paysonii (Rydb.) Barneby","Payson's milkvetch"
"ASPAR","Asparagus L.","Asparagus"
"ASPE5","Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don","NARROWLEAF MILKVETCH"
"ASPER","Asperugo L.","German-madwort"
"ASPID2","Aspidotis (Nutt. ex Hook.) Copeland","lacefern"
"ASPL2","Astragalus plattensis Nutt.","Platte River milkvetch"
"ASPLE","Asplenium L.","SPLEENWORT"
