"Symbol","Scientific Name with Author","GSAT Common Name"
"GLMA4","Glycine max (L.) Merr.","soybean"
"HOPU","Hordeum pusillum Nutt.","Barley, little"
"HOVU","Hordeum vulgare L.","Barley, common"
"KUST","Kummerowia stipulacea (Maxim.) Makino","Lespedeza, Korean"
"KUST2","Kummerowia striata (Thunb.) Schindl.","Lespedeza, Japanese"
"LAHI2","Lathyrus hirsutus L.","Caleypea"
"LECU","Lespedeza cuneata (Dum. Cours.) G. Don","Lespediza, sericea"
"LOCO6","Lotus corniculatus L.","Birdsfoot trefoil"
"LOPE","Lolium perenne L.","Ryegrass, perennial"
"LOPEM2","Lolium perenne L. ssp. multiflorum (Lam.) Husnot","Ryegrass, Italian"
"MEAR","Medicago arabica (L.) Huds.","Spotted medic"
"MELU","Medicago lupulina L.","BLACK MEDIC"
"MEOF","Melilotus officinalis (L.) Lam.","Sweetclover, white"
"MEOF","Melilotus officinalis (L.) Lam.","Sweetclover, yellow"
"MEOR2","Medicago orbicularis (L.) Bartal.","Button clover"
"MEPO3","Medicago polymorpha L.","BURCLOVER"
"MESA","Medicago sativa L.","ALFALFA"
"MUCA2","Muhlenbergia capillaris (Lam.) Trin.","Hairawn muhly-Sweetgrass"
"MUEX","Muhlenbergia expansa (Poir.) Trin.","cutover muhly"
"MUFI3","Muhlenbergia filipes M.A. Curtis","gulfhairawn muhly-Sweetgrass"
"PAAN","Panicum anceps Michx.","BEAKED PANICUM"
"PADI3","Paspalum dilatatum Poir.","DALLISGRASS"
"PADI6","Paspalum distichum L.","KNOTGRASS"
"PAFL4","Paspalum floridanum Michx.","FLORIDA PASPALUM"
"PAHE2","Panicum hemitomon Schult.","MAIDENCANE"
"PAMI2","Panicum miliaceum L.","Millet, proso"
"PANO2","Paspalum notatum Flueggé","BAHIAGRASS"
"PAPL3","Paspalum plicatulum Michx.","BROWNSEED PASPALUM"
"PASE5","Paspalum setaceum Michx.","Thin paspalum"
"PAVA","Paspalum vaginatum Sw.","SEASHORE PASPALUM"
"PAVI2","Panicum virgatum L.","SWITCHGRASS"
"PEFL18","Pennisetum flaccidum Griseb.","flaccidgrass"
"PEGL2","Pennisetum glaucum (L.) R. Br.","Millet, pearl"
"PHAR3","Phalaris arundinacea L.","Canarygrass, reed"
"PHAU7","Phragmites australis (Cav.) Trin. ex Steud.","COMMON REED"
"POPR","Poa pratensis L.","Bluegrass, Kentucky"
"PUMO","Pueraria montana (Lour.) Merr.","kudzu"
"SABR18","Saccharum brevibarbe (Michx.) Pers.","shortbeard plumegrass"
"SABRC3","Saccharum brevibarbe (Michx.) Pers. var. contortum (Elliott) R. Webster","Bent-awn plumegrass"
"SCAR7","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.","Fescue, tall"
"SCSC","Schizachyrium scoparium (Michx.) Nash","Bluestem, little"
"SCSCS3","Schizachyrium scoparium (Michx.) Nash var. stoloniferum (Nash) Wipff","Bluestem, creeping"
"SCTE5","Schizachyrium tenerum Nees","Bluestem, slender"
"SECE","Secale cereale L.","Rye, common"
"SEIT","Setaria italica (L.) P. Beauv.","Foxtail millet"
"SEVA4","Securigera varia (L.) Lassen","crownvetch"
"SEVI4","Setaria viridis (L.) P. Beauv.","GREEN FOXTAIL"
"SOBI2","Sorghum bicolor (L.) Moench","Sorghum"
"SOBID","Sorghum bicolor (L.) Moench ssp. drummondii (Nees ex Steud.) de Wet & Harlan","Sudangrass"
"SOHA","Sorghum halepense (L.) Pers.","JOHNSONGRASS"
"SONU2","Sorghastrum nutans (L.) Nash","INDIANGRASS"
"SOSE5","Sorghastrum secundum (Elliott) Nash","lopsided Indiangrass"
"SPAL","Spartina alterniflora Loisel.","smooth cordgrass"
"SPBA","Spartina bakeri Merr.","sand cordgrass"
"SPCU","Sporobolus curtissii (Vasey ex Beal) Small ex Scribn.","Curtis dropseed"
"SPFL3","Sporobolus floridanus Chapm.","Florida dropseed"
"SPIN4","Sporobolus indicus (L.) R. Br.","smutgrass"
"SPJU","Sporobolus junceus (P. Beauv.) Kunth","PINEYWOODS DROPSEED"
"SPPA","Spartina patens (Aiton) Muhl.","MARSHHAY CORDGRASS"
"SPVI3","Sporobolus virginicus (L.) Kunth","seashore dropseed"
"TRAE","Triticum aestivum L.","WHEAT"
"TRAL6","Trifolium alexandrinum L.","Clover, Egyptian"
"TRAM15","Trifolium ambiguum M. Bieb.","Clover, kura"
"TRCA5","Trifolium campestre Schreb.","Clover, large hop"
"TRDA3","Tripsacum dactyloides (L.) L.","Eastern gamagrass"
"TRDU2","Trifolium dubium Sibth.","Clover, small"
"TRFL2","Tridens flavus (L.) Hitchc.","PURPLETOP"
"TRHY","Trifolium hybridum L.","Clover, alsike"
"TRIN3","Trifolium incarnatum L.","Clover, crimson"
"TRNI3","Trifolium nigrescens Viv.","Clover, ball"
"TRPR2","Trifolium pratense L.","Clover, red"
"TRRE3","Trifolium repens L.","Clover, white"
"TRRI","Triticosecale rimpaui C. Yen & J.L. Yang [Secale cereale × Triticum aestivum]","triticale"
"TRSU3","Trifolium subterraneum L.","Clover, subterranean"
"TRVE","Trifolium vesiculosum Savi","Clover, arrowleaf"
"URRA","Urochloa ramosa (L.) Nguyen","Millet, browntop"
"VIGR","Vicia grandiflora Scop.","Vetch, bigflower"
"VISA","Vicia sativa L.","Vetch, common"
"VIUNU","Vigna unguiculata (L.) Walp. ssp. unguiculata","Southern cowpea"
"VIVI","Vicia villosa Roth","Vetch, hairy"
"ZEMA","Zea mays L.","Corn (maize)"
"ZIMI","Zizaniopsis miliacea (Michx.) Döll & Asch.","GIANT CUTGRASS"
