"Symbol","Scientific Name with Author","GSAT Common Name"
"AGGL","Agoseris glauca (Pursh) Raf.","mountain dandelion"
"AGHE2","Agoseris heterophylla (Nutt.) Greene","annual mountain dandelion"
"AGOSE","Agoseris Raf.","Agoseris"
"AGROS2","Agrostis L.","bentgrass"
"AGST2","Agrostis stolonifera L.","creeping bentgrass"
"AGUR","Agastache urticifolia (Benth.) Kuntze","horsemint"
"ALAA","Allium aaseae Ownbey","South Idaho onion"
"ALAC4","Allium acuminatum Hook.","tapertip onion"
"ALAE","Alopecurus aequalis Sobol.","SHORTAWN FOXTAIL"
"ALAR","Alopecurus arundinaceus Poir.","creeping foxtail"
"ALDE","Alyssum desertorum Stapf","desert madwort"
"ALINT","Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung","thinleaf alder"
"ALLIU","Allium L.","onion"
"ALMA6","Allium madidum S. Watson","swamp onion"
"ALNUS","Alnus Mill.","alder"
"ALOC2","Allenrolfea occidentalis (S. Watson) Kuntze","iodinebush"
"ALPR3","Alopecurus pratensis L.","MEADOW FOXTAIL"
"ALRU2","Alnus rubra Bong.","red alder"
"ALTE","Allium textile A. Nelson & J.F. Macbr.","textile onion"
"ALTR7","Alisma triviale Pursh","northern water plantain"
"ALVIS","Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve","Sitka alder"
"AMAL2","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.","Saskatoon serviceberry"
"AMELA","Amelanchier Medik.","serviceberry"
"AMMEM2","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. menziesii","Rough fiddleneck"
"AMRE","Amaranthus retroflexus L.","redroot amaranth"
"AMSIN","Amsinckia Lehm.","fiddleneck"
"AMUT","Amelanchier utahensis Koehne","Utah serviceberry"
"ANDI2","Antennaria dimorpha (Nutt.) Torr. & A. Gray","low pussytoes"
"ANEMO","Anemone L.","Anemone"
"ANMA","Anaphalis margaritacea (L.) Benth.","pearly everlasting"
"ANMI3","Antennaria microphylla Rydb.","littleleaf pussytoes"
"ANRO2","Antennaria rosea Greene","rose pussytoes"
"ANSE4","Androsace septentrionalis L.","pygmyflower rockjasmine"
"ANTEN","Antennaria Gaertn.","pussytoes"
"APAN2","Apocynum androsaemifolium L.","SPREADING DOGBANE"
"AQFO","Aquilegia formosa Fisch. ex DC.","Sitka columbine"
"ARABI2","Arabis L.","rockcress"
"ARAN7","Argentina anserina (L.) Rydb.","silverweed cinquefoil"
"ARAR8","Artemisia arbuscula Nutt.","low sagebrush"
"ARARA","Artemisia arbuscula Nutt. ssp. arbuscula","gray low sagebrush"
"ARARL","Artemisia arbuscula Nutt. ssp. longiloba (Osterh.) L.M. Shultz","alkali sagebrush"
"ARART","Artemisia arbuscula Nutt. ssp. thermopola Beetle","hot spring sagebrush"
"ARCA12","Artemisia campestris L.","wormwood sagewort"
"ARCA13","Artemisia cana Pursh","silver sagebrush"
"ARCAB3","Artemisia cana Pursh ssp. bolanderi (A. Gray) G.H. Ward","silver sagebrush"
"ARCAV2","Artemisia cana Pursh ssp. viscidula (Osterh.) Beetle","mountain silver sagebrush"
"ARCO5","Arenaria congesta Nutt.","ballhead sandwort"
"ARCO9","Arnica cordifolia Hook.","heartleaf arnica"
"ARDR","Arabis drummondii A. Gray","Drummond's rockcress"
"ARDR4","Artemisia dracunculus L.","herbaceous sagewort"
"ARENA","Arenaria L.","sandwort"
"ARFR4","Artemisia frigida Willd.","fringed sagewort"
"ARFU3","Arnica fulgens Pursh","foothills arnica"
"ARIST","Aristida L.","threeawn"
"ARKI","Arenaria kingii (S. Watson) M.E. Jones","King's sandwort"
"ARLI","Arabis lignifera A. Nelson","desert rockcress"
"ARLI2","Artemisia lindleyana Besser","Columbia River sagewort"
"ARLU","Artemisia ludoviciana Nutt.","LOUISIANA SAGEWORT"
"ARNIC","Arnica L.","Arnica"
"ARNO4","Artemisia nova A. Nelson","black sagebrush"
"ARPA16","Artemisia papposa S.F. Blake & Cronquist","fuzzy sagebrush"
"ARPUL","Aristida purpurea Nutt. var. longiseta (Steud.) Vasey","FENDLER THREEAWN"
"ARRI2","Artemisia rigida (Nutt.) A. Gray","stiff sagebrush"
"ARSO2","Arnica sororia Greene","twin arnica"
"ARTR4","Artemisia tripartita Rydb.","threetip sagebrush"
"ARTRS2","Artemisia tridentata Nutt. ssp. spiciformis (Osterh.) Kartesz & Gandhi","subalpine big sagebrush"
"ARTRT","Artemisia tridentata Nutt. ssp. tridentata","basin big sagebrush"
"ARTRV","Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle","mountain big sagebrush"
"ARTRW8","Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young","Wyoming big sagebrush"
"ARTRX","Artemisia tridentata Nutt. ssp. xericensis Winward ex R. Rosentreter & R. Kelsey","foothills big sagebrush"
"ARUV","Arctostaphylos uva-ursi (L.) Spreng.","kinnikinnick"
"ASATI","Astragalus atratus S. Watson var. inseptus Barneby","Fairfield milkvetch"
"ASCE","Astragalus ceramicus Sheldon","Painted milkvetch"
"ASCI2","Astragalus cibarius Sheldon","silky loco milkvetch"
"ASCI4","Astragalus cicer L.","cicer milkvetch"
"ASCLE","Asclepias L.","MILKWEED"
"ASCO12","Astragalus convallarius Greene","skeleton poison milkvetch"
"ASCU4","Astragalus curvicarpus (A. Heller) J.F. Macbr.","curved-pod milkvetch"
"ASFI","Astragalus filipes Torr. ex A. Gray","basalt milkvetch"
"ASIN5","Astragalus inflexus Douglas ex Hook.","bent milkvetch"
"ASLE8","Astragalus lentiginosus Douglas ex Hook.","freckled milkvetch"
"ASMI9","Astragalus miser Douglas ex Hook.","timber milkvetch"
"ASMO7","Astragalus mollissimus Torr.","wooly milkvetch"
"ASMU","Astragalus mulfordiae M.E. Jones","Mulford's milkvetch"
"ASPU9","Astragalus purshii Douglas ex Hook.","woollypod milkvetch"
"ASTER","Aster L.","aster"
"ASTRA","Astragalus L.","milkvetch"
"ASWH","Astragalus whitneyi A. Gray","ballonpod milkvetch"
"ATAR2","Atriplex argentea Nutt.","silverscale saltweed"
"ATCA2","Atriplex canescens (Pursh) Nutt.","FOURWING SALTBUSH"
"ATCO","Atriplex confertifolia (Torr. & Frém.) S. Watson","shadscale"
"ATGA","Atriplex gardneri (Moq.) D. Dietr.","Gardner's saltbush"
"BAAM4","Bassia americana (S. Watson) A.J. Scott","green molly"
"BAHO","Balsamorhiza hookeri (Hook.) Nutt.","Hooker's balsamroot"
"BAHY","Bassia hyssopifolia (Pall.) Kuntz","fivehorn smotherweed"
"BALSA","Balsamorhiza Nutt.","balsamroot"
"BAMA4","Balsamorhiza macrophylla Nutt.","cutleaf balsamroot"
"BAPR5","Bassia prostrata (L.) A.J. Scott","forage kochia"
"BASA3","Balsamorhiza sagittata (Pursh) Nutt.","arrowleaf balsamroot"
"BASC5","Bassia scoparia (L.) A.J. Scott","KOCHIA"
"BEOC2","Betula occidentalis Hook.","water birch"
"BEPUG","Betula pumila L. var. glandulifera Regel","bog birch"
"BERU","Besseya rubra (Douglas ex Hook.) Rydb.","red besseya"
"BESY","Beckmannia syzigachne (Steud.) Fernald","American sloughgrass"
"BOMA7","Bolboschoenus maritimus (L.) Palla","alkali bulrush"
"BRAR5","Bromus arvensis L.","JAPANESE BROME"
"BRASS2","Brassica L.","mustard"
"BRBI2","Bromus biebersteinii Roem. & Schult. [excluded]","meadow brome"
"BRBR5","Bromus briziformis Fisch. & C.A. Mey.","RATTLESNAKE BROME"
"BRHOH","Bromus hordeaceus L. ssp. hordeaceus","SOFT BROME"
"BRIN2","Bromus inermis Leyss.","SMOOTH BROME"
"BRMA4","Bromus marginatus Nees ex Steud.","mountain brome"
"BRST2","Bromus sterilis L.","poverty brome"
"BRTE","Bromus tectorum L.","CHEATGRASS"
"BUAR3","Buglossoides arvensis (L.) I.M. Johnst.","corn gromwell"
"CAAN7","Castilleja angustifolia (Nutt.) G. Don","northwestern Indian paintbrush"
"CAAND","Castilleja angustifolia (Nutt.) G. Don var. dubia A. Nelson","northwestern Indian paintbrush"
"CAAQ","Carex aquatilis Wahlenb.","Water sedge"
"CAAR18","Caragana arborescens Lam.","SIBERIAN PEASHRUB"
"CAAT3","Carex athrostachya Olney","slenderbeak sedge"
"CABR4","Calochortus bruneaunis A. Nelson & J.F. Macbr.","Bruneau mariposa lily"
"CACA4","Calamagrostis canadensis (Michx.) P. Beauv.","bluejoint"
"CACO11","Carex concinnoides Mack.","northwest sedge"
"CADO2","Carex douglasii Boott","Douglas' sedge"
"CAEU","Calochortus eurycarpus S. Watson","mariposa lily"
"CAEX5","Carex exsiccata L.H. Bailey","western inflated sedge"
"CAFI","Carex filifolia Nutt.","threadleaf sedge"
"CAFL7","Castilleja flava S. Watson","yellow Indian paintbrush"
"CAGE2","Carex geyeri Boott","Elk sedge"
"CAHO5","Carex hoodii Boott","Hood's sedge"
"CALA11","Carex lasiocarpa Ehrh.","woollyfruit sedge"
"CALI4","Castilleja linariifolia Benth.","narrow leaved Indian paintbrush"
"CALOC","Calochortus Pursh","mariposa lily"
"CAMI7","Carex microptera Mack.","swallowing sedge"
"CAMIS3","Castilleja minor (A. Gray) A. Gray ssp. spiralis (Jeps.) T.I. Chuang & Heckard","lesser Indian painbrush"
"CANE2","Carex nebrascensis Dewey","NEBRASKA SEDGE"
"CANI","Calochortus nitidus Douglas","broadfruit mariposa lily"
"CANU3","Calochortus nuttallii Torr. & A. Gray","sego lily"
"CAPE42","Carex pellita Muhl. ex Willd.","Woolly sedge"
"CAPE7","Carex petasata Dewey","Liddon sedge"
"CAPIL","Castilleja pilosa (S. Watson) Rydb. var. longispica (A. Nelson) N.H. Holmgren","longspike Indian paintbrush"
"CAPU10","Castilleja pulchella Rydb.","showy Indian paintbrush"
"CAQU2","Camassia quamash (Pursh) Greene","common camas"
"CARA6","Carex raynoldsii Dewey","Raynolds' sedge"
"CAREX","Carex L.","sedge"
"CARO5","Carex rossii Boott","Ross' sedge"
"CARO6","Carex rostrata Stokes","beaked sedge"
"CARU","Calamagrostis rubescens Buckley","pinegrass"
"CASI2","Carex simulata Mack.","analogue sedge"
"CASTI2","Castilleja Mutis ex L. f.","Indian paintbrush"
"CAUT","Carex utriculata Boott","northwest sedge"
"CAVI9","Castilleja viscidula A. Gray","sticky Indian paintbrush"
"CELAR","Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson","NETLEAF HACKBERRY"
"CELE3","Cercocarpus ledifolius Nutt.","curlleaf mountain mahogany"
"CEMA2","Ceanothus martinii M.E. Jones","Martin's ceanothus"
"CEMO2","Cercocarpus montanus Raf.","birchleaf mountain mahogany"
"CEOC","Celtis occidentalis L.","common hackberry"
"CESA","Ceanothus sanguineus Pursh","redstem ceanothus"
"CESO3","Centaurea solstitialis L.","yellow starthistle"
"CETE5","Ceratocephala testiculata (Crantz) Roth","BUR BUTTERCUP"
"CEVE","Ceanothus velutinus Douglas ex Hook.","snowbrush ceanothus"
"CHAEN","Chaenactis DC.","dustymaiden"
"CHAL7","Chenopodium album L.","LAMBSQUARTERS"
"CHANA2","Chamerion angustifolium (L.) Holub ssp. angustifolium","fire willowherb"
"CHDO","Chaenactis douglasii (Hook.) Hook. & Arn.","Douglas dustymaiden"
"CHDOD","Chaenactis douglasii (Hook.) Hook. & Arn. var. douglasii","False-yarrow dustymaiden"
"CHMI2","Chamaebatiaria millefolium (Torr.) Maxim.","fernbush"
"CHRYS9","Chrysothamnus Nutt.","rabbitbrush"
"CHVI8","Chrysothamnus viscidiflorus (Hook.) Nutt.","green rabbitbrush"
"CHVIP4","Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. puberulus (D.C. Eaton) H.M. Hall & Clem.","twistedleaf green rabbitbrush"
"CHVIS5","Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. viscidiflorus var. stenophyllus (A. Gray) H.M. Hall","yellow rabbitbrush"
"CHVIV4","Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. viscidiflorus var. viscidiflorus","low green rabbitbrush"
"CIDO","Cicuta douglasii (DC.) J.M. Coult. & Rose","western water hemlock"
"CIRSI","Cirsium Mill.","thistle"
"CISC2","Cirsium scariosum Nutt.","elk thistle"
"CISU","Cirsium subniveum Rydb.","Davis thistle"
"CLEMA","Clematis L.","virginsbower"
"CLEOM","Cleome L.","beeplant"
"CLFL3","Claytonia flava A. Nelson","lanceleaf springbeauty"
"CLLI2","Clematis ligusticifolia Nutt.","western clematis"
"CLLU2","Cleome lutea Hook.","yellow beeplant"
"CLPU","Clarkia pulchella Pursh","elkhorn clarkia"
"CLSE","Cleome serrulata Pursh","ROCKY MOUNTAIN BEEPLANT"
"COAC2","Cotoneaster acutifolius Turcz.","Peking cotoneaster"
"COCA13","Cornus canadensis L.","bunchberry"
"COCAH2","Corydalis caseana A. Gray ssp. hastata (Rydb.) G.B. Ownbey","Idaho corydalis"
"COGR4","Collomia grandiflora Douglas ex Lindl.","grand collomia"
"COIN16","Cotoneaster integerrimus Medik.","European cotoneaster"
"COLLI","Collinsia Nutt.","blue eyed Mary"
"COLLO","Collomia Nutt.","collomia"
"COMAN","Comandra Nutt.","toadflax"
"COPA2","Collinsia parryi A. Gray","Perry's blue eyed Mary"
"COPA3","Collinsia parviflora Lindl.","little blue eyed Mary"
"CORA5","Cordylanthus ramosus Nutt. ex Benth.","bushy bird's beak"
"CORNU","Cornus L.","dogwood"
"CORYP","Coryphantha (Engelm.) Lem.","pin cushion"
"COSE16","Cornus sericea L.","redosier dogwood"
"COSES","Cornus sericea L. ssp. sericea","redosier dogwood"
"COUM","Comandra umbellata (L.) Nutt.","BASTARD TOADFLAX"
"COUMP","Comandra umbellata (L.) Nutt. ssp. pallida (A. DC.) Piehl","pale bastard toadflax"
"CRAC2","Crepis acuminata Nutt.","tapertip hawksbeard"
"CRAF","Cryptantha affinis (A. Gray) Greene","common cryptantha"
"CRAN6","Crataegus ×anomala Sarg. (pro sp.) [intricata × mollis]","Arnold hawthorn"
"CRATA","Crataegus L.","hawthorn"
"CRDO2","Crataegus douglasii Lindl.","BLACK HAWTHORN"
"CREPI","Crepis L.","HAWKSBEARD"
"CRIN9","Cryptantha interrupta (Greene) Payson","bristly cryptantha"
"CROC","Crepis occidentalis Nutt.","western hawksbeard"
"CRTO4","Cryptantha torreyana (A. Gray) Greene","Torrey's cryptantha"
"CRYPT","Cryptantha Lehm. ex G. Don","CRYPTANTHA"
"CYOF","Cynoglossum officinale L.","HOUNDSTONGUE"
"DACA3","Danthonia californica Bol.","California oatgrass"
"DAFR6","Dasiphora fruticosa (L.) Rydb.","Shrubby cinquefoil"
"DAFRF","Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz","Shrubby cinquefoil"
"DAGL","Dactylis glomerata L.","ORCHARDGRASS"
"DAIN","Danthonia intermedia Vasey","timber oatgrass"
"DAUN","Danthonia unispicata (Thurb.) Munro ex Macoun","onespike oatgrass"
"DEBI","Delphinium bicolor Nutt.","low larkspur"
"DECE","Deschampsia cespitosa (L.) P. Beauv.","tufted hairgrass"
"DEDA","Deschampsia danthonioides (Trin.) Munro","annual hairgrass"
"DEIN5","Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn","mountain tansymustard"
"DELPH","Delphinium L.","larkspur"
"DEOC","Delphinium ×occidentale (S. Watson) S. Watson (pro sp.) [barbeyi × glaucum]","tall larkspur"
"DEPI","Descurainia pinnata (Walter) Britton","western tansymustard"
"DESCU","Descurainia Webb & Bethel.","tansymustard"
"DIFU2","Dipsacus fullonum L.","Venuscup teasel"
"DISP","Distichlis spicata (L.) Greene","INLAND SALTGRASS"
"DOPUP2","Dodecatheon pulchellum (Raf.) Merr. ssp. pulchellum","darkthroat shootingstar"
"DRABA","Draba L.","Draba"
"DRDE","Draba densifolia Nutt.","rockcress draba"
"DRVE2","Draba verna L.","spring draba"
"ECCOC","Echinocereus coccineus Engelm. var. coccineus","scarlet hedgehog cactus"
"ELCA11","Elymus caninus (L.) L.","bearded wheatgrass"
"ELCA4","Elymus canadensis L.","CANADA WILDRYE"
"ELCO","Elaeagnus commutata Bernh. ex Rydb.","silverberry"
"ELEL5","Elymus elymoides (Raf.) Swezey","BOTTLEBRUSH SQUIRRELTAIL"
"ELELB2","Elymus elymoides (Raf.) Swezey ssp. brevifolius (J.G. Sm.) Barkworth","BOTTLEBRUSH SQUIRRELTAIL"
"ELELC2","Elymus elymoides (Raf.) Swezey ssp. californicus (J.G. Sm.) Barkworth","BOTTLEBRUSH SQUIRRELTAIL"
"ELELE","Elymus elymoides (Raf.) Swezey ssp. elymoides","BOTTLEBRUSH SQUIRRELTAIL"
"ELEOC","Eleocharis R. Br.","spikerush"
"ELGLG","Elymus glaucus Buckley ssp. glaucus","blue wildrye"
"ELLAL","Elymus lanceolatus (Scribn. & J.G. Sm.) Gould ssp. lanceolatus","thickspike wheatgrass"
"ELMU3","Elymus multisetus M.E. Jones","big squirreltail"
"ELOV","Eleocharis ovata (Roth) Roem. & Schult.","ovate spikerush"
"ELPA3","Eleocharis palustris (L.) Roem. & Schult.","common spikerush"
"ELQU2","Eleocharis quinqueflora (Hartmann) O. Schwarz","few flower spikerush"
"ELRE4","Elymus repens (L.) Gould","quackgrass"
"ELRO2","Eleocharis rostellata (Torr.) Torr.","BEAKED SPIKERUSH"
"ELTR7","Elymus trachycaulus (Link) Gould ex Shinners","Slender wheatgrass"
"ELTRT","Elymus trachycaulus (Link) Gould ex Shinners ssp. trachycaulus","slender bearded wheatgrass"
"ELWA2","Elymus wawawaiensis J. Carlson & Barkworth","Snake River wheatgrass"
"ELYMU","Elymus L.","wildrye"
"ENNU","Enceliopsis nudicaulis (A. Gray) A. Nelson","false sunflower"
"EPBR3","Epilobium brachycarpum C. Presl","tall willowherb"
"EPCIG","Epilobium ciliatum Raf. ssp. glandulosum (Lehm.) Hoch & P.H. Raven","fringed willowherb"
"EPHED","Ephedra L.","mormon tea"
"EPILO","Epilobium L.","willowherb"
"EQAR","Equisetum arvense L.","FIELD HORSETAIL"
"EQLA","Equisetum laevigatum A. Braun","SMOOTH HORSETAIL"
"EQUIS","Equisetum L.","horsetail"
"ERAC2","Erigeron acris L.","bitter fleabane"
"ERAN","Erigeron annuus (L.) Pers.","DAISY FLEABANE"
"ERAP","Erigeron aphanactis (A. Gray) Greene","rayless shaggy fleabane"
"ERCA2","Erigeron caespitosus Nutt.","tufted fleabane"
"ERCA8","Eriogonum caespitosum Nutt.","matted buckwheat"
"ERCAC","Erysimum capitatum (Douglas ex Hook.) Greene var. capitatum","sanddune wallflower"
"ERCI6","Erodium cicutarium (L.) L'Hér. ex Aiton","cutleaf filaree"
"ERCO4","Erigeron compositus Pursh","cutleaf fleabane"
"ERCOC3","Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray var. concinnus","Navajo fleabane"
"ERDOD","Eriogonum douglasii Benth. var. douglasii","Douglas' matted buckwheat"
"EREFE","Eriogonum effusum Nutt. var. effusum","pink buckwheat"
"ERFI2","Erigeron filifolius (Hook.) Nutt.","threadleaf fleabane"
"ERFL4","Eriogonum flavum Nutt.","yellow buckwheat"
"ERGR9","Erythronium grandiflorum Pursh","yellow avalanche-lily"
"ERHE2","Eriogonum heracleoides Nutt.","Wyeth buckwheat"
"ERHEH3","Eriogonum heracleoides Nutt. var. heracleoides","parsnipflower buckwheat"
"ERIGE2","Erigeron L.","fleabane"
"ERIOG","Eriogonum Michx.","buckwheat"
"ERLA6","Eriophyllum lanatum (Pursh) Forbes","common woolly sunflower"
"ERLI","Erigeron linearis (Hook.) Piper","desert yellow fleabane"
"ERMI4","Eriogonum microthecum Nutt.","slender buckwheat"
"ERMIL2","Eriogonum microthecum Nutt. var. laxiflorum Hook.","laxleaf buckwheat"
"ERNA10","Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird","RUBBER RABBITBRUSH"
"ERNA7","Ericameria nana Nutt.","dwarf rubber rabbitbrush"
"ERNAN4","Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nana (Cronquist) G.L. Nesom & Baird","dwarf rubber rabbitbrush"
"ERNAO","Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. oreophila (A. Nelson) G.L. Nesom & Baird","RUBBER RABBITBRUSH"
"ERNI2","Eriogonum niveum Douglas ex Benth.","snow buckwheat"
"EROV","Eriogonum ovalifolium Nutt.","ovalleaf buckwheat"
"EROVO5","Eriogonum ovalifolium Nutt. var. ovalifolium","cushion buckwheat"
"ERPU2","Erigeron pumilus Nutt.","SHAGGY FLEABANE"
"ERSH","Eriogonum shockleyi S. Watson","Shockley's buckwheat"
"ERSP4","Erigeron speciosus (Lindl.) DC.","showy fleabane"
"ERSP7","Eriogonum sphaerocephalum Douglas ex Benth.","rock buckwheat"
"ERST3","Erigeron strigosus Muhl. ex Willd.","PRAIRIE FLEABANE"
"ERUM","Eriogonum umbellatum Torr.","sulphur-flower buckwheat"
"ERWA3","Eriogonum watsonii Torr. & A. Gray","Idaho buckwheat"
"ERYSI","Erysimum L.","wallflower"
"ESMI3","Escobaria missouriensis (Sweet) D.R. Hunt","foxtail cactus"
"ESVIV","Escobaria vivipara (Nutt.) Buxbaum var. vivipara","cushion cactus"
"EUCO36","Eurybia conspicua (Lindl.) G.L. Nesom","showy aster"
"EUEL2","Eucephalus elegans Nutt.","elegant aster"
"EUEN","Eucephalus engelmannii (D.C. Eaton) Greene","Engelmann's aster"
"EUGL19","Eurybia glauca (Nutt.) G.L. Nesom","blue aster"
"EUIN9","Eurybia integrifolia (Nutt.) G.L. Nesom","entire leaved aster"
"EUOC4","Euthamia occidentalis Nutt.","western goldenrod"
"FEBR7","Festuca brevipila Tracey","hard fescue"
"FEID","Festuca idahoensis Elmer","Idaho fescue"
"FEOV","Festuca ovina L.","sheep fescue"
"FERU2","Festuca rubra L.","RED FESCUE"
"FORSY","Forsythia Vahl","forsythia"
"FRAGA","Fragaria L.","strawberry"
"FRAL2","Frasera albicaulis Douglas ex Griseb.","whitestem elkweed"
"FRMA5","Fraxinus mandshurica Rupr.","Manchurian ash"
"FRMO","Frasera montana Mulford","white elkweed"
"FRPE","Fraxinus pennsylvanica Marshall","GREEN ASH"
"FRPU2","Fritillaria pudica (Pursh) Spreng.","yellow fritillary"
"FRSP","Frasera speciosa Douglas ex Griseb.","showy elkweed"
"FRVEB2","Fragaria vesca L. ssp. bracteata (A. Heller) Staudt","bracht strawberry"
"FRVIG2","Fragaria virginiana Duchesne ssp. glauca (S. Watson) Staudt","blueleaf strawberry"
"GAAP2","Galium aparine L.","goosegrass bedstraw"
"GABI","Galium bifolium S. Watson","twinleaf bedstraw"
"GABO2","Galium boreale L.","northern bedstraw"
"GADI2","Gayophytum diffusum Torr. & A. Gray","spreading groundsmoke"
"GAHU2","Gayophytum humile Juss.","low groundsmoke"
"GALIU","Galium L.","bedstraw"
"GARA","Gayophytum racemosum Torr. & A. Gray","blackfoot groundsmoke"
"GARA2","Gayophytum ramosissimum Torr. & A. Gray","hairstem groundsmoke"
"GATR2","Galium trifidum L.","threelute bedstraw"
"GEAF","Gentiana affinis Griseb.","prairie gentian"
"GENTI","Gentiana L.","gentian"
"GEPR3","Gentiana prostrata Haenke","MOSS GENTIAN"
"GERAN","Geranium L.","Geranium"
"GERI","Geranium richardsonii Fisch. & Trautv.","Richardson's geranium"
"GERO2","Geum rossii (R. Br.) Ser.","three-flower avens"
"GEROT","Geum rossii (R. Br.) Ser. var. turbinatum (Rydb.) C.L. Hitchc.","oldmans whiskers avens"
"GETR","Geum triflorum Pursh","old man's whiskers"
"GEUM","Geum L.","avens"
"GEVI2","Geranium viscosissimum Fisch. & C.A. Mey. ex C.A. Mey.","sticky geranium"
"GILIA","Gilia Ruiz & Pav.","Gilia"
"GLLE3","Glycyrrhiza lepidota Pursh","wild licorice"
"GLSPA","Glossopetalon spinescens A. Gray var. aridum M.E. Jones","spiny greasebush"
"GLST","Glyceria striata (Lam.) Hitchc.","mannagrass"
"GLTR","Gleditsia triacanthos L.","HONEYLOCUST"
"GRNA","Grindelia nana Nutt.","Idaho gumweed"
"GRNAI","Grindelia nana Nutt. var. integerrima (Rydb.) Steyerm.","Idaho gumweed"
"GRNAN","Grindelia nana Nutt. var. nana","Idaho gumweed"
"GRSP","Grayia spinosa (Hook.) Moq.","spiny hopsage"
"GRSQ","Grindelia squarrosa (Pursh) Dunal","CURLYCUP GUMWEED"
"GUSA2","Gutierrezia sarothrae (Pursh) Britton & Rusby","BROOM SNAKEWEED"
"HACKE","Hackelia Opiz","stickseed"
"HADE","Hackelia deflexa (Wahlenb.) Opiz","nodding stickseed"
"HADEA","Hackelia deflexa (Wahlenb.) Opiz var. americana (A. Gray) Fernald & I.M. Johnst.","American stickseed"
"HAFL2","Hackelia floribunda (Lehm.) I.M. Johnst.","many-flower stickseed"
"HAGL","Halogeton glomeratus (M. Bieb.) C.A. Mey.","Halogeton"
"HAMI","Hackelia micrantha (Eastw.) J.L. Gentry","blue stickseed"
"HAPA","Hackelia patens (Nutt.) I.M. Johnst.","spotted stickseed"
"HEAU","Helenium autumnale L.","COMMON SNEEZEWEED"
"HEBO","Hedysarum boreale Nutt.","northern sweetvetch"
"HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth","needle and thread"
"HECOC8","Hesperostipa comata (Trin. & Rupr.) Barkworth ssp. comata","needle and thread"
