"Symbol","Scientific Name with Author","GSAT Common Name"
"CEHE","Ceanothus herbaceus Raf.","Jersey tea"
"CELAS","Celastrus L.","bittersweet"
"CEOC","Celtis occidentalis L.","common hackberry"
"CEPHA","Cephalanthus L.","buttonbush"
"CHAL7","Chenopodium album L.","LAMBSQUARTERS"
"CHLOR","Chloris Sw.","windmill grass"
"CHNI2","Chamaecrista nictitans (L.) Moench","PARTRIDGE PEA"
"CIAR4","Cirsium arvense (L.) Scop.","CANADA THISTLE"
"CICHO","Cichorium L.","CHICORY"
"CIOC2","Cirsium ochrocentrum A. Gray","YELLOWSPINE THISTLE"
"CIUNU","Cirsium undulatum (Nutt.) Spreng. var. undulatum","WAVYLEAF THISTLE"
"COAR4","Convolvulus arvensis L.","FIELD BINDWEED"
"CODR","Cornus drummondii C.A. Mey.","ROUGHLEAF DOGWOOD"
"COMA2","Conium maculatum L.","Poison hemlock"
"CRCO2","Crataegus coccinioides Ashe","Kansas hawthorn"
"CRLI2","Croton lindheimerianus Scheele","threeseed croton"
"CROTO","Croton L.","Croton"
"CRTE4","Croton texensis (Klotzsch) Müll. Arg.","TEXAS CROTON"
"CRUCI2","Cruciata Mill.","bedstraw"
"CUSCU","Cuscuta L.","dodder"
"CYDA","Cynodon dactylon (L.) Pers.","Bermudagrass"
"CYNOD","Cynodon Rich.","Bermudagrass"
"DAAU","Dalea aurea Nutt. ex Pursh","golden prairie clover"
"DACA7","Dalea candida Michx. ex Willd.","white prairie clover"
"DACTY","Dactylis L.","ORCHARDGRASS"
"DAEN","Dalea enneandra Nutt.","nineanther prairie clover"
"DAMU","Dalea multiflora (Nutt.) Shinners","roundhead prairie clover"
"DAPU5","Dalea purpurea Vent.","violet prairie clover"
"DAPUA","Dalea purpurea Vent. var. arenicola (Wemple) Barneby","violet prairie clover"
"DAPUP","Dalea purpurea Vent. var. purpurea","violet prairie clover"
"DAST","Datura stramonium L.","JIMSONWEED"
"DECA7","Desmodium canadense (L.) DC.","showy ticktrefoil"
"DECA8","Desmodium canescens (L.) DC.","hoary ticktrefoil"
"DEIL","Desmanthus illinoensis (Michx.) MacMill. ex B.L. Rob. & Fernald","prairie bundleflower"
"DELPH","Delphinium L.","larkspur"
"DIAR","Dianthus armeria L.","DEPTFORD PINK"
"DIGIT2","Digitaria Haller","crabgrass"
"DIOLS","Dichanthelium oligosanthes (Schult.) Gould var. scribnerianum (Nash) Gould","Scribner's rosette grass"
"DIPSA","Dipsacus L.","teasel"
"DISP","Distichlis spicata (L.) Greene","INLAND SALTGRASS"
"ECAN2","Echinacea angustifolia DC.","blacksamson echinacea"
"ECCR","Echinochloa crus-galli (L.) P. Beauv.","BARNYARDGRASS"
"ECHIN","Echinacea Moench","PURPLE CONEFLOWER"
"ECPA","Echinacea pallida (Nutt.) Nutt.","pale purple coneflower"
"ELAN","Elaeagnus angustifolia L.","RUSSIAN OLIVE"
"ELCA4","Elymus canadensis L.","CANADA WILDRYE"
"ELEL5","Elymus elymoides (Raf.) Swezey","SQUIRRELTAIL"
"ELPA3","Eleocharis palustris (L.) Roem. & Schult.","common spikerush"
"ELSU","Elymus submuticus (Hook.) Smyth & Smyth","VIRGINIA WILDRYE"
"ELVI3","Elymus virginicus L.","VIRGINIA WILDRYE"
"ENGEL","Engelmannia A. Gray ex Nutt.","Engelmann's daisy"
"EQHY","Equisetum hyemale L.","SCOURINGRUSH HORSETAIL"
"ERAN","Erigeron annuus (L.) Pers.","eastern daisy fleabane"
"ERCU2","Eragrostis curvula (Schrad.) Nees","WEEPING LOVEGRASS"
"ERSP","Eragrostis spectabilis (Pursh) Steud.","PURPLE LOVEGRASS"
"ERTR3","Eragrostis trichodes (Nutt.) Alph. Wood","sand lovegrass"
"ERYU","Eryngium yuccifolium Michx.","button eryngo"
"EUCO10","Euphorbia corollata L.","FLOWERING SPURGE"
"EUES","Euphorbia esula L.","LEAFY SPURGE"
"EUEXR","Eustoma exaltatum (L.) Salisb. ex G. Don ssp. russellianum (Hook.) Kartesz","showy prairie gentian"
"EUMAM4","Eutrochium maculatum (L.) E.E. Lamont var. maculatum","spotted joepyeweed"
"FRAGA","Fragaria L.","strawberry"
"FRPE","Fraxinus pennsylvanica Marshall","GREEN ASH"
"GLCA2","Glandularia canadensis (L.) Nutt.","rose mock vervain"
"GLLE3","Glycyrrhiza lepidota Pursh","AMERICAN LICORICE"
"GLST","Glyceria striata (Lam.) Hitchc.","FOWL MANNAGRASS"
"GLTR","Gleditsia triacanthos L.","HONEYLOCUST"
"GRSQ","Grindelia squarrosa (Pursh) Dunal","CURLYCUP GUMWEED"
"GUSA2","Gutierrezia sarothrae (Pursh) Britton & Rusby","BROOM SNAKEWEED"
"GYDI","Gymnocladus dioicus (L.) K. Koch","KENTUCKY COFFEETREE"
"HECOC8","Hesperostipa comata (Trin. & Rupr.) Barkworth ssp. comata","needle and thread"
"HEMA2","Helianthus maximiliani Schrad.","MAXIMILIAN SUNFLOWER"
"HEMA3","Hesperis matronalis L.","dames rocket"
"HEMO2","Helianthus mollis Lam.","ashy sunflower"
"HEPAP2","Helianthus pauciflorus Nutt. ssp. pauciflorus","STIFF SUNFLOWER"
"HESA2","Helianthus salicifolius A. Dietr.","willowleaf sunflower"
"HESP11","Hesperostipa spartea (Trin.) Barkworth","PORCUPINEGRASS"
"HETU","Helianthus tuberosus L.","Jerusalem artichoke"
"HILO2","Hieracium longipilum Torr.","hairy hawkweed"
"HOPU","Hordeum pusillum Nutt.","LITTLE BARLEY"
"HYPE","Hypericum perforatum L.","common St. Johnswort"
"HYSCC","Hymenopappus scabiosaeus L'Hér. var. corymbosus (Torr. & A. Gray) B.L. Turner","Carolina woollywhite"
"HYSCC","Hymenopappus scabiosaeus L'Hér. var. corymbosus (Torr. & A. Gray) B.L. Turner","Hymenopappus"
"IPLE","Ipomoea leptophylla Torr.","bush morning-glory"
"JUGLA","Juglans L.","walnut"
"JUNI","Juglans nigra L.","BLACK WALNUT"
"JUVI","Juniperus virginiana L.","EASTERN REDCEDAR"
"KOELE","Koeleria Pers.","JUNEGRASS"
"KOMA","Koeleria macrantha (Ledeb.) Schult.","PRAIRIE JUNEGRASS"
"LECA8","Lespedeza capitata Michx.","roundhead lespedeza"
"LECU","Lespedeza cuneata (Dum. Cours.) G. Don","Chinese lespedeza"
"LEDU","Leptochloa dubia (Kunth) Nees","green sprangletop"
"LEVI7","Lespedeza virginica (L.) Britton","slender lespedeza"
"LIAS","Liatris aspera Michx.","tall blazing star"
"LIPU","Liatris punctata Hook.","dotted blazing star"
"LIPY","Liatris pycnostachya Michx.","prairie blazing star"
"LISQ","Liatris squarrosa (L.) Michx.","scaly blazing star"
"LISU4","Linum sulcatum Riddell","GROOVED FLAX"
"LOBEL","Lobelia L.","Lobelia"
"LOPE","Lolium perenne L.","PERENNIAL RYEGRASS"
"LYJU","Lygodesmia juncea (Pursh) D. Don ex Hook.","RUSH SKELETONPLANT"
"MACAG","Machaeranthera canescens (Pursh) A. Gray ssp. glabra (A. Gray) B.L. Turner","hoary tansyaster"
"MAPI","Machaeranthera pinnatifida (Hook.) Shinners","lacy tansyaster"
"MAPO","Maclura pomifera (Raf.) C.K. Schneid.","Osage orange"
"MEDIC","Medicago L.","ALFALFA"
"MELIL","Melilotus Mill.","sweetclover"
"MELU","Medicago lupulina L.","black medick"
"MICRO18","Microthlaspi F.K. Mey.","pennycress"
"MINU6","Mimosa nuttallii (DC. ex Britton & Rose) B.L. Turner","Cat-claw Sensitive Briar"
"MIRAB","Mirabilis L.","four o'clock"
"MOFI","Monarda fistulosa L.","wild bergamot"
"MORU2","Morus rubra L.","RED MULBERRY"
"MUCU3","Muhlenbergia cuspidata (Torr. ex Hook.) Rydb.","PLAINS MUHLY"
"MURA","Muhlenbergia racemosa (Michx.) Britton, Sterns & Poggenb.","marsh muhly"
"MUSC","Muhlenbergia schreberi J.F. Gmel.","nimblewill"
"MUSO","Muhlenbergia sobolifera (Muhl. ex Willd.) Trin.","rock muhly"
"OLRI","Oligoneuron rigidum (L.) Small","STIFF GOLDENROD"
"OLRIR","Oligoneuron rigidum (L.) Small var. rigidum","STIFF GOLDENROD"
"OPMA2","Opuntia macrorhiza Engelm.","twistspine pricklypear"
"OXST","Oxalis stricta L.","COMMON YELLOW OXALIS"
"OXVI","Oxalis violacea L.","VIOLET WOODSORREL"
"OXYTR","Oxytropis DC.","locoweed"
"PACA6","Panicum capillare L.","WITCHGRASS"
"PAFL4","Paspalum floridanum Michx.","FLORIDA PASPALUM"
"PAIN3","Parthenium integrifolium L.","wild quinine"
"PAOB","Panicum obtusum Kunth","vine mesquite"
"PAPL12","Packera plattensis (Nutt.) W.A. Weber & Á. Löve","PRAIRIE GROUNDSEL"
"PAQU2","Parthenocissus quinquefolia (L.) Planch.","VIRGINIA CREEPER"
"PARTH2","Parthenium L.","feverfew"
"PASM","Pascopyrum smithii (Rydb.) Á. Löve","WESTERN WHEATGRASS"
"PAVI2","Panicum virgatum L.","SWITCHGRASS"
"PAVIV","Panicum virgatum L. var. virgatum","SWITCHGRASS"
"PECO4","Penstemon cobaea Nutt.","cobaea beardtongue"
"PEGL2","Pennisetum glaucum (L.) R. Br.","pearl millet"
"PHAR3","Phalaris arundinacea L.","REED CANARYGRASS"
"PHPR3","Phleum pratense L.","TIMOTHY"
"PLOC","Platanus occidentalis L.","AMERICAN SYCAMORE"
"POAN","Poa annua L.","ANNUAL BLUEGRASS"
"PODE3","Populus deltoides W. Bartram ex Marshall","EASTERN COTTONWOOD"
"POHY2","Polygonum hydropiperoides Michx.","SWAMP SMARTWEED"
"POPE2","Polygonum pensylvanicum L.","PENNSYLVANIA SMARTWEED"
"POPR","Poa pratensis L.","KENTUCKY BLUEGRASS"
"POTEN","Potentilla L.","CINQUEFOIL"
"PRAM","Prunus americana Marshall","AMERICAN PLUM"
"PRAN3","Prunus angustifolia Marshall","CHICKASAW PLUM"
"PRVI","Prunus virginiana L.","chokecherry"
"PSORA2","Psoralidium Rydb.","scurfpea"
"PSTE5","Psoralidium tenuiflorum (Pursh) Rydb.","SLIMFLOWER SCURFPEA"
"PYTE","Pycnanthemum tenuifolium Schrad.","narrowleaf mountainmint"
"QUMA2","Quercus macrocarpa Michx.","BUR OAK"
"QUMA3","Quercus marilandica Münchh.","BLACKJACK OAK"
"QUMU","Quercus muehlenbergii Engelm.","CHINKAPIN OAK"
"QUPA2","Quercus palustris Münchh.","PIN OAK"
"QUPR","Quercus prinoides Willd.","dwarf chinkapin oak"
"QURU","Quercus rubra L.","NORTHERN RED OAK"
"QUST","Quercus stellata Wangenh.","POST OAK"
"RACO3","Ratibida columnifera (Nutt.) Wooton & Standl.","UPRIGHT PRAIRIE CONEFLOWER"
"RHAR4","Rhus aromatica Aiton","FRAGRANT SUMAC"
"RHCOL2","Rhus copallinum L. var. latifolia Engl.","winged sumac"
"RHGL","Rhus glabra L.","SMOOTH SUMAC"
"RHTR","Rhus trilobata Nutt.","SKUNKBUSH SUMAC"
"RIAU","Ribes aureum Pursh","GOLDEN CURRANT"
"ROARS","Rosa arkansana Porter var. suffulta (Greene) Cockerell","PRAIRIE ROSE"
"RUBUS","Rubus L.","blackberry"
"RUELL","Ruellia L.","WILD PETUNIA"
"RUHI2","Rudbeckia hirta L.","BLACKEYED SUSAN"
"RUHU","Ruellia humilis Nutt.","fringeleaf wild petunia"
"SAAM4","Sagittaria ambigua J.G. Sm.","KANSAS ARROWHEAD"
"SAAZG","Salvia azurea Michx. ex Lam. var. grandiflora Benth.","pitcher sage"
"SAIN3","Salix interior Rowlee","sandbar willow"
"SALSO","Salsola L.","Russian thistle"
"SAMBU","Sambucus L.","elderberry"
"SANI","Salix nigra Marshall","BLACK WILLOW"
"SANIC4","Sambucus nigra L. ssp. canadensis (L.) R. Bolli","common elderberry"
"SCAR7","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.","tall fescue"
"SCSC","Schizachyrium scoparium (Michx.) Nash","LITTLE BLUESTEM"
"SCUTE","Scutellaria L.","skullcap"
"SICYO","Sicyos L.","burr cucumber"
"SIIN2","Silphium integrifolium Michx.","wholeleaf rosinweed"
"SILAL2","Silphium laciniatum L. var. laciniatum","compassplant"
"SILPH","Silphium L.","rosinweed"
"SOAL6","Solidago altissima L.","Canada goldenrod"
"SOGI","Solidago gigantea Aiton","GIANT GOLDENROD"
"SOHA","Sorghum halepense (L.) Pers.","JOHNSONGRASS"
"SOMI2","Solidago missouriensis Nutt.","MISSOURI GOLDENROD"
"SONU2","Sorghastrum nutans (L.) Nash","INDIANGRASS"
"SOPEA","Solidago petiolaris Aiton var. angusta (Torr. & A. Gray) A. Gray","downy ragged goldenrod"
"SORO","Solanum rostratum Dunal","buffalobur nightshade"
"SOSPR","Solidago speciosa Nutt. var. rigidiuscula Torr. & A. Gray","SHOWY GOLDENROD"
"SPAI","Sporobolus airoides (Torr.) Torr.","ALKALI SACATON"
"SPCO","Sphaeralcea coccinea (Nutt.) Rydb.","SCARLET GLOBEMALLOW"
"SPCR","Sporobolus cryptandrus (Torr.) A. Gray","SAND DROPSEED"
"SPCR","Sporobolus cryptandrus (Torr.) A. Gray","&gt;&gt;Sporobolus cryptandrus"
"SPPE","Spartina pectinata Bosc ex Link","PRAIRIE CORDGRASS"
"SYER","Symphyotrichum ericoides (L.) G.L. Nesom","White heath aster"
"SYERE","Symphyotrichum ericoides (L.) G.L. Nesom var. ericoides","heath aster"
"SYOB","Symphyotrichum oblongifolium (Nutt.) G.L. Nesom","AROMATIC ASTER"
"SYOR","Symphoricarpos orbiculatus Moench","coralberry"
"TAMAR2","Tamarix L.","tamarisk"
"TAOF","Taraxacum officinale F.H. Wigg.","common dandelion"
"TORA2","Toxicodendron radicans (L.) Kuntze","eastern poison ivy"
"TRAGI","Tragia L.","noseburn"
"TRAGO","Tragopogon L.","goatsbeard"
"TRDA3","Tripsacum dactyloides (L.) L.","Eastern gamagrass"
"TRFL2","Tridens flavus (L.) Hitchc.","purpletop tridens"
"TRHY","Trifolium hybridum L.","ALSIKE CLOVER"
"TRIOD","Triodanis Raf. ex Greene","Venus' looking-glass"
"TROH","Tradescantia ohiensis Raf.","bluejacket"
"TYPHA","Typha L.","CATTAIL"
"ULAM","Ulmus americana L.","AMERICAN ELM"
"URDI","Urtica dioica L.","STINGING NETTLE"
"VEAL","Verbesina alternifolia (L.) Britton ex Kearney","wingstem"
"VEBA","Vernonia baldwinii Torr.","Baldwin's ironweed"
"VEBL","Verbascum blattaria L.","moth mullein"
"VEST","Verbena stricta Vent.","hoary verbena"
"VIRI","Vitis riparia Michx.","RIVERBANK GRAPE"
"VUOC","Vulpia octoflora (Walter) Rydb.","SIXWEEKS FESCUE"
"XANTH2","Xanthium L.","COCKLEBUR"
"YUGL","Yucca glauca Nutt.","SOAPWEED YUCCA"
"ZINU","Zigadenus nuttallii (A. Gray) S. Watson","Nuttall's deathcamas"
