CommonName,Family,Genus,Cultivar,Description,GrowingAdvice,WeatherTolerance,OptimalZones,GrowingDays,TransplantAge,USDAZoneList,BestHarvest,BestPlantingDates,GreenhouseInstructions,SoilInfo,Pests,Amendments,SoilConditions,Approved CommonName,Emoji,ColorRGB
Blackhawk (Bean),Fabaceae,Phaseolus,Blackhawk,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Blackhawk (Bean),🫘,"40,40,40"
Blackjack (Bean),Fabaceae,Phaseolus,Blackjack,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Blackjack (Bean),🫘,"40,40,40"
Blizzard (Bean),Fabaceae,Phaseolus,Blizzard,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Blizzard (Bean),🫘,"140,70,50"
Canario 707 (Bean),Fabaceae,Phaseolus,Canario 707,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Canario 707 (Bean),🫘,"140,70,50"
Capri (Bean),Fabaceae,Phaseolus,Capri,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Capri (Bean),🫘,"140,70,50"
Cayenne (Bean),Fabaceae,Phaseolus,Cayenne,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Cayenne (Bean),🫘,"140,70,50"
Centennial (Bean),Fabaceae,Phaseolus,Centennial,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Centennial (Bean),🫘,"140,70,50"
Chaparral (Bean),Fabaceae,Phaseolus,Chaparral,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Chaparral (Bean),🫘,"140,70,50"
Charro (Bean),Fabaceae,Phaseolus,Charro,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Charro (Bean),🫘,"140,70,50"
Cisco (Bean),Fabaceae,Phaseolus,Cisco,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Cisco (Bean),🫘,"140,70,50"
Clouseau (Bean),Fabaceae,Phaseolus,Clouseau,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Clouseau (Bean),🫘,"140,70,50"
Coho (Bean),Fabaceae,Phaseolus,Coho,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Coho (Bean),🫘,"140,70,50"
Condor (Bean),Fabaceae,Phaseolus,Condor,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Condor (Bean),🫘,"140,70,50"
Cowboy (Bean),Fabaceae,Phaseolus,Cowboy,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Cowboy (Bean),🫘,"140,70,50"
Coyne (Bean),Fabaceae,Phaseolus,Coyne,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Coyne (Bean),🫘,"140,70,50"
Cran 09 (Bean),Fabaceae,Phaseolus,Cran 09,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Cran 09 (Bean),🫘,"140,70,50"
Croissant (Bean),Fabaceae,Phaseolus,Croissant,Bean (dry) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Croissant (Bean),🫘,"140,70,50"
Blue Lake (Bean),Fabaceae,Phaseolus,Blue Lake,Bean (garden) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Blue Lake (Bean),🫘,"60,100,200"
Cherokee Trail (Bean),Fabaceae,Phaseolus,Cherokee Trail,Bean (garden) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Cherokee Trail (Bean),🫘,"140,70,50"
Provider (Bean),Fabaceae,Phaseolus,Provider,Bean (garden) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Provider (Bean),🫘,"140,70,50"
Top Crop (Bean),Fabaceae,Phaseolus,Top Crop,Bean (garden) crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","3,4,5,6,7,8,9",112-140,,"[3, 4, 5, 6, 7, 8, 9]","{""3"": [38, 39, 40, 41, 42, 43, 44, 45], ""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""3"": [22, 23, 24, 25], ""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Top Crop (Bean),🫘,"140,70,50"
Fordhook 242 (Bean),Fabaceae,Phaseolus,Fordhook 242,Lima bean crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Fordhook 242 (Bean),🫘,"140,70,50"
Henderson Bush (Bean),Fabaceae,Phaseolus,Henderson Bush,Lima bean crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Henderson Bush (Bean),🫘,"140,70,50"
King of the Garden (Bean),Fabaceae,Phaseolus,King of the Garden,Lima bean crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","4,5,6,7,8,9",112-140,,"[4, 5, 6, 7, 8, 9]","{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,King of the Garden (Bean),🫘,"140,70,50"
Berken (Cowpea/Mung bean),Fabaceae,Vigna,Berken,Mung bean crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","5,6,7,8,9,10",112-140,,"[5, 6, 7, 8, 9, 10]","{""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34], ""10"": [25, 26, 27, 28, 29, 30, 31, 32]}","{""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Berken (Cowpea/Mung bean),🫘,"150,85,60"
Oklahoma 1 (Cowpea/Mung bean),Fabaceae,Vigna,Oklahoma 1,Mung bean crop.,Follow standard regional recommendations.,"Hot,Drought,Dry,Tropical","5,6,7,8,9,10",112-140,,"[5, 6, 7, 8, 9, 10]","{""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34], ""10"": [25, 26, 27, 28, 29, 30, 31, 32]}","{""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}",Start indoors if season is short.,"Fertile, well‑drained loam; pH ~6.0–7.0.","Aphids, beetles; diseases vary by region.",Incorporate compost; side‑dress as needed.,Retain water,Oklahoma 1 (Cowpea/Mung bean),🫘,"150,85,60"
