vendorName,taxCategory,referenceNumber,reconciled,notes,ledgerDescription,id,entryType,debitAmount,date,creditAmount,checkNumber,balance,amount,accountName,accountCode,iosSymbol,emoji
Johnny's Seeds,Use Tax,REF-9405,True,Someone painted the barn plaid again.,Weekly payroll distribution,13908,Sale,810.1,2023-07-17 08:48:00,0.0,,2293.35,810.1,Sales - Value-Added Goods,4100,folder,📊
Tractor Depot,Sales Tax,REF-7734,True,Someone painted the barn plaid again.,Tractor repair service,33799,Sale,469.11,2023-07-17 13:36:00,0.0,,2833.44,469.11,Repairs & Maintenance,5400,tractor,🌽
Johnny's Seeds,No Tax,REF-1859,True,Beware of the Central Scrutinizer.,Equity contribution by Frank,60958,Payment,1030.12,2023-07-17 08:04:00,0.0,CHK-3442,2234.99,1030.12,Cost of Goods Sold,5000,wrench,🐔
USDA,Sales Tax,REF-8970,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,24463,Expense,0.0,2023-07-17 15:56:00,267.87,CHK-3679,3593.74,267.87,Sales - Value-Added Goods,4100,chart.bar,🧾
Compost Collective,Sales Tax,REF-6532,False,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,75772,Expense,1070.14,2023-07-17 10:51:00,0.0,,2022.3,1070.14,Depreciation,6000,globe,🌱
Farm Co-op,No Tax,REF-3434,True,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,52887,Expense,0.0,2023-07-17 08:24:00,679.93,CHK-1726,4362.65,679.93,Payroll Expenses,5500,creditcard,🧾
Tractor Depot,Sales Tax,REF-8792,False,Eggplant royalty dispute resolved.,Equity contribution by Frank,20272,Sale,0.0,2023-07-17 06:18:00,217.4,,2978.08,217.4,Depreciation,6000,book,🪣
Tractor Depot,Use Tax,REF-5000,True,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,50065,Equity Contribution,0.0,2023-07-17 13:03:00,273.97,CHK-4398,4215.34,273.97,Seeds & Amendments,5100,bag,🧑‍🌾
USDA,No Tax,REF-6116,True,"This ain’t the garden of Eden, man.",Utility payment: irrigation pump,57218,Equity Contribution,0.0,2023-07-17 08:46:00,78.63,CHK-2147,2814.58,78.63,Marketing & Promotion,5700,externaldrive,🐔
Johnny's Seeds,Use Tax,REF-1917,False,Eggplant royalty dispute resolved.,Sale at Saturday farmer's market,93025,Invoice,858.5,2023-07-17 09:45:00,0.0,CHK-6225,4098.41,858.5,Fertilizer & Compost,5200,chart.bar,🌱
Muffin Utility Inc.,Use Tax,REF-3686,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,41134,Tax,0.0,2023-07-17 08:53:00,315.68,,4653.0,315.68,Inventory,1200,book,📦
Muffin Utility Inc.,Use Tax,REF-8449,True,Eggplant royalty dispute resolved.,Weekly payroll distribution,90938,Sale,0.0,2023-07-17 08:44:00,486.42,CHK-9396,1566.01,486.42,Depreciation,6000,externaldrive,📊
Farm Co-op,Sales Tax,REF-8717,False,Paid in kale chips and weird looks.,Tractor repair service,44939,Sale,993.91,2023-07-17 06:41:00,0.0,,1284.17,993.91,Cost of Goods Sold,5000,chart.bar,💼
Johnny's Seeds,Sales Tax,REF-9907,False,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,90184,Payroll,132.94,2023-07-17 16:22:00,0.0,,3013.14,132.94,Insurance,5900,tractor,🧑‍🌾
Farm Co-op,Use Tax,REF-2479,False,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,85788,Payment,347.72,2023-07-18 15:06:00,0.0,CHK-2337,4598.45,347.72,Cash,1000,person.crop.circle,🏡
Compost Collective,Sales Tax,REF-3331,True,"This ain’t the garden of Eden, man.",Weekly payroll distribution,41764,Tax,0.0,2023-07-18 18:10:00,138.79,,4945.54,138.79,Marketing & Promotion,5700,folder,🐔
Tractor Depot,Use Tax,REF-3491,False,Eggplant royalty dispute resolved.,Sale at Saturday farmer's market,40405,Equity Contribution,0.0,2023-07-18 18:12:00,102.63,CHK-3145,1836.41,102.63,Taxes Payable,2200,tractor,🧺
Farm Co-op,Use Tax,REF-6688,True,"This ain’t the garden of Eden, man.",Equity contribution by Frank,48221,Payment,0.0,2023-07-18 12:15:00,54.82,,2549.73,54.82,Owner's Equity,3000,leaf,📅
Tractor Depot,Use Tax,REF-7982,False,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,96234,Invoice,0.0,2023-07-18 09:11:00,1106.81,,2085.29,1106.81,Payroll Expenses,5500,chart.bar,🥕
Tractor Depot,Use Tax,REF-6727,True,"This ain’t the garden of Eden, man.",Tractor repair service,78944,Equity Contribution,0.0,2023-07-18 13:41:00,418.77,CHK-8396,3087.83,418.77,Fuel,5300,cart,🧾
Muffin Utility Inc.,Use Tax,REF-6146,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,90395,Expense,932.07,2023-07-18 15:19:00,0.0,,3478.37,932.07,Fertilizer & Compost,5200,tractor,🐝
Zappa Solar,No Tax,REF-5914,False,Mic’d the compost for microbial jazz.,Weekly payroll distribution,24032,Tax,198.37,2023-07-18 12:39:00,0.0,CHK-8188,4583.99,198.37,Taxes Payable,2200,person.crop.circle,🚜
Farm Co-op,Sales Tax,REF-5924,True,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,23574,Sale,501.01,2023-07-18 13:13:00,0.0,,2413.76,501.01,Cost of Goods Sold,5000,chart.bar,🥕
Johnny's Seeds,No Tax,REF-6459,True,Paid in kale chips and weird looks.,Utility payment: irrigation pump,74198,Payroll,0.0,2023-07-18 17:16:00,1114.79,,3903.69,1114.79,Inventory,1200,briefcase,📊
Compost Collective,Use Tax,REF-2433,True,Eggplant royalty dispute resolved.,Payment for organic compost delivery,67338,Tax,0.0,2023-07-18 16:16:00,66.56,,3512.78,66.56,Inventory,1200,bag,🔧
Johnny's Seeds,No Tax,REF-6412,False,Mic’d the compost for microbial jazz.,Purchase of heirloom tomato seeds,29423,Payment,0.0,2023-07-18 16:49:00,38.72,,3073.82,38.72,Wages Payable,2100,wrench,🌽
Muffin Utility Inc.,No Tax,REF-5284,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,77708,Expense,979.64,2023-07-18 07:06:00,0.0,,1864.25,979.64,Payroll Expenses,5500,plusminus,📅
Johnny's Seeds,Sales Tax,REF-3019,True,Mic’d the compost for microbial jazz.,Purchase of heirloom tomato seeds,19280,Payment,0.0,2023-07-18 16:36:00,1079.26,,2756.23,1079.26,Inventory,1200,hammer,🥕
Muffin Utility Inc.,Use Tax,REF-4250,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,63285,Equity Contribution,269.09,2023-07-18 06:08:00,0.0,CHK-3699,3813.62,269.09,Sales - Value-Added Goods,4100,calendar,🐔
Muffin Utility Inc.,No Tax,REF-7719,True,Billy the Mountain requested cash.,Tractor repair service,22912,Payroll,0.0,2023-07-18 09:16:00,1149.07,CHK-9384,2620.08,1149.07,Accounts Receivable,1100,globe,📦
Farm Co-op,Sales Tax,REF-4928,True,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,90241,Payroll,735.29,2023-07-18 17:50:00,0.0,,3760.7,735.29,Payroll Expenses,5500,calendar,🚜
USDA,Use Tax,REF-2804,True,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,25882,Payroll,599.23,2023-07-18 17:33:00,0.0,,3535.18,599.23,Wages Payable,2100,leaf,🥕
Zappa Solar,Sales Tax,REF-9467,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,44455,Sale,813.39,2023-07-19 07:40:00,0.0,CHK-4102,1664.82,813.39,Prepaid Expenses,1300,externaldrive,📅
Tractor Depot,Use Tax,REF-9973,False,Beware of the Central Scrutinizer.,Weekly payroll distribution,92820,Invoice,0.0,2023-07-19 13:39:00,105.15,CHK-6900,1836.43,105.15,Insurance,5900,externaldrive,🏡
Muffin Utility Inc.,No Tax,REF-4157,False,"This ain’t the garden of Eden, man.",Weekly payroll distribution,40688,Equity Contribution,1116.59,2023-07-19 06:26:00,0.0,,1603.72,1116.59,Depreciation,6000,cart,🚜
Johnny's Seeds,Sales Tax,REF-3378,False,Billy the Mountain requested cash.,Weekly payroll distribution,94219,Payment,329.96,2023-07-19 17:01:00,0.0,CHK-9784,3413.74,329.96,Professional Services,5800,externaldrive,🥕
Compost Collective,Sales Tax,REF-1147,False,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,54067,Payroll,1159.69,2023-07-19 13:58:00,0.0,CHK-6383,3919.87,1159.69,Prepaid Expenses,1300,gear,🍅
Johnny's Seeds,Use Tax,REF-9874,True,"This ain’t the garden of Eden, man.",Tractor repair service,23799,Expense,57.77,2023-07-19 11:51:00,0.0,,2144.45,57.77,Accounts Receivable,1100,gear,🧾
Compost Collective,No Tax,REF-7891,True,Beware of the Central Scrutinizer.,Payment for organic compost delivery,44958,Payroll,0.0,2023-07-19 06:53:00,1061.57,,1560.42,1061.57,Fuel,5300,globe,🪣
Tractor Depot,Sales Tax,REF-4102,True,Eggplant royalty dispute resolved.,Equity contribution by Frank,45136,Expense,0.0,2023-07-19 06:34:00,755.23,CHK-7393,3223.26,755.23,Accounts Receivable,1100,bag,📅
Muffin Utility Inc.,Use Tax,REF-5968,True,Paid in kale chips and weird looks.,Weekly payroll distribution,60464,Sale,0.0,2023-07-19 09:08:00,275.74,CHK-7665,2158.35,275.74,Seeds & Amendments,5100,cart,📅
Tractor Depot,No Tax,REF-6094,True,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,29800,Equity Contribution,1125.89,2023-07-19 06:37:00,0.0,CHK-9944,3005.15,1125.89,Taxes Payable,2200,tractor,🧑‍🌾
USDA,No Tax,REF-6717,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,21283,Payroll,0.0,2023-07-19 10:54:00,917.9,CHK-3226,1137.94,917.9,Marketing & Promotion,5700,calendar,🍅
Zappa Solar,Use Tax,REF-1489,False,Eggplant royalty dispute resolved.,Equity contribution by Frank,50117,Equity Contribution,971.6,2023-07-19 14:15:00,0.0,,4229.84,971.6,Repairs & Maintenance,5400,chart.bar,🛠
Compost Collective,No Tax,REF-6536,True,Billy the Mountain requested cash.,Equity contribution by Frank,30380,Expense,0.0,2023-07-19 15:31:00,442.96,CHK-3504,3488.26,442.96,Cash,1000,cart,📊
Compost Collective,No Tax,REF-8590,False,Billy the Mountain requested cash.,Weekly payroll distribution,17185,Equity Contribution,0.0,2023-07-19 12:18:00,276.62,,2782.85,276.62,Marketing & Promotion,5700,externaldrive,🌱
USDA,Use Tax,REF-6701,True,Someone painted the barn plaid again.,Weekly payroll distribution,20909,Equity Contribution,0.0,2023-07-19 11:26:00,1005.76,CHK-5155,1468.45,1005.76,Inventory,1200,externaldrive,🌽
Muffin Utility Inc.,Use Tax,REF-6462,False,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,53660,Sale,605.16,2023-07-19 07:01:00,0.0,CHK-6330,3807.07,605.16,Wages Payable,2100,dollarsign.circle,🌽
Johnny's Seeds,Use Tax,REF-4487,False,Billy the Mountain requested cash.,Tractor repair service,37682,Invoice,0.0,2023-07-19 17:20:00,286.88,CHK-4564,2902.54,286.88,Inventory,1200,chart.bar,🐝
Johnny's Seeds,No Tax,REF-9007,False,Paid in kale chips and weird looks.,Equity contribution by Frank,56266,Invoice,0.0,2023-07-19 17:54:00,1150.11,CHK-9662,3407.78,1150.11,Insurance,5900,globe,🌽
Zappa Solar,Sales Tax,REF-1878,False,"This ain’t the garden of Eden, man.",Sale at Saturday farmer's market,90765,Equity Contribution,1059.92,2023-07-19 13:58:00,0.0,CHK-6784,3184.2,1059.92,Accounts Receivable,1100,doc.plaintext,🐝
Zappa Solar,No Tax,REF-9564,False,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,77188,Equity Contribution,734.97,2023-07-19 18:10:00,0.0,CHK-7027,4024.45,734.97,Cash,1000,creditcard,🌽
USDA,Sales Tax,REF-8780,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,97245,Invoice,799.86,2023-07-19 07:14:00,0.0,,1750.97,799.86,Accounts Payable,2000,briefcase,🏡
Farm Co-op,Sales Tax,REF-9446,True,Someone painted the barn plaid again.,Tractor repair service,35760,Equity Contribution,567.0,2023-07-19 06:06:00,0.0,,3874.25,567.0,Marketing & Promotion,5700,tractor,🚜
Zappa Solar,Sales Tax,REF-2896,False,Eggplant royalty dispute resolved.,Weekly payroll distribution,13729,Payroll,181.96,2023-07-19 12:53:00,0.0,,3029.12,181.96,Accounts Payable,2000,cart,🐄
USDA,Use Tax,REF-5003,True,Someone painted the barn plaid again.,Equity contribution by Frank,47150,Invoice,0.0,2023-07-20 16:28:00,830.66,,2824.52,830.66,Cost of Goods Sold,5000,folder,🥕
Compost Collective,Use Tax,REF-6184,True,Eggplant royalty dispute resolved.,Equity contribution by Frank,98055,Sale,0.0,2023-07-20 17:11:00,1154.47,,1501.77,1154.47,Depreciation,6000,gear,🛠
Johnny's Seeds,No Tax,REF-3281,True,"This ain’t the garden of Eden, man.",Equity contribution by Frank,58497,Payment,226.87,2023-07-20 08:56:00,0.0,CHK-3953,2239.44,226.87,Marketing & Promotion,5700,calendar,🔧
Muffin Utility Inc.,No Tax,REF-9179,True,Someone painted the barn plaid again.,Weekly payroll distribution,94978,Sale,804.33,2023-07-20 13:48:00,0.0,,3104.21,804.33,Accounts Payable,2000,briefcase,🥕
Muffin Utility Inc.,Use Tax,REF-2039,False,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,49499,Sale,131.73,2023-07-20 13:06:00,0.0,,2286.01,131.73,Taxes Payable,2200,globe,🚜
Farm Co-op,No Tax,REF-2340,False,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,11796,Tax,0.0,2023-07-20 10:21:00,622.62,CHK-8166,3695.57,622.62,Seeds & Amendments,5100,dollarsign.circle,🐄
Zappa Solar,No Tax,REF-8412,True,Mic’d the compost for microbial jazz.,Weekly payroll distribution,76376,Expense,919.13,2023-07-20 11:18:00,0.0,,3745.82,919.13,Cash,1000,cart,🐝
Tractor Depot,Sales Tax,REF-3869,False,"This ain’t the garden of Eden, man.",Utility payment: irrigation pump,65768,Invoice,0.0,2023-07-20 09:48:00,551.44,CHK-1943,3056.94,551.44,Inventory,1200,book,🧺
Farm Co-op,No Tax,REF-6342,False,Paid in kale chips and weird looks.,Tractor repair service,88978,Sale,0.0,2023-07-20 15:02:00,481.27,CHK-4748,4612.4,481.27,Professional Services,5800,bag,🐝
Farm Co-op,Sales Tax,REF-7524,False,Billy the Mountain requested cash.,Equity contribution by Frank,85166,Equity Contribution,620.49,2023-07-20 16:58:00,0.0,CHK-2333,2667.33,620.49,Sales - Value-Added Goods,4100,wrench,🧺
Zappa Solar,Use Tax,REF-4983,False,"This ain’t the garden of Eden, man.",Payment for organic compost delivery,30963,Payment,0.0,2023-07-20 16:43:00,722.48,,4371.88,722.48,Sales - Value-Added Goods,4100,hammer,🔧
Muffin Utility Inc.,Use Tax,REF-3909,False,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,68705,Equity Contribution,0.0,2023-07-20 15:00:00,688.86,CHK-8010,4389.54,688.86,Payroll Expenses,5500,doc.plaintext,🧑‍🌾
Johnny's Seeds,Use Tax,REF-5939,False,Beware of the Central Scrutinizer.,Equity contribution by Frank,42584,Tax,0.0,2023-07-20 06:04:00,70.21,,2090.7,70.21,Prepaid Expenses,1300,book,🌽
Johnny's Seeds,Sales Tax,REF-7784,True,Billy the Mountain requested cash.,Tractor repair service,46366,Expense,393.08,2023-07-20 17:52:00,0.0,,2457.16,393.08,Prepaid Expenses,1300,calendar,📊
Muffin Utility Inc.,No Tax,REF-1698,True,"This ain’t the garden of Eden, man.",Weekly payroll distribution,99355,Expense,644.08,2023-07-21 07:32:00,0.0,CHK-9639,2635.15,644.08,Wages Payable,2100,bag,🚜
Zappa Solar,Use Tax,REF-7415,True,"This ain’t the garden of Eden, man.",Tractor repair service,38156,Tax,0.0,2023-07-21 09:00:00,735.96,CHK-1579,3180.82,735.96,Wages Payable,2100,externaldrive,🌱
Johnny's Seeds,No Tax,REF-4978,True,Paid in kale chips and weird looks.,Tractor repair service,58990,Payroll,0.0,2023-07-21 09:50:00,73.45,,3424.59,73.45,Fertilizer & Compost,5200,dollarsign.circle,🏡
Tractor Depot,No Tax,REF-1928,False,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,38055,Expense,501.56,2023-07-21 06:08:00,0.0,CHK-6701,4855.36,501.56,Owner's Equity,3000,person.crop.circle,🐝
Tractor Depot,No Tax,REF-7716,True,Billy the Mountain requested cash.,Utility payment: irrigation pump,89778,Payroll,921.71,2023-07-21 14:42:00,0.0,CHK-3970,3581.36,921.71,Wages Payable,2100,person.crop.circle,🔧
Tractor Depot,Use Tax,REF-7054,True,Eggplant royalty dispute resolved.,Utility payment: irrigation pump,77729,Equity Contribution,0.0,2023-07-21 16:33:00,1186.87,,3307.8,1186.87,Seeds & Amendments,5100,gear,🐝
Muffin Utility Inc.,Sales Tax,REF-6020,False,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,80462,Payment,328.63,2023-07-21 10:57:00,0.0,CHK-1296,3887.46,328.63,Professional Services,5800,folder,🧾
Zappa Solar,Sales Tax,REF-9657,True,Someone painted the barn plaid again.,Tractor repair service,75927,Tax,0.0,2023-07-21 18:02:00,959.65,CHK-1707,3483.91,959.65,Cost of Goods Sold,5000,cart,📅
USDA,No Tax,REF-7871,True,Paid in kale chips and weird looks.,Weekly payroll distribution,87240,Invoice,0.0,2023-07-21 18:33:00,277.25,,1419.19,277.25,Professional Services,5800,gear,💸
Farm Co-op,No Tax,REF-2292,False,Billy the Mountain requested cash.,Sale at Saturday farmer's market,56049,Expense,294.21,2023-07-21 14:29:00,0.0,CHK-8163,4120.65,294.21,Taxes Payable,2200,book,📊
Compost Collective,Use Tax,REF-5917,True,Mic’d the compost for microbial jazz.,Tractor repair service,65431,Tax,877.2,2023-07-21 13:34:00,0.0,CHK-6593,3075.32,877.2,Cost of Goods Sold,5000,briefcase,🏡
Johnny's Seeds,No Tax,REF-8289,True,Mic’d the compost for microbial jazz.,Equity contribution by Frank,17952,Tax,0.0,2023-07-21 09:55:00,172.9,,2358.08,172.9,Insurance,5900,cart,🐝
Zappa Solar,Use Tax,REF-8161,False,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,36894,Tax,0.0,2023-07-21 15:04:00,427.51,CHK-5657,3062.69,427.51,Owner's Equity,3000,hammer,🧑‍🌾
Tractor Depot,Use Tax,REF-5629,True,Paid in kale chips and weird looks.,Weekly payroll distribution,37981,Invoice,310.0,2023-07-21 14:22:00,0.0,,4500.36,310.0,Payroll Expenses,5500,globe,🪣
Compost Collective,Use Tax,REF-5352,True,Beware of the Central Scrutinizer.,Payment for organic compost delivery,19474,Payment,0.0,2023-07-21 13:48:00,1190.5,,1803.97,1190.5,Owner's Equity,3000,leaf,🥕
Tractor Depot,Sales Tax,REF-8853,True,Paid in kale chips and weird looks.,Weekly payroll distribution,19907,Tax,264.14,2023-07-21 14:33:00,0.0,,3446.19,264.14,Depreciation,6000,book,🧑‍🌾
USDA,Use Tax,REF-5056,True,Someone painted the barn plaid again.,Weekly payroll distribution,47051,Payment,0.0,2023-07-21 14:27:00,748.64,CHK-7991,2963.48,748.64,Owner's Equity,3000,externaldrive,📦
Compost Collective,Use Tax,REF-3366,False,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,31787,Payroll,0.0,2023-07-21 12:07:00,867.04,CHK-1273,2786.86,867.04,Inventory,1200,doc.plaintext,🧑‍🌾
Farm Co-op,No Tax,REF-2763,False,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,83638,Expense,393.99,2023-07-21 09:35:00,0.0,,3514.35,393.99,Taxes Payable,2200,tractor,🌱
Zappa Solar,Use Tax,REF-6450,True,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,40183,Sale,0.0,2023-07-21 12:19:00,55.15,CHK-1135,3174.73,55.15,Taxes Payable,2200,wrench,🚜
Compost Collective,Sales Tax,REF-3483,True,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,87090,Equity Contribution,0.0,2023-07-21 13:06:00,995.12,,4934.09,995.12,Fuel,5300,doc.plaintext,🐝
Compost Collective,Use Tax,REF-7335,True,Eggplant royalty dispute resolved.,Utility payment: irrigation pump,80606,Payroll,0.0,2023-07-21 12:07:00,605.66,CHK-9889,4554.03,605.66,Marketing & Promotion,5700,leaf,📊
Johnny's Seeds,No Tax,REF-7180,False,Someone painted the barn plaid again.,Equity contribution by Frank,56738,Payment,738.83,2023-07-21 11:01:00,0.0,,1295.61,738.83,Marketing & Promotion,5700,doc.plaintext,🍅
USDA,No Tax,REF-3659,True,"This ain’t the garden of Eden, man.",Utility payment: irrigation pump,56212,Payment,0.0,2023-07-21 12:07:00,383.67,,3370.63,383.67,Cost of Goods Sold,5000,tractor,🥕
Compost Collective,Sales Tax,REF-8081,False,Paid in kale chips and weird looks.,Tractor repair service,57956,Tax,1085.47,2023-07-24 06:44:00,0.0,,1034.16,1085.47,Marketing & Promotion,5700,leaf,🥕
USDA,Use Tax,REF-9294,True,Billy the Mountain requested cash.,Equity contribution by Frank,82872,Payroll,0.0,2023-07-24 15:39:00,830.07,CHK-2288,4723.92,830.07,Accounts Payable,2000,tray,🔧
USDA,Sales Tax,REF-5311,False,Beware of the Central Scrutinizer.,Payment for organic compost delivery,19566,Tax,0.0,2023-07-24 16:41:00,1128.92,,2140.33,1128.92,Sales - Produce,4000,dollarsign.circle,💸
Johnny's Seeds,Use Tax,REF-5008,False,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,42227,Equity Contribution,0.0,2023-07-24 06:40:00,401.32,CHK-7456,2966.71,401.32,Sales - Produce,4000,doc.plaintext,🥕
Tractor Depot,Sales Tax,REF-7343,True,Mic’d the compost for microbial jazz.,Equity contribution by Frank,35591,Tax,0.0,2023-07-24 06:54:00,112.83,CHK-3304,2218.03,112.83,Inventory,1200,externaldrive,📦
Farm Co-op,No Tax,REF-7427,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,16795,Payroll,160.28,2023-07-24 12:49:00,0.0,,4653.39,160.28,Sales - Produce,4000,cart,🌱
Muffin Utility Inc.,No Tax,REF-3268,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,20129,Equity Contribution,1123.55,2023-07-24 18:28:00,0.0,CHK-7546,1281.92,1123.55,Taxes Payable,2200,book,🚜
Muffin Utility Inc.,Use Tax,REF-8542,False,Beware of the Central Scrutinizer.,Tractor repair service,96163,Payroll,0.0,2023-07-24 18:11:00,746.36,CHK-7825,3699.7,746.36,Fuel,5300,creditcard,🪣
USDA,No Tax,REF-3943,False,Beware of the Central Scrutinizer.,Tractor repair service,55151,Sale,399.73,2023-07-24 18:51:00,0.0,,4467.44,399.73,Utilities,5600,dollarsign.circle,🧑‍🌾
Farm Co-op,No Tax,REF-9971,False,Eggplant royalty dispute resolved.,Equity contribution by Frank,54102,Invoice,0.0,2023-07-24 14:17:00,1089.31,CHK-9329,2924.91,1089.31,Payroll Expenses,5500,creditcard,📦
Muffin Utility Inc.,Sales Tax,REF-6802,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,92392,Equity Contribution,678.96,2023-07-24 08:10:00,0.0,CHK-5110,4492.76,678.96,Prepaid Expenses,1300,leaf,🧾
Muffin Utility Inc.,Sales Tax,REF-3701,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,88029,Sale,0.0,2023-07-24 08:32:00,548.58,CHK-7488,2800.55,548.58,Sales - Produce,4000,doc.plaintext,💸
Johnny's Seeds,No Tax,REF-3462,False,Billy the Mountain requested cash.,Tractor repair service,11651,Payment,802.98,2023-07-24 10:36:00,0.0,CHK-9682,1619.89,802.98,Wages Payable,2100,dollarsign.circle,🌱
Muffin Utility Inc.,Use Tax,REF-7219,False,Eggplant royalty dispute resolved.,Sale at Saturday farmer's market,72355,Tax,1169.17,2023-07-24 06:19:00,0.0,CHK-4446,4784.26,1169.17,Insurance,5900,creditcard,🐔
